band,channel,tbi_mean,control_mean,delta_tbi_minus_control,hedges_g,p_value,n_tbi,n_control,q_fdr
alpha,AF3,0.3576357100523163,0.28152644681326966,0.07610926323904665,0.48697949796049134,0.0016920626823562805,92,72,0.006922380893257906
alpha,AF4,0.35206482900485697,0.2793780717361201,0.07268675726873686,0.46521176561460403,0.0026963880743199665,92,72,0.008121748029327929
alpha,AF7,0.3561758274589801,0.2707240554478366,0.08545177201114346,0.539291253233127,0.0004582591585673538,92,72,0.004429838532817754
alpha,AF8,0.3354938403811062,0.2670837369822796,0.06841010339882658,0.44138043914271297,0.006619122324874271,92,72,0.013586363145711516
alpha,C1,0.31191312714587316,0.27687854319003596,0.035034583955837195,0.2601431955992244,0.07437071253739783,92,72,0.08295194859940527
alpha,C2,0.31642751922629647,0.2764925604545608,0.039934958771735696,0.297690128618908,0.03851907239399064,92,72,0.0485675260619882
alpha,C3,0.33726779761413594,0.27741887953607036,0.05984891807806558,0.41819792589334503,0.002940632907170457,92,72,0.008121748029327929
alpha,C4,0.3283634484893833,0.2734064501035449,0.054956998385838396,0.393066174884238,0.00453939620994511,92,72,0.01097020750736735
alpha,C5,0.298612109061377,0.26676734346715236,0.03184476559422461,0.25645410654173145,0.04961648238679878,92,72,0.05995324955071519
alpha,C6,0.291267209793263,0.25776118010771154,0.03350602968555144,0.26344441177950145,0.04661697334389409,92,72,0.05752732880735867
alpha,CP1,0.36621803490549354,0.29909704866553577,0.06712098623995777,0.46303398624267855,0.002262634440223057,92,72,0.007805257640011415
alpha,CP2,0.3665957695168442,0.30086904837884787,0.06572672113799632,0.44970929627743195,0.002816093332888434,92,72,0.008121748029327929
alpha,CP3,0.37541724297989204,0.29556610361992114,0.0798511393599709,0.5431873517249723,0.00039440340764255874,92,72,0.004429838532817754
alpha,CP4,0.38486064534533765,0.3082316511761072,0.07662899416923047,0.5271941982481215,0.0006234531050451045,92,72,0.005063263858308815
alpha,CP5,0.32672094900691095,0.2738895342317364,0.05283141477517456,0.4015390444237032,0.004981911507233571,92,72,0.011558034696781884
alpha,CP6,0.35492625048392257,0.2966497044348217,0.058276546049100875,0.40400128653414863,0.00814885967822438,92,72,0.01476980816678169
alpha,CPz,0.36537069599689437,0.2997826660909935,0.06558802990590085,0.4498135702361434,0.0027556469961057765,92,72,0.008121748029327929
alpha,Cz,0.309665317061862,0.2724286363444105,0.03723668071745151,0.27902316425407214,0.06470618033394625,92,72,0.07505916918737765
alpha,F1,0.3437952572700129,0.2835295484565476,0.060265708813465324,0.4052537482499852,0.008982910154510006,92,72,0.015788145120047888
alpha,F2,0.3390834543926788,0.2836839000733482,0.05539955431933058,0.38097176605096383,0.013502890041669297,92,72,0.02175465617824498
alpha,F3,0.341384007030943,0.2721908931205434,0.06919311391039962,0.46609335810572117,0.002287747928968863,92,72,0.007805257640011415
alpha,F4,0.33268813148115767,0.2709714016005622,0.061716729880595456,0.4300563512119292,0.005925579547062061,92,72,0.012729022730725908
alpha,F5,0.33145487424080905,0.2707611483308195,0.06069372590998956,0.4145279186298927,0.004492492999360715,92,72,0.01097020750736735
alpha,F6,0.317522368699759,0.26564411246067393,0.05187825623908504,0.35940392354555933,0.01712227242758819,92,72,0.02546389232820808
alpha,F7,0.3109436305451984,0.26148830280560076,0.049455327739597654,0.35302059975068273,0.014942311711117673,92,72,0.023016293186813926
alpha,F8,0.29445272366319736,0.25922371797381527,0.03522900568938209,0.25915206474485414,0.09010176224372256,92,72,0.09860192849313035
alpha,FC1,0.32610993510957687,0.2830462836947422,0.04306365141483465,0.29925037945219896,0.05237227530240921,92,72,0.06199167280693335
alpha,FC2,0.32800313075786125,0.28243534504404344,0.04556778571381781,0.3187152539231447,0.032715441964911926,92,72,0.04216656964366426
alpha,FC3,0.3270265349129712,0.27086727460369775,0.05615926030927343,0.4000287329461136,0.010576931944099054,92,72,0.018043001551698388
alpha,FC4,0.3221391976969774,0.27082861612957837,0.05131058156739904,0.36003695327852614,0.01507964036377464,92,72,0.023016293186813926
alpha,FC5,0.3146853671930742,0.27270435815035143,0.04198100904272278,0.30879712629184203,0.02585808284209297,92,72,0.03487834429863702
alpha,FC6,0.29866637728964407,0.2634929468398555,0.035173430449788545,0.26398108050572106,0.06813875286806202,92,72,0.07749113071269799
alpha,FT7,0.2755928837833012,0.25622388385377487,0.019368999929526343,0.15833978337218294,0.21833425626006986,92,72,0.23024339751061912
alpha,FT8,0.2596441721728748,0.25135003152186886,0.008294140651005921,0.07026542056887476,0.6017552285502865,92,72,0.6017552285502865
alpha,Fp1,0.37491299315604587,0.28577837903614833,0.08913461411989754,0.5340606916188755,0.0008630612887272817,92,72,0.005063263858308815
alpha,Fp2,0.36417923321377155,0.2804313701249511,0.08374786308882043,0.5055871961293226,0.0017902709206701482,92,72,0.006922380893257906
alpha,Fz,0.34816435778993154,0.28590066272300607,0.06226369506692547,0.4174450803117867,0.0076069850170187485,92,72,0.014232423580228627
alpha,O1,0.4274176691662968,0.3531567811340579,0.0742608880322389,0.4377456686821295,0.004176276218307059,92,72,0.01097020750736735
alpha,O2,0.41332910430957015,0.3507463583086431,0.06258274600092706,0.3703794282398949,0.022724242637477087,92,72,0.0313810969755636
alpha,Oz,0.3986236184786092,0.3309368256211076,0.06768679285750162,0.40754595916682085,0.007027429213299061,92,72,0.013586363145711516
alpha,P1,0.44109595188467804,0.3444901899198366,0.09660576196484144,0.5811176717869767,0.0002459885377240462,92,72,0.004429838532817754
alpha,P2,0.44374583144249635,0.3576383997200499,0.08610743172244645,0.5248826470645512,0.0007657945884912826,92,72,0.005063263858308815
alpha,P3,0.4507450012985817,0.3515133531747169,0.09923164812386481,0.5986131698777287,0.00021042317669427895,92,72,0.004429838532817754
alpha,P4,0.465639268488559,0.36850225191214325,0.09713701657641577,0.5930924985319047,0.0002305340263934117,92,72,0.004429838532817754
alpha,P5,0.42643916615993943,0.3407378645852304,0.08570130157470901,0.5412938306784236,0.0009602741800240855,92,72,0.005063263858308815
alpha,P6,0.4548287503113614,0.3686559275884283,0.08617282272293308,0.5186759737733807,0.001673025773545938,92,72,0.006922380893257906
