feature,block,region
bp__central__abs_power_alpha,bp,central
bp__central__abs_power_beta,bp,central
bp__central__abs_power_delta,bp,central
bp__central__abs_power_gamma,bp,central
bp__central__abs_power_theta,bp,central
bp__central__idx_log_slow_alpha_beta,bp,central
bp__central__idx_slow_alpha,bp,central
bp__central__idx_slow_alpha_beta,bp,central
bp__central__idx_slow_beta,bp,central
bp__central__rel_power_alpha,bp,central
bp__central__rel_power_beta,bp,central
bp__central__rel_power_delta,bp,central
bp__central__rel_power_gamma,bp,central
bp__central__rel_power_theta,bp,central
bp__central__total_power_1_45,bp,central
bp__frontal__abs_power_alpha,bp,frontal
bp__frontal__abs_power_beta,bp,frontal
bp__frontal__abs_power_delta,bp,frontal
bp__frontal__abs_power_gamma,bp,frontal
bp__frontal__abs_power_theta,bp,frontal
bp__frontal__idx_log_slow_alpha_beta,bp,frontal
bp__frontal__idx_slow_alpha,bp,frontal
bp__frontal__idx_slow_alpha_beta,bp,frontal
bp__frontal__idx_slow_beta,bp,frontal
bp__frontal__rel_power_alpha,bp,frontal
bp__frontal__rel_power_beta,bp,frontal
bp__frontal__rel_power_delta,bp,frontal
bp__frontal__rel_power_gamma,bp,frontal
bp__frontal__rel_power_theta,bp,frontal
bp__frontal__total_power_1_45,bp,frontal
bp__occipital__abs_power_alpha,bp,occipital
bp__occipital__abs_power_beta,bp,occipital
bp__occipital__abs_power_delta,bp,occipital
bp__occipital__abs_power_gamma,bp,occipital
bp__occipital__abs_power_theta,bp,occipital
bp__occipital__idx_log_slow_alpha_beta,bp,occipital
bp__occipital__idx_slow_alpha,bp,occipital
bp__occipital__idx_slow_alpha_beta,bp,occipital
bp__occipital__idx_slow_beta,bp,occipital
bp__occipital__rel_power_alpha,bp,occipital
bp__occipital__rel_power_beta,bp,occipital
bp__occipital__rel_power_delta,bp,occipital
bp__occipital__rel_power_gamma,bp,occipital
bp__occipital__rel_power_theta,bp,occipital
bp__occipital__total_power_1_45,bp,occipital
bp__parietal__abs_power_alpha,bp,parietal
bp__parietal__abs_power_beta,bp,parietal
bp__parietal__abs_power_delta,bp,parietal
bp__parietal__abs_power_gamma,bp,parietal
bp__parietal__abs_power_theta,bp,parietal
bp__parietal__idx_log_slow_alpha_beta,bp,parietal
bp__parietal__idx_slow_alpha,bp,parietal
bp__parietal__idx_slow_alpha_beta,bp,parietal
bp__parietal__idx_slow_beta,bp,parietal
bp__parietal__rel_power_alpha,bp,parietal
bp__parietal__rel_power_beta,bp,parietal
bp__parietal__rel_power_delta,bp,parietal
bp__parietal__rel_power_gamma,bp,parietal
bp__parietal__rel_power_theta,bp,parietal
bp__parietal__total_power_1_45,bp,parietal
bp__temporal__abs_power_alpha,bp,temporal
bp__temporal__abs_power_beta,bp,temporal
bp__temporal__abs_power_delta,bp,temporal
bp__temporal__abs_power_gamma,bp,temporal
bp__temporal__abs_power_theta,bp,temporal
bp__temporal__idx_log_slow_alpha_beta,bp,temporal
bp__temporal__idx_slow_alpha,bp,temporal
bp__temporal__idx_slow_alpha_beta,bp,temporal
bp__temporal__idx_slow_beta,bp,temporal
bp__temporal__rel_power_alpha,bp,temporal
bp__temporal__rel_power_beta,bp,temporal
bp__temporal__rel_power_delta,bp,temporal
bp__temporal__rel_power_gamma,bp,temporal
bp__temporal__rel_power_theta,bp,temporal
bp__temporal__total_power_1_45,bp,temporal
spec_shape__central__sef50,spec_shape,central
spec_shape__central__sef95,spec_shape,central
spec_shape__central__spectral_entropy,spec_shape,central
spec_shape__central__spectral_flatness,spec_shape,central
spec_shape__frontal__sef50,spec_shape,frontal
spec_shape__frontal__sef95,spec_shape,frontal
spec_shape__frontal__spectral_entropy,spec_shape,frontal
spec_shape__frontal__spectral_flatness,spec_shape,frontal
spec_shape__occipital__sef50,spec_shape,occipital
spec_shape__occipital__sef95,spec_shape,occipital
spec_shape__occipital__spectral_entropy,spec_shape,occipital
spec_shape__occipital__spectral_flatness,spec_shape,occipital
spec_shape__parietal__sef50,spec_shape,parietal
