region,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
temporal,abs_power_delta,1.0619054373488292e-11,6.606799657712671e-12,4.012254715775621e-12,7.947073643571454e-12,5.040851752501459e-12,2.906221891069995e-12,5.999353078820515e-12,3.708305783166413e-12,0.39177613386239646,0.45828785279900197,56112.0,4.524086527027254e-20,212,363,5.428903832432705e-18,True
temporal,aperiodic_offset,-10.988206653482038,-11.331727723521077,0.34352107003903853,-10.988398342136726,-11.360153287122477,0.3717549449857511,0.46386617978886413,0.7204137099963752,0.6709171171709355,0.41881074899942816,54593.0,5.096018261282429e-17,212,363,3.0576109567694574e-15,True
parietal,abs_power_delta,1.0316006040656095e-11,6.9664339613979746e-12,3.34957207925812e-12,7.856565368562649e-12,4.804280628101408e-12,3.0522847404612415e-12,5.988669791995862e-12,4.497205809919369e-12,0.39350698841353315,0.40342533395706637,54001.0,6.668661923152995e-16,212,363,2.0005985769458983e-14,True
temporal,idx_slow_beta,2.794983710199933,2.1094492799828957,0.6855344302170372,2.4231568049095387,1.611632961809727,0.8115238430998117,1.655933164718734,1.4691562643608695,0.3786285118055384,0.4042050002598887,54031.0,5.867069355520492e-16,212,363,2.0005985769458983e-14,True
temporal,abs_power_theta,5.160655923105854e-12,3.6282084694894894e-12,1.5324474536163643e-12,3.734026044874535e-12,2.325640788679296e-12,1.408385256195239e-12,3.704538363315339e-12,2.3583159816310482e-12,0.33164953683711546,0.3975258589323769,53774.0,1.7438004595319899e-15,212,363,4.185121102876776e-14,True
parietal,aperiodic_offset,-10.641097879979522,-10.986219037072924,0.3451211570934021,-10.652535715280742,-10.980359316370542,0.3278236010898006,0.6010893249782896,0.81248626139541,0.6144645690922915,0.3802172670097199,53108.0,2.7029534652812986e-14,212,363,5.405906930562597e-13,True
parietal,abs_power_theta,7.156555506065472e-12,4.954268861619533e-12,2.202286644445939e-12,4.7147517534076276e-12,2.5918823513222355e-12,2.122869402085392e-12,5.061930195306226e-12,3.447174861243692e-12,0.2871506616831595,0.37548729143926396,52926.0,5.600077359050621e-14,212,363,9.60013261551535e-13,True
temporal,sef50,7.959905660377358,9.926308539944904,-1.9664028795675454,8.5,9.5,-1.0,3.0,2.5,-0.5977923822440441,-0.3738889755184781,24091.5,6.858734232690343e-14,212,363,1.0288101349035514e-12,True
central,aperiodic_offset,-11.071396383004528,-11.356014764649169,0.28461838164464126,-11.100571664789953,-11.382440667381758,0.2818690025918045,0.46111028586081915,0.6605304908023246,0.5772393472898745,0.3668589843546961,52594.0,2.06734256153278e-13,212,363,2.7564567487103736e-12,True
temporal,aperiodic_exponent,1.2094009235160532,0.9783111314410908,0.23108979207496239,1.215055996482438,0.9694637625180061,0.24559223396443175,0.38511930784490045,0.5503290892092547,0.6370937040754647,0.36324653048495237,52455.0,3.5408517245042725e-13,212,363,4.249022069405127e-12,True
central,abs_power_delta,6.0808663514485524e-12,4.225740018475211e-12,1.8551263329733416e-12,4.4475490305212684e-12,3.3189953305089147e-12,1.1285537000123538e-12,3.6197172499000883e-12,2.3260268525235424e-12,0.3709204685467604,0.35087582514683713,51979.0,2.1501903559375803e-12,212,363,2.3456622064773606e-11,True
central,aperiodic_exponent,1.2979846042261378,1.099858478126228,0.19812612609990987,1.3295944377926807,1.1152748608686898,0.21431957692399095,0.337575729089425,0.4759629094806983,0.6068139784514356,0.34541816102708034,51769.0,4.674812947780306e-12,212,363,4.674812947780306e-11,True
temporal,rel_power_beta,0.18056802491871127,0.2268375172345801,-0.046269492315868826,0.16837062105180495,0.22609040172846376,-0.05771978067665881,0.07345914023508551,0.1282456489046294,-0.5917730408438887,-0.33226778938614276,25693.0,2.8944851958338145e-11,212,363,2.6718324884619823e-10,True
central,abs_power_theta,3.741475121824116e-12,2.7401300101853232e-12,1.0013451116387927e-12,2.56407626022662e-12,1.6645533717173698e-12,8.995228885092503e-13,2.398415874127718e-12,1.748418563332926e-12,0.28364248502569517,0.3255626591818701,51005.0,7.143992314009198e-11,212,363,6.123421983436455e-10,True
parietal,abs_power_alpha,2.907287393225966e-11,2.390947266877342e-11,5.1634012634862415e-12,1.962754228211548e-11,7.453421240298556e-12,1.2174121041816924e-11,3.483577197018307e-11,2.5720369170459654e-11,0.13466067654460084,0.32382140443890006,50938.0,9.00703154526983e-11,212,363,6.357904620190468e-10,True
temporal,rel_power_theta,0.14251190503193084,0.12234167799382774,0.020170227038103103,0.1356811602829488,0.11162363877998088,0.024057521502967916,0.05114410454914198,0.05624993940790629,0.36330952855348914,0.32473101512552627,50973.0,7.981281869015492e-11,212,363,6.357904620190468e-10,True
temporal,spectral_flatness,0.4779530240189505,0.5717636482125877,-0.09381062419363723,0.45475294000901634,0.5838933992418865,-0.1291404592328702,0.17392918085547365,0.27323668892569075,-0.5694841770033672,-0.32395134882270393,26013.0,8.852970693952548e-11,212,363,6.357904620190468e-10,True
occipital,abs_power_theta,7.675290387895522e-12,6.114622188453403e-12,1.5606681994421186e-12,5.700376266489625e-12,3.80188874590187e-12,1.8984875205877553e-12,5.6914720249571346e-12,4.060951437898217e-12,0.2210458680193058,0.3210146057487395,50830.0,1.3053313186971762e-10,212,363,8.702208791314509e-10,True
temporal,sef95,31.316037735849058,34.349173553719005,-3.0331358178699475,31.375,36.25,-4.875,8.125,10.375,-0.4790664959541329,-0.3171162742346276,26276.0,2.1653413326069965e-10,212,363,1.367583999541261e-09,True
temporal,spectral_entropy,0.8435119034242098,0.8718952781037947,-0.02838337467958496,0.8444825992544687,0.8779755524033197,-0.033492953148851035,0.04975058233799767,0.08421019268432539,-0.47471435353106173,-0.3109309215655699,26514.0,4.82567998836043e-10,212,363,2.8954079930162582e-09,True
parietal,aperiodic_exponent,1.4753788219645094,1.293774859220845,0.18160396274366453,1.5059911943218658,1.3201252910849557,0.1858659032369101,0.3623421479754554,0.5041638207066641,0.5245816562466,0.30695462342117574,50289.0,7.993119452401112e-10,212,363,4.567496829943492e-09,True
parietal,total_power_1_45,5.746253287442361e-11,4.529944794283246e-11,1.2163084931591146e-11,4.304934143197912e-11,2.5525648900093623e-11,1.75236925318855e-11,5.52012466064625e-11,4.1501204575249247e-11,0.2353424036622617,0.30562919070637773,50238.0,9.444333082105567e-10,212,363,5.151454408421219e-09,True
occipital,abs_power_delta,1.222707667101785e-11,1.0096767703400904e-11,2.130308967616946e-12,9.592140702670342e-12,6.694487231000815e-12,2.8976534716695264e-12,6.808349493222624e-12,6.499949304058902e-12,0.17738187408668749,0.30336815842819265,50151.0,1.25337665131749e-09,212,363,6.53935644165647e-09,True
temporal,rel_power_gamma,0.06836322828196802,0.10741787968470766,-0.03905465140273964,0.0584649928961764,0.09139101728962969,-0.03292602439345329,0.044812410971023994,0.09173762294822807,-0.5904251792162585,-0.30037943760070684,26920.0,1.8164179030237825e-09,212,363,9.082089515118911e-09,True
parietal,alpha_peak_amplitude,1.1695266226448943e-11,1.077865540510194e-11,9.166108213470033e-13,7.496355730724564e-12,2.802750816970197e-12,4.693604913754366e-12,1.4216243863660041e-11,1.1201381390285053e-11,0.05038358196592393,0.296974894745049,49905.0,2.760066185579171e-09,212,363,1.3248317690780021e-08,True
central,idx_slow_beta,2.4588258998368073,1.9617295016750347,0.49709639816177265,2.223355440819482,1.6688916584602027,0.5544637823592793,1.3836432717616212,1.5234076053877765,0.35078417208586293,0.28910026508654285,49602.0,7.139301385615984e-09,212,363,3.295062177976608e-08,True
central,spectral_flatness,0.44333305062630796,0.5213211838060381,-0.07798813317973013,0.43306698042852165,0.5216314228674785,-0.08856444243895689,0.14383064089033792,0.23900414892176663,-0.5035813464670548,-0.28611154425905716,27469.0,1.0175374881481246e-08,212,363,4.522388836213887e-08,True
temporal,rel_power_delta,0.2945214501546014,0.2486630996048132,0.04585835054978821,0.28208612987449366,0.230961393600542,0.05112473627395167,0.14211575562781512,0.12575351259169154,0.42344746370770325,0.28450023389989076,49425.0,1.2299610159259653e-08,212,363,5.271261496825566e-08,True
central,rel_power_beta,0.18976078990871434,0.23790445408828653,-0.04814366417957219,0.1749102038390934,0.2269802473077672,-0.052070043468673805,0.08359152102482331,0.1427749686366898,-0.5036192886120573,-0.2817714018400125,27636.0,1.6917492969981765e-08,212,363,6.766997187992706e-08,True
occipital,abs_power_alpha,3.043341442358564e-11,3.563434360751523e-11,-5.200929183929592e-12,2.098783039451622e-11,8.802471841570954e-12,1.2185358552945267e-11,3.404062016433864e-11,2.8567536878415427e-11,-0.07767665737694185,0.2818753573470554,49324.0,1.6714178722652065e-08,212,363,6.766997187992706e-08,True
central,sef95,28.93514150943396,31.973140495867767,-3.0379989864338057,28.5,32.25,-3.75,7.25,11.25,-0.49574810353541765,-0.2812256354280368,27657.0,1.7977037691049204e-08,212,363,6.958853299760982e-08,True
