feature,missing_prop,zero_variance
dfa__central_alpha__dfa_exponent,0.0,False
dfa__central_beta__dfa_exponent,0.0,False
dfa__frontal_alpha__dfa_exponent,0.0,False
dfa__frontal_beta__dfa_exponent,0.0,False
dfa__occipital_alpha__dfa_exponent,0.0,False
dfa__occipital_beta__dfa_exponent,0.0,False
dfa__parietal_alpha__dfa_exponent,0.0,False
dfa__parietal_beta__dfa_exponent,0.0,False
dfa__temporal_alpha__dfa_exponent,0.0,False
dfa__temporal_beta__dfa_exponent,0.0,False
burst__central_alpha__burst_mean_duration_sec,0.0,False
burst__central_alpha__burst_mean_peak_z,0.0,False
burst__central_alpha__burst_median_duration_sec,0.0,False
burst__central_alpha__burst_rate_per_min,0.0,False
burst__central_alpha__burst_time_fraction,0.0,False
burst__central_alpha__n_bursts,0.0,False
burst__central_beta__burst_mean_duration_sec,0.0034782608695652175,False
burst__central_beta__burst_mean_peak_z,0.0034782608695652175,False
burst__central_beta__burst_median_duration_sec,0.0034782608695652175,False
burst__central_beta__burst_rate_per_min,0.0,False
burst__central_beta__burst_time_fraction,0.0,False
burst__central_beta__n_bursts,0.0,False
burst__frontal_alpha__burst_mean_duration_sec,0.0,False
burst__frontal_alpha__burst_mean_peak_z,0.0,False
burst__frontal_alpha__burst_median_duration_sec,0.0,False
burst__frontal_alpha__burst_rate_per_min,0.0,False
burst__frontal_alpha__burst_time_fraction,0.0,False
burst__frontal_alpha__n_bursts,0.0,False
burst__frontal_beta__burst_mean_duration_sec,0.01217391304347826,False
burst__frontal_beta__burst_mean_peak_z,0.01217391304347826,False
burst__frontal_beta__burst_median_duration_sec,0.01217391304347826,False
burst__frontal_beta__burst_rate_per_min,0.0,False
burst__frontal_beta__burst_time_fraction,0.0,False
burst__frontal_beta__n_bursts,0.0,False
burst__occipital_alpha__burst_mean_duration_sec,0.0,False
burst__occipital_alpha__burst_mean_peak_z,0.0,False
burst__occipital_alpha__burst_median_duration_sec,0.0,False
burst__occipital_alpha__burst_rate_per_min,0.0,False
burst__occipital_alpha__burst_time_fraction,0.0,False
burst__occipital_alpha__n_bursts,0.0,False
burst__occipital_beta__burst_mean_duration_sec,0.010434782608695653,False
burst__occipital_beta__burst_mean_peak_z,0.010434782608695653,False
burst__occipital_beta__burst_median_duration_sec,0.010434782608695653,False
burst__occipital_beta__burst_rate_per_min,0.0,False
burst__occipital_beta__burst_time_fraction,0.0,False
burst__occipital_beta__n_bursts,0.0,False
burst__parietal_alpha__burst_mean_duration_sec,0.0,False
burst__parietal_alpha__burst_mean_peak_z,0.0,False
burst__parietal_alpha__burst_median_duration_sec,0.0,False
burst__parietal_alpha__burst_rate_per_min,0.0,False
burst__parietal_alpha__burst_time_fraction,0.0,False
burst__parietal_alpha__n_bursts,0.0,False
burst__parietal_beta__burst_mean_duration_sec,0.008695652173913044,False
burst__parietal_beta__burst_mean_peak_z,0.008695652173913044,False
burst__parietal_beta__burst_median_duration_sec,0.008695652173913044,False
burst__parietal_beta__burst_rate_per_min,0.0,False
burst__parietal_beta__burst_time_fraction,0.0,False
burst__parietal_beta__n_bursts,0.0,False
burst__temporal_alpha__burst_mean_duration_sec,0.0,False
burst__temporal_alpha__burst_mean_peak_z,0.0,False
burst__temporal_alpha__burst_median_duration_sec,0.0,False
