method,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
plv,alpha,local_efficiency,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,2.70755884147718e-10,True
plv,alpha,small_world_proxy,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,2.70755884147718e-10,True
plv,alpha,avg_shortest_path,1.3242753623188406,1.0561342592592593,0.2681411030595813,1.3333333333333335,1.0,0.3333333333333335,0.6666666666666667,0.08333333333333326,1.2618736185726251,0.5718599033816425,5206.0,2.4107372888922313e-11,92,72,3.037144518533951e-10,True
plv,alpha,global_efficiency,0.3644021739130433,0.31096643518518513,0.05343573872785817,0.36666666666666664,0.3,0.06666666666666665,0.1333333333333333,0.012500000000000011,1.256342018684912,0.5712560386473431,5204.0,2.530953765444959e-11,92,72,3.037144518533951e-10,True
coh,alpha,local_efficiency,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,2.366094853222369e-09,True
coh,alpha,small_world_proxy,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,2.366094853222369e-09,True
coh,alpha,avg_shortest_path,1.3203502415458939,1.0887345679012346,0.2316156736446593,1.2916666666666665,1.0,0.2916666666666665,0.5833333333333335,0.16666666666666674,1.0773695825102219,0.5398550724637681,5100.0,7.422207293897678e-10,92,72,3.7798237433493875e-09,True
coh,alpha,global_efficiency,0.363617149758454,0.3173418209876543,0.046275328770799706,0.3555555555555555,0.3,0.055555555555555525,0.12083333333333329,0.033333333333333326,1.0754571752403435,0.5395531400966183,5099.0,7.586151237584509e-10,92,72,3.7798237433493875e-09,True
coh,theta,local_efficiency,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,3.7798237433493875e-09,True
coh,theta,small_world_proxy,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,3.7798237433493875e-09,True
coh,theta,avg_shortest_path,1.3266908212560389,1.0817901234567904,0.2449006977992485,1.3333333333333335,1.0,0.3333333333333335,0.6666666666666667,0.16666666666666674,1.182729140630481,0.5310990338164252,5071.0,1.7791203108386072e-09,92,72,7.503815508347867e-09,True
coh,theta,global_efficiency,0.36458333333333315,0.3156346450617284,0.04894868827160476,0.36666666666666664,0.3,0.06666666666666665,0.1333333333333333,0.033333333333333326,1.1788398508305915,0.5303442028985508,5068.5,1.8759538770869667e-09,92,72,7.503815508347867e-09,True
plv,theta,local_efficiency,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,2.8061794320520598e-06,True
plv,theta,small_world_proxy,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,2.8061794320520598e-06,True
imcoh,beta,avg_shortest_path,1.613828502415459,1.5668402777777777,0.046988224637681375,1.6666666666666667,1.59375,0.07291666666666674,0.05555555555555536,0.125,0.4687339372314761,0.4159118357487923,4689.5,1.6370257427703387e-06,92,72,5.2384823768650836e-06,True
plv,theta,avg_shortest_path,1.1980676328502415,1.0445601851851853,0.1535074476650562,1.1666666666666665,1.0,0.16666666666666652,0.3333333333333335,0.04166666666666674,0.857128954968985,0.3902475845410629,4604.5,1.985262082288039e-06,92,72,5.955786246864117e-06,True
