feature,block
bp__band_fmin__central_alpha,bp
bp__band_fmin__central_beta,bp
bp__band_fmin__central_delta,bp
bp__band_fmin__central_theta,bp
bp__band_fmin__frontal_alpha,bp
bp__band_fmin__frontal_beta,bp
bp__band_fmin__frontal_delta,bp
bp__band_fmin__frontal_theta,bp
bp__band_fmin__occipital_alpha,bp
bp__band_fmin__occipital_beta,bp
bp__band_fmin__occipital_delta,bp
bp__band_fmin__occipital_theta,bp
bp__band_fmin__parietal_alpha,bp
bp__band_fmin__parietal_beta,bp
bp__band_fmin__parietal_delta,bp
bp__band_fmin__parietal_theta,bp
bp__band_fmin__temporal_alpha,bp
bp__band_fmin__temporal_beta,bp
bp__band_fmin__temporal_delta,bp
bp__band_fmin__temporal_theta,bp
bp__band_fmax__central_alpha,bp
bp__band_fmax__central_beta,bp
bp__band_fmax__central_delta,bp
bp__band_fmax__central_theta,bp
bp__band_fmax__frontal_alpha,bp
bp__band_fmax__frontal_beta,bp
bp__band_fmax__frontal_delta,bp
bp__band_fmax__frontal_theta,bp
bp__band_fmax__occipital_alpha,bp
bp__band_fmax__occipital_beta,bp
bp__band_fmax__occipital_delta,bp
bp__band_fmax__occipital_theta,bp
bp__band_fmax__parietal_alpha,bp
bp__band_fmax__parietal_beta,bp
bp__band_fmax__parietal_delta,bp
bp__band_fmax__parietal_theta,bp
bp__band_fmax__temporal_alpha,bp
bp__band_fmax__temporal_beta,bp
bp__band_fmax__temporal_delta,bp
bp__band_fmax__temporal_theta,bp
alpha_peak__paf_hz__central,alpha_peak
alpha_peak__paf_hz__frontal,alpha_peak
alpha_peak__paf_hz__occipital,alpha_peak
alpha_peak__paf_hz__parietal,alpha_peak
alpha_peak__paf_hz__temporal,alpha_peak
alpha_peak__alpha_peak_amp_db__central,alpha_peak
alpha_peak__alpha_peak_amp_db__frontal,alpha_peak
alpha_peak__alpha_peak_amp_db__occipital,alpha_peak
alpha_peak__alpha_peak_amp_db__parietal,alpha_peak
alpha_peak__alpha_peak_amp_db__temporal,alpha_peak
alpha_peak__alpha_peak_db__central,alpha_peak
alpha_peak__alpha_peak_db__frontal,alpha_peak
alpha_peak__alpha_peak_db__occipital,alpha_peak
alpha_peak__alpha_peak_db__parietal,alpha_peak
alpha_peak__alpha_peak_db__temporal,alpha_peak
alpha_peak__alpha_win_lo__central,alpha_peak
alpha_peak__alpha_win_lo__frontal,alpha_peak
alpha_peak__alpha_win_lo__occipital,alpha_peak
alpha_peak__alpha_win_lo__parietal,alpha_peak
alpha_peak__alpha_win_lo__temporal,alpha_peak
alpha_peak__alpha_win_hi__central,alpha_peak
alpha_peak__alpha_win_hi__frontal,alpha_peak
alpha_peak__alpha_win_hi__occipital,alpha_peak
alpha_peak__alpha_win_hi__parietal,alpha_peak
alpha_peak__alpha_win_hi__temporal,alpha_peak
alpha_peak__smooth_w__central,alpha_peak
alpha_peak__smooth_w__frontal,alpha_peak
alpha_peak__smooth_w__occipital,alpha_peak
alpha_peak__smooth_w__parietal,alpha_peak
alpha_peak__smooth_w__temporal,alpha_peak
spec_shape__sef95_hz__central,spec_shape
spec_shape__sef95_hz__frontal,spec_shape
spec_shape__sef95_hz__occipital,spec_shape
