feature,missing_fraction,inf_fraction,variance,zero_or_near_zero_variance,has_missing,has_inf
alpha_peak__paf_hz__central,0.0,0.0,7.495436181355679,False,False,False
alpha_peak__paf_hz__frontal,0.0,0.0,2.398922639533137,False,False,False
alpha_peak__paf_hz__occipital,0.0,0.0,6.5862636540475705,False,False,False
alpha_peak__paf_hz__parietal,0.0,0.0,9.131228490199046,False,False,False
alpha_peak__paf_hz__temporal,0.0,0.0,6.935208738590448,False,False,False
alpha_peak__alpha_peak_amp_db__central,0.0,0.0,5.387325550261872,False,False,False
alpha_peak__alpha_peak_amp_db__frontal,0.0,0.0,4.2667772136036985,False,False,False
alpha_peak__alpha_peak_amp_db__occipital,0.0,0.0,6.68318489745448,False,False,False
alpha_peak__alpha_peak_amp_db__parietal,0.0,0.0,6.578234910027918,False,False,False
alpha_peak__alpha_peak_amp_db__temporal,0.0,0.0,3.6079507077626145,False,False,False
alpha_peak__alpha_peak_db__central,0.0,0.0,4.435808873384787,False,False,False
alpha_peak__alpha_peak_db__frontal,0.0,0.0,2.687803399732449,False,False,False
alpha_peak__alpha_peak_db__occipital,0.0,0.0,4.716162682421339,False,False,False
alpha_peak__alpha_peak_db__parietal,0.0,0.0,5.711811322987818,False,False,False
alpha_peak__alpha_peak_db__temporal,0.0,0.0,3.7882365743504414,False,False,False
spec_shape__sef95_hz__central,0.0,0.0,34.49981438372948,False,False,False
spec_shape__sef95_hz__frontal,0.0,0.0,38.470571527312664,False,False,False
spec_shape__sef95_hz__occipital,0.0,0.0,39.8649079855429,False,False,False
spec_shape__sef95_hz__parietal,0.0,0.0,35.405434789283476,False,False,False
spec_shape__sef95_hz__temporal,0.0,0.0,41.057430399636935,False,False,False
spec_shape__spectral_entropy_norm__central,0.0,0.0,0.0038054191511209105,False,False,False
spec_shape__spectral_entropy_norm__frontal,0.0,0.0,0.005397856490624337,False,False,False
spec_shape__spectral_entropy_norm__occipital,0.0,0.0,0.004276388381641513,False,False,False
spec_shape__spectral_entropy_norm__parietal,0.0,0.0,0.00369235336189676,False,False,False
spec_shape__spectral_entropy_norm__temporal,0.0,0.0,0.006541259451130617,False,False,False
spec_shape__spectral_entropy_raw__central,0.0,0.0,0.10195679175288931,False,False,False
spec_shape__spectral_entropy_raw__frontal,0.0,0.0,0.14462221066093578,False,False,False
spec_shape__spectral_entropy_raw__occipital,0.0,0.0,0.11457524713225624,False,False,False
spec_shape__spectral_entropy_raw__parietal,0.0,0.0,0.09892747364928248,False,False,False
spec_shape__spectral_entropy_raw__temporal,0.0,0.0,0.17525686427054854,False,False,False
aper__aperiodic_intercept_log10__central,0.0,0.0,0.24055831079169146,False,False,False
aper__aperiodic_intercept_log10__frontal,0.0,0.0,0.27237121153680993,False,False,False
aper__aperiodic_intercept_log10__occipital,0.0,0.0,0.24130898538875503,False,False,False
aper__aperiodic_intercept_log10__parietal,0.0,0.0,0.24884520525594378,False,False,False
aper__aperiodic_intercept_log10__temporal,0.0,0.0,0.33001978740271837,False,False,False
aper__aperiodic_slope__central,0.0,0.0,0.1737979690007713,False,False,False
aper__aperiodic_slope__frontal,0.0,0.0,0.23601084362470848,False,False,False
aper__aperiodic_slope__occipital,0.0,0.0,0.11228247491471108,False,False,False
aper__aperiodic_slope__parietal,0.0,0.0,0.10185632632610601,False,False,False
aper__aperiodic_slope__temporal,0.0,0.0,0.2653743598121635,False,False,False
aper__aperiodic_exponent__central,0.0,0.0,0.1737979690007713,False,False,False
aper__aperiodic_exponent__frontal,0.0,0.0,0.23601084362470848,False,False,False
aper__aperiodic_exponent__occipital,0.0,0.0,0.11228247491471108,False,False,False
aper__aperiodic_exponent__parietal,0.0,0.0,0.10185632632610601,False,False,False
aper__aperiodic_exponent__temporal,0.0,0.0,0.2653743598121635,False,False,False
aper__alpha_peak_cf_hz__central,0.0,0.0,2.4246192531423034,False,False,False
aper__alpha_peak_cf_hz__frontal,0.0,0.0,2.5525330128684725,False,False,False
aper__alpha_peak_cf_hz__occipital,0.0,0.0,1.840278037557982,False,False,False
aper__alpha_peak_cf_hz__parietal,0.0,0.0,1.9722915185919496,False,False,False
aper__alpha_peak_cf_hz__temporal,0.0,0.0,2.2456390047508608,False,False,False
aper__alpha_peak_amp_log10__central,0.0,0.0,0.13849798165388166,False,False,False
aper__alpha_peak_amp_log10__frontal,0.0,0.0,0.12339473857285325,False,False,False
aper__alpha_peak_amp_log10__occipital,0.0,0.0,0.20038640659918794,False,False,False
aper__alpha_peak_amp_log10__parietal,0.0,0.0,0.18125587394938344,False,False,False
aper__alpha_peak_amp_log10__temporal,0.0,0.0,0.0924360485561879,False,False,False
aper__alpha_peak_width_hz__central,0.0,0.0,1.7889859297845292,False,False,False
aper__alpha_peak_width_hz__frontal,0.0,0.0,1.4145032171180607,False,False,False
aper__alpha_peak_width_hz__occipital,0.0,0.0,1.4899295554017664,False,False,False
aper__alpha_peak_width_hz__parietal,0.0,0.0,1.4490007294628149,False,False,False
aper__alpha_peak_width_hz__temporal,0.0,0.0,1.53050650905282,False,False,False
aper__n_fit_points__central,0.0,0.0,0.1213526859194975,False,False,False
dfa__dfa_exp__central_alpha,0.0,0.0,0.00830042564637352,False,False,False
dfa__dfa_exp__central_beta,0.0,0.0,0.0076284449223154695,False,False,False
dfa__dfa_exp__frontal_alpha,0.0,0.0,0.008356189130999298,False,False,False
dfa__dfa_exp__frontal_beta,0.0,0.0,0.005974365469155023,False,False,False
dfa__dfa_exp__occipital_alpha,0.0,0.0,0.009935387944703071,False,False,False
dfa__dfa_exp__occipital_beta,0.0,0.0,0.005159215375987344,False,False,False
dfa__dfa_exp__parietal_alpha,0.0,0.0,0.00947583564341192,False,False,False
dfa__dfa_exp__parietal_beta,0.0,0.0,0.005703110647267872,False,False,False
dfa__dfa_exp__temporal_alpha,0.0,0.0,0.007739497594296987,False,False,False
dfa__dfa_exp__temporal_beta,0.0,0.0,0.012412380949969182,False,False,False
burst__rate_per_min__central_alpha,0.0,0.0,14.708601518801794,False,False,False
burst__rate_per_min__central_beta,0.0,0.0,25.82102140958117,False,False,False
burst__rate_per_min__frontal_alpha,0.0,0.0,15.675794724387064,False,False,False
burst__rate_per_min__frontal_beta,0.0,0.0,26.258736760497133,False,False,False
burst__rate_per_min__occipital_alpha,0.0,0.0,18.688615505214162,False,False,False
burst__rate_per_min__occipital_beta,0.0,0.0,49.74039397540905,False,False,False
burst__rate_per_min__parietal_alpha,0.0,0.0,18.42561365769655,False,False,False
burst__rate_per_min__parietal_beta,0.0,0.0,21.549063391605028,False,False,False
burst__rate_per_min__temporal_alpha,0.0,0.0,13.052212251633712,False,False,False
burst__rate_per_min__temporal_beta,0.0,0.0,38.55871037959517,False,False,False
burst__pct_time__central_alpha,0.0,0.0,6.283555672308383,False,False,False
burst__pct_time__central_beta,0.0,0.0,1.8772743924592155,False,False,False
burst__pct_time__frontal_alpha,0.0,0.0,9.536031534773826,False,False,False
burst__pct_time__frontal_beta,0.0,0.0,1.5269244047742876,False,False,False
burst__pct_time__occipital_alpha,0.0,0.0,12.564812459392835,False,False,False
burst__pct_time__occipital_beta,0.0,0.0,2.0772796118701464,False,False,False
burst__pct_time__parietal_alpha,0.0,0.0,10.45511497310787,False,False,False
burst__pct_time__parietal_beta,0.0,0.0,1.6468989539967043,False,False,False
burst__pct_time__temporal_alpha,0.0,0.0,4.643733549786877,False,False,False
burst__pct_time__temporal_beta,0.0,0.0,2.1494037178966607,False,False,False
burst__mean_amp__central_alpha,0.0,0.0,3.0567121485101183e-12,False,False,False
burst__mean_amp__central_beta,0.0,0.0,1.2049376496277875e-12,False,False,False
burst__mean_amp__frontal_alpha,0.0,0.0,9.828493663665768e-12,False,False,False
burst__mean_amp__frontal_beta,0.0,0.0,1.7404245611059587e-12,False,False,False
burst__mean_amp__occipital_alpha,0.0,0.0,3.3142977484608765e-11,False,False,False
burst__mean_amp__occipital_beta,0.0,0.0,4.3699687597688494e-12,False,False,False
burst__mean_amp__parietal_alpha,0.0,0.0,1.3855336861668967e-11,False,False,False
burst__mean_amp__parietal_beta,0.0,0.0,2.0750960824880033e-12,False,False,False
burst__mean_amp__temporal_alpha,0.0,0.0,4.199822906149817e-12,False,False,False
burst__mean_amp__temporal_beta,0.0,0.0,2.264432075137127e-12,False,False,False
burst__mean_peak__central_alpha,0.0,0.0,4.4515682324850576e-12,False,False,False
burst__mean_peak__central_beta,0.0,0.0,1.7065102794559447e-12,False,False,False
burst__mean_peak__frontal_alpha,0.0,0.0,1.4128245960238288e-11,False,False,False
burst__mean_peak__frontal_beta,0.0,0.0,2.4318135170054633e-12,False,False,False
burst__mean_peak__occipital_alpha,0.0,0.0,5.044295373622473e-11,False,False,False
burst__mean_peak__occipital_beta,0.0,0.0,6.516473323883741e-12,False,False,False
burst__mean_peak__parietal_alpha,0.0,0.0,1.9971733352936178e-11,False,False,False
burst__mean_peak__parietal_beta,0.0,0.0,2.9693648860020294e-12,False,False,False
burst__mean_peak__temporal_alpha,0.0,0.0,5.772639367066503e-12,False,False,False
burst__mean_peak__temporal_beta,0.0,0.0,3.380296764884582e-12,False,False,False
conn__mean_strength__coh_alpha,0.0,0.0,0.08389912456273697,False,False,False
conn__mean_strength__coh_beta,0.0,0.0,0.019932149158641433,False,False,False
conn__mean_strength__coh_delta,0.0,0.0,0.0815756799543591,False,False,False
conn__mean_strength__coh_theta,0.0,0.0,0.02738858550088295,False,False,False
conn__mean_strength__dtf_alpha,0.0,0.0,0.008274915530578329,False,False,False
conn__mean_strength__dtf_beta,0.0,0.0,0.0090938946513158,False,False,False
conn__mean_strength__dtf_delta,0.0,0.0,0.009825771375563107,False,False,False
conn__mean_strength__dtf_theta,0.0,0.0,0.008973712024400624,False,False,False
conn__mean_strength__imcoh_alpha,0.0,0.0,0.07446893161498001,False,False,False
conn__mean_strength__imcoh_beta,0.0,0.0,0.009414059373455626,False,False,False
conn__mean_strength__imcoh_delta,0.0,0.0,0.027130826222441975,False,False,False
conn__mean_strength__imcoh_theta,0.0,0.0,0.015473379345751173,False,False,False
conn__mean_strength__plv_alpha,0.0,0.0,0.048860321432307195,False,False,False
conn__mean_strength__plv_beta,0.0,0.0,0.0202819503000811,False,False,False
conn__mean_strength__plv_delta,0.0,0.0,0.020957546497430705,False,False,False
conn__mean_strength__plv_theta,0.0,0.0,0.01961867146003439,False,False,False
conn__mean_strength__wpli_alpha,0.0,0.0,0.5695251567319168,False,False,False
conn__mean_strength__wpli_beta,0.0,0.0,0.3568015716305563,False,False,False
conn__mean_strength__wpli_delta,0.0,0.0,0.192613042521188,False,False,False
conn__mean_strength__wpli_theta,0.0,0.0,0.21138136302449806,False,False,False
conn__clustering__coh_alpha,0.0,0.0,0.008621237144168566,False,False,False
conn__clustering__coh_beta,0.0,0.0,0.0017056263264051711,False,False,False
conn__clustering__coh_delta,0.0,0.0,0.007369266392811638,False,False,False
conn__clustering__coh_theta,0.0,0.0,0.004168048933550399,False,False,False
conn__clustering__dtf_alpha,0.0,0.0,0.004613318314287197,False,False,False
conn__clustering__dtf_beta,0.0,0.0,0.004132073160153064,False,False,False
conn__clustering__dtf_delta,0.0,0.0,0.004646724528426174,False,False,False
conn__clustering__dtf_theta,0.0,0.0,0.004784223767844862,False,False,False
conn__clustering__imcoh_alpha,0.0,0.0,0.00605415233010276,False,False,False
conn__clustering__imcoh_beta,0.0,0.0,0.0052237873825625196,False,False,False
conn__clustering__imcoh_delta,0.0,0.0,0.005368074901535052,False,False,False
conn__clustering__imcoh_theta,0.0,0.0,0.005992843370935326,False,False,False
conn__clustering__pdc_alpha,0.0,0.0,0.009974975309481472,False,False,False
conn__clustering__pdc_beta,0.0,0.0,0.00998772924472074,False,False,False
conn__clustering__pdc_delta,0.0,0.0,0.01036048600931295,False,False,False
conn__clustering__pdc_theta,0.0,0.0,0.009701044923772436,False,False,False
conn__clustering__plv_alpha,0.0,0.0,0.005084235860718681,False,False,False
conn__clustering__plv_beta,0.0,0.0,0.002358044157569879,False,False,False
conn__clustering__plv_delta,0.0,0.0,0.002588585807649761,False,False,False
conn__clustering__plv_theta,0.0,0.0,0.003674641720119253,False,False,False
conn__clustering__wpli_alpha,0.0,0.0,0.024242023746629808,False,False,False
conn__clustering__wpli_beta,0.0,0.0,0.015444439206155701,False,False,False
conn__clustering__wpli_delta,0.0,0.0,0.010537693291563035,False,False,False
conn__clustering__wpli_theta,0.0,0.0,0.011269968087009807,False,False,False
conn__global_efficiency__coh_alpha,0.0,0.0,0.004438449084315443,False,False,False
conn__global_efficiency__coh_beta,0.0,0.0,0.0014348777305523142,False,False,False
conn__global_efficiency__coh_delta,0.0,0.0,0.004510971798557047,False,False,False
conn__global_efficiency__coh_theta,0.0,0.0,0.00189409346740704,False,False,False
conn__global_efficiency__dtf_alpha,0.0,0.0,0.0008324831072769451,False,False,False
conn__global_efficiency__dtf_beta,0.0,0.0,0.0009046971494426414,False,False,False
conn__global_efficiency__dtf_delta,0.0,0.0,0.0011408890252930183,False,False,False
conn__global_efficiency__dtf_theta,0.0,0.0,0.0008976302220061959,False,False,False
conn__global_efficiency__imcoh_alpha,0.0,0.0,0.005609681226836712,False,False,False
conn__global_efficiency__imcoh_beta,0.0,0.0,0.0007214975534258985,False,False,False
conn__global_efficiency__imcoh_delta,0.0,0.0,0.0020122153107574583,False,False,False
conn__global_efficiency__imcoh_theta,0.0,0.0,0.001252677293170519,False,False,False
conn__global_efficiency__pdc_alpha,0.0,0.0,0.0006366898498034888,False,False,False
conn__global_efficiency__pdc_beta,0.0,0.0,0.0005665832481920102,False,False,False
conn__global_efficiency__pdc_delta,0.0,0.0,0.0004243751872785744,False,False,False
conn__global_efficiency__pdc_theta,0.0,0.0,0.0004951355695538131,False,False,False
conn__global_efficiency__plv_alpha,0.0,0.0,0.0023641817462175655,False,False,False
conn__global_efficiency__plv_beta,0.0,0.0,0.0010782646004697174,False,False,False
conn__global_efficiency__plv_delta,0.0,0.0,0.001255521874745278,False,False,False
conn__global_efficiency__plv_theta,0.0,0.0,0.0011307954365330684,False,False,False
conn__global_efficiency__wpli_alpha,0.0,0.0,0.03380888960823967,False,False,False
conn__global_efficiency__wpli_beta,0.0,0.0,0.02238014400636984,False,False,False
conn__global_efficiency__wpli_delta,0.0,0.0,0.012532308793068853,False,False,False
conn__global_efficiency__wpli_theta,0.0,0.0,0.013850097707688072,False,False,False
conn__modularity__coh_alpha,0.0,0.0,0.02837989552549379,False,False,False
conn__modularity__coh_beta,0.0,0.0,0.021180021179555426,False,False,False
conn__modularity__coh_delta,0.0,0.0,0.023717286325260916,False,False,False
conn__modularity__coh_theta,0.0,0.0,0.019214767691226837,False,False,False
conn__modularity__dtf_alpha,0.0,0.0,0.0075831912010885846,False,False,False
conn__modularity__dtf_beta,0.0,0.0,0.008170829246665982,False,False,False
conn__modularity__dtf_delta,0.0,0.0,0.006642712780445719,False,False,False
conn__modularity__dtf_theta,0.0,0.0,0.007975019917023604,False,False,False
conn__modularity__imcoh_alpha,0.0,0.0,0.00902363184806599,False,False,False
conn__modularity__imcoh_beta,0.0,0.0,0.009584464838489433,False,False,False
conn__modularity__imcoh_delta,0.0,0.0,0.007983714435765185,False,False,False
conn__modularity__imcoh_theta,0.0,0.0,0.010460565462273677,False,False,False
conn__modularity__pdc_alpha,0.0,0.0,0.008441866255798286,False,False,False
conn__modularity__pdc_beta,0.0,0.0,0.008239143322492724,False,False,False
conn__modularity__pdc_delta,0.0,0.0,0.008697980109863647,False,False,False
conn__modularity__pdc_theta,0.0,0.0,0.007808189272220547,False,False,False
conn__modularity__plv_alpha,0.0,0.0,0.029513753924954204,False,False,False
conn__modularity__plv_beta,0.0,0.0,0.022504072176487897,False,False,False
conn__modularity__plv_delta,0.0,0.0,0.016285226317592213,False,False,False
conn__modularity__plv_theta,0.0,0.0,0.013169593017614629,False,False,False
conn__modularity__wpli_alpha,0.0,0.0,0.007375984014944622,False,False,False
conn__modularity__wpli_beta,0.0,0.0,0.007129797620828981,False,False,False
conn__modularity__wpli_delta,0.0,0.0,0.007565071531778387,False,False,False
conn__modularity__wpli_theta,0.0,0.0,0.009622302434231452,False,False,False
conn__small_worldness__coh_alpha,0.0,0.0,4.982575251697885,False,False,False
conn__small_worldness__coh_beta,0.0,0.0,7.347450974805091,False,False,False
conn__small_worldness__coh_delta,0.0,0.0,11.6187102730078,False,False,False
conn__small_worldness__coh_theta,0.0,0.0,9.148799890907954,False,False,False
conn__small_worldness__dtf_alpha,0.0,0.0,4.954453904737655,False,False,False
conn__small_worldness__dtf_beta,0.0,0.0,4.981739921016677,False,False,False
conn__small_worldness__dtf_delta,0.0,0.0,3.072032328809837,False,False,False
conn__small_worldness__dtf_theta,0.0,0.0,2.5816946688916778,False,False,False
conn__small_worldness__imcoh_alpha,0.0,0.0,1.6742419100991177,False,False,False
conn__small_worldness__imcoh_beta,0.0,0.0,2.5710120484837597,False,False,False
