feature,variance
bp__band_fmax__central_alpha,0.0
bp__band_fmax__central_beta,0.0
bp__band_fmax__central_delta,0.0
bp__band_fmax__central_gamma,0.0
bp__band_fmax__central_theta,0.0
bp__band_fmax__frontal_alpha,0.0
bp__band_fmax__frontal_beta,0.0
bp__band_fmax__temporal_gamma,0.0
bp__band_fmax__temporal_theta,0.0
alpha_peak__alpha_win_lo__central,0.0
alpha_peak__alpha_win_lo__occipital,0.0
alpha_peak__alpha_win_lo__frontal,0.0
alpha_peak__alpha_win_hi__central,0.0
alpha_peak__alpha_win_lo__temporal,0.0
alpha_peak__alpha_win_hi__frontal,0.0
alpha_peak__alpha_win_lo__parietal,0.0
bp__band_fmin__occipital_theta,0.0
bp__band_fmin__occipital_gamma,0.0
meta__sfreq_hz,0.0
meta__n_channels,0.0
bp__band_fmin__central_gamma,0.0
bp__band_fmin__central_delta,0.0
bp__band_fmin__central_beta,0.0
bp__band_fmin__central_alpha,0.0
alpha_peak__smooth_w__temporal,0.0
alpha_peak__smooth_w__parietal,0.0
alpha_peak__smooth_w__occipital,0.0
alpha_peak__smooth_w__frontal,0.0
alpha_peak__smooth_w__central,0.0
alpha_peak__alpha_win_hi__temporal,0.0
alpha_peak__alpha_win_hi__parietal,0.0
alpha_peak__alpha_win_hi__occipital,0.0
bp__band_fmin__temporal_delta,0.0
bp__band_fmin__parietal_alpha,0.0
bp__band_fmin__parietal_beta,0.0
bp__band_fmin__parietal_delta,0.0
bp__band_fmin__parietal_gamma,0.0
bp__band_fmin__parietal_theta,0.0
bp__band_fmin__temporal_alpha,0.0
bp__band_fmin__temporal_beta,0.0
bp__band_fmin__frontal_alpha,0.0
bp__band_fmin__temporal_gamma,0.0
bp__band_fmin__temporal_theta,0.0
bp__band_fmin__central_theta,0.0
bp__band_fmin__frontal_delta,0.0
bp__band_fmin__frontal_beta,0.0
bp__band_fmin__frontal_gamma,0.0
aper__fit_fmin__frontal,0.0
spec_shape__fmin__parietal,0.0
spec_shape__fmin__temporal,0.0
spec_shape__fmax__central,0.0
spec_shape__fmin__occipital,0.0
spec_shape__fmin__central,0.0
spec_shape__fmin__frontal,0.0
conn__asymmetry__wpli_theta,0.0
conn__asymmetry__wpli_gamma,0.0
conn__asymmetry__wpli_delta,0.0
conn__asymmetry__wpli_beta,0.0
conn__asymmetry__wpli_alpha,0.0
conn__asymmetry__plv_theta,0.0
conn__asymmetry__plv_gamma,0.0
conn__asymmetry__plv_delta,0.0
conn__asymmetry__plv_beta,0.0
conn__asymmetry__plv_alpha,0.0
conn__n_roi_used__plv_alpha,0.0
conn__n_roi_used__plv_beta,0.0
conn__n_roi_used__plv_delta,0.0
conn__asymmetry__imcoh_beta,0.0
conn__asymmetry__imcoh_alpha,0.0
conn__asymmetry__coh_theta,0.0
conn__asymmetry__coh_gamma,0.0
conn__asymmetry__coh_delta,0.0
conn__asymmetry__imcoh_gamma,0.0
conn__asymmetry__imcoh_delta,0.0
conn__asymmetry__imcoh_theta,0.0
conn__n_roi_used__pdc_beta,0.0
conn__n_roi_used__pdc_alpha,0.0
conn__n_roi_used__imcoh_theta,0.0
conn__n_roi_used__imcoh_gamma,0.0
aper__n_fit_points__frontal,0.0
conn__n_roi_used__wpli_beta,0.0
aper__fit_fmin__occipital,0.0
aper__fit_fmin__parietal,0.0
spec_shape__fmax__frontal,0.0
spec_shape__fmax__occipital,0.0
spec_shape__fmax__parietal,0.0
spec_shape__fmax__temporal,0.0
aper__fit_fmin__central,0.0
aper__fit_fmax__central,0.0
aper__fit_fmax__frontal,0.0
aper__fit_fmax__occipital,0.0
aper__fit_fmin__temporal,0.0
aper__fit_fmax__parietal,0.0
conn__asymmetry__coh_beta,0.0
conn__n_roi_used__wpli_theta,0.0
aper__fit_fmax__temporal,0.0
conn__n_roi_used__plv_theta,0.0
conn__n_roi_used__wpli_alpha,0.0
conn__n_roi_used__wpli_delta,0.0
conn__n_roi_used__plv_gamma,0.0
conn__n_roi_used__pdc_gamma,0.0
conn__n_roi_used__pdc_delta,0.0
conn__n_roi_used__pdc_theta,0.0
conn__n_roi_used__imcoh_beta,0.0
conn__n_roi_used__dtf_alpha,0.0
conn__n_roi_used__coh_theta,0.0
conn__n_roi_used__coh_delta,0.0
conn__n_roi_used__coh_gamma,0.0
conn__n_roi_used__dtf_gamma,0.0
conn__n_roi_used__dtf_delta,0.0
conn__n_roi_used__dtf_beta,0.0
conn__n_roi_used__dtf_theta,0.0
dfa__env_fs__temporal_alpha,0.0
dfa__env_fs__temporal_beta,0.0
conn__n_roi_used__coh_alpha,0.0
conn__n_roi_used__coh_beta,0.0
dfa__env_fs__parietal_beta,0.0
dfa__env_fs__parietal_alpha,0.0
dfa__env_fs__occipital_beta,0.0
dfa__env_fs__occipital_alpha,0.0
dfa__env_fs__central_alpha,0.0
dfa__env_fs__central_beta,0.0
dfa__env_fs__frontal_alpha,0.0
dfa__env_fs__frontal_beta,0.0
aper__n_fit_points__temporal,0.0
aper__n_fit_points__parietal,0.0
aper__n_fit_points__occipital,0.0
conn__n_roi_used__wpli_gamma,0.0
bp__band_fmax__occipital_theta,0.0
bp__band_fmax__occipital_gamma,0.0
bp__band_fmax__occipital_beta,0.0
bp__band_fmax__occipital_delta,0.0
bp__band_fmax__occipital_alpha,0.0
bp__band_fmax__parietal_beta,0.0
bp__band_fmax__parietal_alpha,0.0
bp__band_fmax__parietal_gamma,0.0
bp__band_fmax__frontal_gamma,0.0
bp__band_fmax__frontal_theta,0.0
bp__band_fmax__frontal_delta,0.0
bp__band_fmin__occipital_delta,0.0
bp__band_fmin__occipital_beta,0.0
bp__band_fmin__occipital_alpha,0.0
bp__band_fmin__frontal_theta,0.0
bp__band_fmax__temporal_delta,0.0
bp__band_fmax__temporal_alpha,0.0
conn__n_roi_used__imcoh_alpha,0.0
conn__n_roi_used__imcoh_delta,0.0
bp__band_fmax__parietal_delta,0.0
bp__band_fmax__temporal_beta,0.0
bp__band_fmax__parietal_theta,0.0
conn__asymmetry__coh_alpha,0.0
conn__mean_strength__pdc_beta,3.124138262729191e-32
conn__mean_strength__pdc_alpha,4.1392166334179926e-32
conn__mean_strength__pdc_delta,4.1797344675421257e-32
conn__mean_strength__pdc_theta,4.316215593012889e-32
conn__mean_strength__pdc_gamma,4.751249180450947e-32
conn__graph_density__pdc_gamma,1.264361146361151e-29
conn__graph_density__imcoh_beta,1.264361146361151e-29
conn__graph_density__imcoh_delta,1.264361146361151e-29
conn__graph_density__dtf_theta,1.264361146361151e-29
conn__graph_density__wpli_theta,1.264361146361151e-29
conn__graph_density__coh_alpha,1.264361146361151e-29
conn__graph_density__coh_beta,1.264361146361151e-29
conn__graph_density__coh_delta,1.264361146361151e-29
conn__graph_density__imcoh_theta,1.264361146361151e-29
conn__graph_density__pdc_alpha,1.264361146361151e-29
conn__graph_density__pdc_beta,1.264361146361151e-29
conn__graph_density__imcoh_gamma,1.264361146361151e-29
conn__graph_density__imcoh_alpha,1.264361146361151e-29
conn__graph_density__coh_gamma,1.264361146361151e-29
conn__graph_density__coh_theta,1.264361146361151e-29
conn__graph_density__dtf_alpha,1.264361146361151e-29
conn__graph_density__dtf_beta,1.264361146361151e-29
conn__graph_density__dtf_delta,1.264361146361151e-29
conn__graph_density__dtf_gamma,1.264361146361151e-29
conn__graph_density__pdc_delta,1.264361146361151e-29
conn__graph_density__plv_beta,1.264361146361151e-29
conn__graph_density__wpli_gamma,1.264361146361151e-29
conn__graph_density__wpli_delta,1.264361146361151e-29
conn__graph_density__wpli_beta,1.264361146361151e-29
conn__graph_density__wpli_alpha,1.264361146361151e-29
conn__graph_density__plv_theta,1.264361146361151e-29
conn__graph_density__plv_gamma,1.264361146361151e-29
conn__graph_density__plv_delta,1.264361146361151e-29
conn__graph_density__pdc_theta,1.264361146361151e-29
