column,reason
meta__size_mb,QC/meta
meta__n_epochs,QC/meta
meta__sfreq_hz,QC/meta; zero_variance
meta__n_channels,QC/meta; zero_variance
meta__tmin_sec,QC/meta
meta__tmax_sec,QC/meta
meta__epoch_len_sec,QC/meta; zero_variance
bp__band_fmin__central_alpha,zero_variance
bp__band_fmin__central_beta,zero_variance
bp__band_fmin__central_delta,zero_variance
bp__band_fmin__central_gamma,gamma; zero_variance
bp__band_fmin__central_theta,zero_variance
bp__band_fmin__frontal_alpha,zero_variance
bp__band_fmin__frontal_beta,zero_variance
bp__band_fmin__frontal_delta,zero_variance
bp__band_fmin__frontal_gamma,gamma; zero_variance
bp__band_fmin__frontal_theta,zero_variance
bp__band_fmin__occipital_alpha,zero_variance
bp__band_fmin__occipital_beta,zero_variance
bp__band_fmin__occipital_delta,zero_variance
bp__band_fmin__occipital_gamma,gamma; zero_variance
bp__band_fmin__occipital_theta,zero_variance
bp__band_fmin__parietal_alpha,zero_variance
bp__band_fmin__parietal_beta,zero_variance
bp__band_fmin__parietal_delta,zero_variance
bp__band_fmin__parietal_gamma,gamma; zero_variance
bp__band_fmin__parietal_theta,zero_variance
bp__band_fmin__temporal_alpha,zero_variance
bp__band_fmin__temporal_beta,zero_variance
bp__band_fmin__temporal_delta,zero_variance
bp__band_fmin__temporal_gamma,gamma; zero_variance
bp__band_fmin__temporal_theta,zero_variance
bp__band_fmax__central_alpha,zero_variance
bp__band_fmax__central_beta,zero_variance
bp__band_fmax__central_delta,zero_variance
bp__band_fmax__central_gamma,gamma; zero_variance
bp__band_fmax__central_theta,zero_variance
bp__band_fmax__frontal_alpha,zero_variance
bp__band_fmax__frontal_beta,zero_variance
bp__band_fmax__frontal_delta,zero_variance
bp__band_fmax__frontal_gamma,gamma; zero_variance
bp__band_fmax__frontal_theta,zero_variance
bp__band_fmax__occipital_alpha,zero_variance
bp__band_fmax__occipital_beta,zero_variance
bp__band_fmax__occipital_delta,zero_variance
bp__band_fmax__occipital_gamma,gamma; zero_variance
bp__band_fmax__occipital_theta,zero_variance
bp__band_fmax__parietal_alpha,zero_variance
bp__band_fmax__parietal_beta,zero_variance
bp__band_fmax__parietal_delta,zero_variance
bp__band_fmax__parietal_gamma,gamma; zero_variance
bp__band_fmax__parietal_theta,zero_variance
bp__band_fmax__temporal_alpha,zero_variance
bp__band_fmax__temporal_beta,zero_variance
bp__band_fmax__temporal_delta,zero_variance
bp__band_fmax__temporal_gamma,gamma; zero_variance
bp__band_fmax__temporal_theta,zero_variance
alpha_peak__alpha_win_lo__central,zero_variance
alpha_peak__alpha_win_lo__frontal,zero_variance
alpha_peak__alpha_win_lo__occipital,zero_variance
alpha_peak__alpha_win_lo__parietal,zero_variance
alpha_peak__alpha_win_lo__temporal,zero_variance
alpha_peak__alpha_win_hi__central,zero_variance
alpha_peak__alpha_win_hi__frontal,zero_variance
alpha_peak__alpha_win_hi__occipital,zero_variance
alpha_peak__alpha_win_hi__parietal,zero_variance
alpha_peak__alpha_win_hi__temporal,zero_variance
alpha_peak__smooth_w__central,zero_variance
alpha_peak__smooth_w__frontal,zero_variance
