feature,block,reason
meta__size_mb,meta,excluded_block; technical_or_time_related
meta__n_epochs,meta,excluded_block; technical_or_time_related
meta__sfreq_hz,meta,excluded_block; technical_or_time_related
meta__n_channels,meta,excluded_block; technical_or_time_related
meta__tmin_sec,meta,excluded_block; technical_or_time_related
meta__tmax_sec,meta,excluded_block; technical_or_time_related
meta__epoch_len_sec,meta,excluded_block; technical_or_time_related
bp__band_fmin__central_gamma,bp,technical_or_time_related
bp__band_fmin__frontal_gamma,bp,technical_or_time_related
bp__band_fmin__occipital_gamma,bp,technical_or_time_related
bp__band_fmin__parietal_gamma,bp,technical_or_time_related
bp__band_fmin__temporal_gamma,bp,technical_or_time_related
bp__band_fmax__central_gamma,bp,technical_or_time_related
bp__band_fmax__frontal_gamma,bp,technical_or_time_related
bp__band_fmax__occipital_gamma,bp,technical_or_time_related
bp__band_fmax__parietal_gamma,bp,technical_or_time_related
bp__band_fmax__temporal_gamma,bp,technical_or_time_related
gamma__gamma_rel__central,gamma,excluded_block; technical_or_time_related
gamma__gamma_rel__frontal,gamma,excluded_block; technical_or_time_related
gamma__gamma_rel__occipital,gamma,excluded_block; technical_or_time_related
gamma__gamma_rel__parietal,gamma,excluded_block; technical_or_time_related
gamma__gamma_abs__central,gamma,excluded_block; technical_or_time_related
gamma__gamma_abs__frontal,gamma,excluded_block; technical_or_time_related
gamma__gamma_abs__occipital,gamma,excluded_block; technical_or_time_related
gamma__gamma_abs__parietal,gamma,excluded_block; technical_or_time_related
gamma__gamma_res__central,gamma,excluded_block; technical_or_time_related
gamma__gamma_res__frontal,gamma,excluded_block; technical_or_time_related
gamma__gamma_res__occipital,gamma,excluded_block; technical_or_time_related
gamma__gamma_res__parietal,gamma,excluded_block; technical_or_time_related
dfa__n_epochs_used__central_alpha,dfa,technical_or_time_related
dfa__n_epochs_used__central_beta,dfa,technical_or_time_related
dfa__n_epochs_used__frontal_alpha,dfa,technical_or_time_related
dfa__n_epochs_used__frontal_beta,dfa,technical_or_time_related
dfa__n_epochs_used__occipital_alpha,dfa,technical_or_time_related
dfa__n_epochs_used__occipital_beta,dfa,technical_or_time_related
dfa__n_epochs_used__parietal_alpha,dfa,technical_or_time_related
dfa__n_epochs_used__parietal_beta,dfa,technical_or_time_related
dfa__n_epochs_used__temporal_alpha,dfa,technical_or_time_related
dfa__n_epochs_used__temporal_beta,dfa,technical_or_time_related
burst__n_bursts__central_alpha,burst,accumulative_count_or_duration
burst__n_bursts__central_beta,burst,accumulative_count_or_duration
burst__n_bursts__frontal_alpha,burst,accumulative_count_or_duration
burst__n_bursts__frontal_beta,burst,accumulative_count_or_duration
burst__n_bursts__occipital_alpha,burst,accumulative_count_or_duration
burst__n_bursts__occipital_beta,burst,accumulative_count_or_duration
burst__n_bursts__parietal_alpha,burst,accumulative_count_or_duration
burst__n_bursts__parietal_beta,burst,accumulative_count_or_duration
burst__n_bursts__temporal_alpha,burst,accumulative_count_or_duration
burst__n_bursts__temporal_beta,burst,accumulative_count_or_duration
burst__mean_dur_sec__central_alpha,burst,technical_or_time_related
burst__mean_dur_sec__central_beta,burst,technical_or_time_related
burst__mean_dur_sec__frontal_alpha,burst,technical_or_time_related
burst__mean_dur_sec__frontal_beta,burst,technical_or_time_related
burst__mean_dur_sec__occipital_alpha,burst,technical_or_time_related
burst__mean_dur_sec__occipital_beta,burst,technical_or_time_related
burst__mean_dur_sec__parietal_alpha,burst,technical_or_time_related
burst__mean_dur_sec__parietal_beta,burst,technical_or_time_related
burst__mean_dur_sec__temporal_alpha,burst,technical_or_time_related
burst__mean_dur_sec__temporal_beta,burst,technical_or_time_related
burst__median_dur_sec__central_alpha,burst,technical_or_time_related
burst__median_dur_sec__central_beta,burst,technical_or_time_related
burst__median_dur_sec__frontal_alpha,burst,technical_or_time_related
burst__median_dur_sec__frontal_beta,burst,technical_or_time_related
burst__median_dur_sec__occipital_alpha,burst,technical_or_time_related
burst__median_dur_sec__occipital_beta,burst,technical_or_time_related
burst__median_dur_sec__parietal_alpha,burst,technical_or_time_related
burst__median_dur_sec__parietal_beta,burst,technical_or_time_related
burst__median_dur_sec__temporal_alpha,burst,technical_or_time_related
burst__median_dur_sec__temporal_beta,burst,technical_or_time_related
burst__mean_ibi_sec__central_alpha,burst,technical_or_time_related
burst__mean_ibi_sec__central_beta,burst,technical_or_time_related
burst__mean_ibi_sec__frontal_alpha,burst,technical_or_time_related
burst__mean_ibi_sec__frontal_beta,burst,technical_or_time_related
burst__mean_ibi_sec__occipital_alpha,burst,technical_or_time_related
burst__mean_ibi_sec__occipital_beta,burst,technical_or_time_related
burst__mean_ibi_sec__parietal_alpha,burst,technical_or_time_related
burst__mean_ibi_sec__parietal_beta,burst,technical_or_time_related
burst__mean_ibi_sec__temporal_alpha,burst,technical_or_time_related
burst__mean_ibi_sec__temporal_beta,burst,technical_or_time_related
burst__median_ibi_sec__central_alpha,burst,technical_or_time_related
burst__median_ibi_sec__central_beta,burst,technical_or_time_related
burst__median_ibi_sec__frontal_alpha,burst,technical_or_time_related
burst__median_ibi_sec__frontal_beta,burst,technical_or_time_related
burst__median_ibi_sec__occipital_alpha,burst,technical_or_time_related
burst__median_ibi_sec__occipital_beta,burst,technical_or_time_related
burst__median_ibi_sec__parietal_alpha,burst,technical_or_time_related
burst__median_ibi_sec__parietal_beta,burst,technical_or_time_related
burst__median_ibi_sec__temporal_alpha,burst,technical_or_time_related
burst__median_ibi_sec__temporal_beta,burst,technical_or_time_related
burst__total_sec__central_alpha,burst,accumulative_count_or_duration; technical_or_time_related
burst__total_sec__central_beta,burst,accumulative_count_or_duration; technical_or_time_related
burst__total_sec__frontal_alpha,burst,accumulative_count_or_duration; technical_or_time_related
burst__total_sec__frontal_beta,burst,accumulative_count_or_duration; technical_or_time_related
burst__total_sec__occipital_alpha,burst,accumulative_count_or_duration; technical_or_time_related
burst__total_sec__occipital_beta,burst,accumulative_count_or_duration; technical_or_time_related
burst__total_sec__parietal_alpha,burst,accumulative_count_or_duration; technical_or_time_related
burst__total_sec__parietal_beta,burst,accumulative_count_or_duration; technical_or_time_related
burst__total_sec__temporal_alpha,burst,accumulative_count_or_duration; technical_or_time_related
burst__total_sec__temporal_beta,burst,accumulative_count_or_duration; technical_or_time_related
tfr__value__central_tfr_mean_gamma,tfr,technical_or_time_related
tfr__value__frontal_tfr_mean_gamma,tfr,technical_or_time_related
tfr__value__occipital_tfr_mean_gamma,tfr,technical_or_time_related
tfr__value__parietal_tfr_mean_gamma,tfr,technical_or_time_related
tfr__value__temporal_tfr_mean_gamma,tfr,technical_or_time_related
conn__n_roi_used__coh_gamma,conn,technical_or_time_related
conn__n_roi_used__dtf_gamma,conn,technical_or_time_related
conn__n_roi_used__imcoh_gamma,conn,technical_or_time_related
conn__n_roi_used__pdc_gamma,conn,technical_or_time_related
conn__n_roi_used__plv_gamma,conn,technical_or_time_related
conn__n_roi_used__wpli_gamma,conn,technical_or_time_related
conn__mean_strength__coh_gamma,conn,technical_or_time_related
conn__mean_strength__dtf_gamma,conn,technical_or_time_related
conn__mean_strength__imcoh_gamma,conn,technical_or_time_related
conn__mean_strength__pdc_gamma,conn,technical_or_time_related
conn__mean_strength__plv_gamma,conn,technical_or_time_related
conn__mean_strength__wpli_gamma,conn,technical_or_time_related
conn__clustering__coh_gamma,conn,technical_or_time_related
conn__clustering__dtf_gamma,conn,technical_or_time_related
conn__clustering__imcoh_gamma,conn,technical_or_time_related
conn__clustering__pdc_gamma,conn,technical_or_time_related
conn__clustering__plv_gamma,conn,technical_or_time_related
conn__clustering__wpli_gamma,conn,technical_or_time_related
conn__global_efficiency__coh_gamma,conn,technical_or_time_related
conn__global_efficiency__dtf_gamma,conn,technical_or_time_related
conn__global_efficiency__imcoh_gamma,conn,technical_or_time_related
conn__global_efficiency__pdc_gamma,conn,technical_or_time_related
conn__global_efficiency__plv_gamma,conn,technical_or_time_related
conn__global_efficiency__wpli_gamma,conn,technical_or_time_related
conn__modularity__coh_gamma,conn,technical_or_time_related
conn__modularity__dtf_gamma,conn,technical_or_time_related
conn__modularity__imcoh_gamma,conn,technical_or_time_related
conn__modularity__pdc_gamma,conn,technical_or_time_related
conn__modularity__plv_gamma,conn,technical_or_time_related
conn__modularity__wpli_gamma,conn,technical_or_time_related
conn__small_worldness__coh_gamma,conn,technical_or_time_related
conn__small_worldness__dtf_gamma,conn,technical_or_time_related
conn__small_worldness__imcoh_gamma,conn,technical_or_time_related
conn__small_worldness__pdc_gamma,conn,technical_or_time_related
conn__small_worldness__plv_gamma,conn,technical_or_time_related
conn__small_worldness__wpli_gamma,conn,technical_or_time_related
conn__hub_z_max__coh_gamma,conn,technical_or_time_related
conn__hub_z_max__dtf_gamma,conn,technical_or_time_related
conn__hub_z_max__imcoh_gamma,conn,technical_or_time_related
conn__hub_z_max__pdc_gamma,conn,technical_or_time_related
conn__hub_z_max__plv_gamma,conn,technical_or_time_related
conn__hub_z_max__wpli_gamma,conn,technical_or_time_related
conn__n_hubs__coh_gamma,conn,technical_or_time_related
conn__n_hubs__dtf_gamma,conn,technical_or_time_related
conn__n_hubs__imcoh_gamma,conn,technical_or_time_related
conn__n_hubs__pdc_gamma,conn,technical_or_time_related
conn__n_hubs__plv_gamma,conn,technical_or_time_related
conn__n_hubs__wpli_gamma,conn,technical_or_time_related
conn__asymmetry__coh_gamma,conn,technical_or_time_related
conn__asymmetry__dtf_gamma,conn,technical_or_time_related
conn__asymmetry__imcoh_gamma,conn,technical_or_time_related
conn__asymmetry__pdc_gamma,conn,technical_or_time_related
conn__asymmetry__plv_gamma,conn,technical_or_time_related
conn__asymmetry__wpli_gamma,conn,technical_or_time_related
conn__graph_density__coh_gamma,conn,technical_or_time_related
conn__graph_density__dtf_gamma,conn,technical_or_time_related
conn__graph_density__imcoh_gamma,conn,technical_or_time_related
conn__graph_density__pdc_gamma,conn,technical_or_time_related
conn__graph_density__plv_gamma,conn,technical_or_time_related
conn__graph_density__wpli_gamma,conn,technical_or_time_related
event__duration_sec,event,technical_or_time_related
event__n_events,event,accumulative_count_or_duration
