column,missing_fraction
amplitude_qc_note,1.0
read_error,1.0
qc_exclusion_reason,1.0
dataset,0.6313043478260869
parent_dir,0.6313043478260869
file_name,0.6313043478260869
file_size_mb,0.6313043478260869
acquisition,0.36869565217391304
task,0.36869565217391304
protocol_priority,0.36869565217391304
qc_pass_cleaning,0.36869565217391304
bad_channels,0.1826086956521739
n_removed_ica_components,0.0
removed_ica_components,0.0
n_bad_channels,0.0
channels,0.0
source_path,0.0
size_mb,0.0
file_exists,0.0
group,0.0
filepath,0.0
subject_id,0.0
record_id,0.0
filename,0.0
n_epochs_before_cleaning,0.0
n_channels_before_cleaning,0.0
n_rejected_epochs_autoreject,0.0
prop_rejected_epochs_autoreject,0.0
n_epochs_after_autoreject,0.0
n_epochs_before_autoreject,0.0
iclabel_labels,0.0
iclabel_probabilities,0.0
n_ica_components,0.0
n_common_channels,0.0
common_epochs_path,0.0
qc_pass,0.0
p2p_threshold_uv,0.0
p2p_median_uv,0.0
common_channels,0.0
epochs_path,0.0
p2p_max_uv,0.0
p2p_p95_uv,0.0
amplitude_qc_warning,0.0
n_bad_epochs_p2p,0.0
amplitude_qc_exclude_candidate,0.0
n_epochs,0.0
sfreq_hz,0.0
prop_bad_epochs_p2p,0.0
n_channels,0.0
tmin_sec,0.0
epoch_len_sec,0.0
tmax_sec,0.0
ch_first,0.0
ch_last,0.0
read_status,0.0
_group_pretty,0.0
