feature,feature_ru,block,block_ru,n_tbi,n_control,mean_tbi,mean_control,median_tbi,median_control,std_tbi,std_control,missing_fraction,hedges_g_tbi_minus_control,abs_hedges_g
event__z_peak,"Пик события, z",event,События,92,72,3.052323004350239,4.219268069066822,3.0041582842223447,4.216310685995786,0.5939851715296989,0.33868735204330097,0.0,-2.3302479574189605,2.3302479574189605
event__propagation_ms,"Распространение, мс",event,События,92,72,69.33152173913042,49.250000000000014,68.99999999999993,48.50000000000005,10.47820269534791,6.8582221652266275,0.0,2.2034857008326165,2.2034857008326165
conn__clustering__plv_theta,Связность · clustering · plv theta,conn,Связность,92,72,0.33933969523431246,0.40766736408375576,0.3291843125204911,0.4027007167813555,0.05289575240677637,0.0468415745232089,0.0,-1.3512420460605923,1.3512420460605923
aper__aperiodic_intercept_log10__parietal,Апериодика · Апериодикаiodic intercept log10 · parietal,aper,Апериодика,92,72,-8.381328909948012,-8.879492659586699,-8.480525596400739,-8.90198933106699,0.4657526550193358,0.3899803922081505,0.0,1.1420608092640874,1.1420608092640874
aper__aperiodic_intercept_log10__temporal,Апериодика · Апериодикаiodic intercept log10 · temporal,aper,Апериодика,92,72,-8.398838162922274,-8.97082941415616,-8.392043946555706,-8.844422847409463,0.46732812510158755,0.5400129180693524,0.0,1.1375749353435916,1.1375749353435916
event__n_involved_ch,События · n involved ch,event,События,92,72,16.179347826086957,12.84375,15.625,12.75,3.528791719351916,1.9266649558531643,0.0,1.1307276973039035,1.1307276973039035
conn__hub_z_max__plv_delta,Связность · hub z max · plv delta,conn,Связность,92,72,0.9677111470248395,1.1031611203416536,0.9636163023497643,1.0950138464147177,0.11943568678310786,0.11936468840538471,0.0,-1.129118548691132,1.129118548691132
aper__aperiodic_intercept_log10__frontal,Апериодика · Апериодикаiodic intercept log10 · frontal,aper,Апериодика,92,72,-8.479090571126573,-8.995605330032785,-8.470801573918667,-8.949535116783437,0.4295244033227822,0.486901601717714,0.0,1.1285406098796067,1.1285406098796067
conn__hub_z_max__dtf_delta,Связность · hub z max · dtf delta,conn,Связность,92,72,1.529032356190834,1.3319920323480536,1.5790355431771235,1.331515142600305,0.18446306808749927,0.1608825648594622,0.0,1.1237997120696217,1.1237997120696217
dfa__dfa_exp__occipital_alpha,DFA · DFA exp · occipital alpha,dfa,DFA,92,72,0.8434844185358624,0.7469453761095798,0.8364188740556766,0.7568582841365963,0.08411804119750081,0.09186164541250091,0.0,1.0969821672769275,1.0969821672769275
event__spike_to_slow_ratio,События · spike to slow ratio,event,События,92,72,1.19555990237351,0.7797950011940185,0.990312818335963,0.7725889595672667,0.506371919518622,0.06758286488809782,0.0,1.0829277517849636,1.0829277517849636
event__slow_peak_uv,События · slow peak uv,event,События,92,72,33.28520837298635,21.286361454536948,29.940214693546295,20.344453894882463,13.22750221391277,7.38768099582439,0.0,1.0803857516580142,1.0803857516580142
conn__clustering__pdc_beta,Связность · clustering · pdc beta,conn,Связность,92,72,0.46249246424317136,0.36773876564635555,0.4659164550686157,0.3630231555087823,0.09433080572765522,0.08010734309795464,0.0,1.067154377275833,1.067154377275833
conn__hub_z_max__plv_beta,Связность · hub z max · plv beta,conn,Связность,92,72,0.9240316104323781,1.0542315757526448,0.925425575452826,1.030762101891431,0.09359156134620907,0.14982485891091993,0.0,-1.066771737493484,1.066771737493484
aper__aperiodic_intercept_log10__central,Апериодика · Апериодикаiodic intercept log10 · central,aper,Апериодика,92,72,-8.597018402786619,-9.055861146029638,-8.624148611467657,-8.938667391378289,0.400167447344723,0.4767138801546439,0.0,1.0490147568707586,1.0490147568707586
spec_shape__spectral_entropy_norm__frontal,Форма спектра · spectral entropy norm · frontal,spec_shape,Форма спектра,92,72,0.8012612141698381,0.869789961418928,0.801220804944879,0.8640421303006158,0.06923677472433662,0.059804948466410164,0.0,-1.045041959178796,1.045041959178796
spec_shape__spectral_entropy_raw__frontal,Форма спектра · spectral entropy raw · frontal,spec_shape,Форма спектра,92,72,4.1474480194469905,4.502163076193984,4.147238855248023,4.472411441688054,0.3583799129736496,0.30955936801100054,0.0,-1.0450419591787885,1.0450419591787885
dfa__dfa_exp__frontal_alpha,DFA · DFA exp · frontal alpha,dfa,DFA,92,72,0.822937977288337,0.7378504493197595,0.8135388551966951,0.7450267481390246,0.07712615300946063,0.08626275397033943,0.0,1.042285237626885,1.042285237626885
dfa__dfa_exp__parietal_alpha,DFA · DFA exp · parietal alpha,dfa,DFA,92,72,0.8392703921544001,0.7501936746350995,0.8376141955651305,0.7638286395698288,0.07631276580312901,0.09887587993768909,0.0,1.0199965450147548,1.0199965450147548
spec_shape__spectral_entropy_raw__central,Форма спектра · spectral entropy raw · central,spec_shape,Форма спектра,92,72,4.287404426325969,4.576894283822393,4.315100173599869,4.60616660394667,0.2796721927414522,0.2935065583135967,0.0,-1.0081510450692717,1.0081510450692717
