feature,feature_ru,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
bp__band_fmin__central_alpha,Мощность · band fmin · central alpha,2.0358398786161246e-17,-4.8496464726042377e-17,2.0358398786161246e-17,4.8496464726042377e-17
bp__band_fmin__central_beta,Мощность · band fmin · central beta,1.8579055035676763e-17,4.461120983743371e-17,1.8579055035676763e-17,4.461120983743371e-17
bp__band_fmin__central_delta,Мощность · band fmin · central delta,1.3000080024078347e-16,-2.4594362043453074e-17,1.3000080024078347e-16,2.4594362043453074e-17
bp__band_fmin__central_theta,Мощность · band fmin · central theta,2.342023394386246e-17,1.0219996316797236e-17,2.342023394386246e-17,1.0219996316797236e-17
bp__band_fmin__frontal_alpha,Мощность · band fmin · frontal alpha,-5.341553911391889e-17,3.189399005148857e-17,5.341553911391889e-17,3.189399005148857e-17
bp__band_fmin__frontal_beta,Мощность · band fmin · frontal beta,-8.826814386358781e-18,2.2472737312583808e-17,8.826814386358781e-18,2.2472737312583808e-17
bp__band_fmin__frontal_delta,Мощность · band fmin · frontal delta,5.652881829245404e-17,8.829663066932362e-17,5.652881829245404e-17,8.829663066932362e-17
bp__band_fmin__frontal_theta,Мощность · band fmin · frontal theta,9.029173588997578e-18,-1.1708882946294123e-17,9.029173588997578e-18,1.1708882946294123e-17
bp__band_fmin__occipital_alpha,Мощность · band fmin · occipital alpha,2.554518005792684e-17,3.091838779146589e-17,2.554518005792684e-17,3.091838779146589e-17
bp__band_fmin__occipital_beta,Мощность · band fmin · occipital beta,1.4279809260879377e-17,-7.670977170419804e-17,1.4279809260879377e-17,7.670977170419804e-17
bp__band_fmin__occipital_delta,Мощность · band fmin · occipital delta,-1.1786007516565138e-17,5.5196613704460584e-17,1.1786007516565138e-17,5.5196613704460584e-17
bp__band_fmin__occipital_theta,Мощность · band fmin · occipital theta,-3.613944883710938e-17,-4.131927973800749e-17,3.613944883710938e-17,4.131927973800749e-17
bp__band_fmin__parietal_alpha,Мощность · band fmin · parietal alpha,4.7875533818863644e-18,1.675138013542169e-17,4.7875533818863644e-18,1.675138013542169e-17
bp__band_fmin__parietal_beta,Мощность · band fmin · parietal beta,2.0434289570423542e-17,4.541265112049263e-17,2.0434289570423542e-17,4.541265112049263e-17
bp__band_fmin__parietal_delta,Мощность · band fmin · parietal delta,-2.4246481054673946e-17,2.703092491944818e-17,2.4246481054673946e-17,2.703092491944818e-17
bp__band_fmin__parietal_theta,Мощность · band fmin · parietal theta,6.383989590774583e-17,2.4203583541081883e-17,6.383989590774583e-17,2.4203583541081883e-17
bp__band_fmin__temporal_alpha,Мощность · band fmin · temporal alpha,4.555446341828954e-18,-2.185592774066336e-17,4.555446341828954e-18,2.185592774066336e-17
bp__band_fmin__temporal_beta,Мощность · band fmin · temporal beta,-1.1619195258365109e-17,-1.1113785394231528e-16,1.1619195258365109e-17,1.1113785394231528e-16
bp__band_fmin__temporal_delta,Мощность · band fmin · temporal delta,-9.698014005242256e-17,-8.728031700977028e-17,9.698014005242256e-17,8.728031700977028e-17
bp__band_fmin__temporal_theta,Мощность · band fmin · temporal theta,3.570482336901052e-17,1.0314513017326107e-16,3.570482336901052e-17,1.0314513017326107e-16
bp__band_fmax__central_alpha,Мощность · band fmax · central alpha,-1.163460234039582e-18,6.257936545681376e-17,1.163460234039582e-18,6.257936545681376e-17
bp__band_fmax__central_beta,Мощность · band fmax · central beta,4.67294022252411e-17,7.978656414591583e-17,4.67294022252411e-17,7.978656414591583e-17
bp__band_fmax__central_delta,Мощность · band fmax · central delta,1.1911489937170456e-17,8.701283773950416e-18,1.1911489937170456e-17,8.701283773950416e-18
bp__band_fmax__central_theta,Мощность · band fmax · central theta,-1.34487052200638e-17,-1.0762886663163925e-17,1.34487052200638e-17,1.0762886663163925e-17
bp__band_fmax__frontal_alpha,Мощность · band fmax · frontal alpha,-2.3917306293803132e-17,2.7628049358795452e-17,2.3917306293803132e-17,2.7628049358795452e-17
bp__band_fmax__frontal_beta,Мощность · band fmax · frontal beta,1.8015265582563012e-17,5.288971347007864e-17,1.8015265582563012e-17,5.288971347007864e-17
bp__band_fmax__frontal_delta,Мощность · band fmax · frontal delta,-4.085554741334665e-17,-3.2653620750797565e-17,4.085554741334665e-17,3.2653620750797565e-17
bp__band_fmax__frontal_theta,Мощность · band fmax · frontal theta,-1.1877504366831927e-17,-5.642513235570097e-17,1.1877504366831927e-17,5.642513235570097e-17
bp__band_fmax__occipital_alpha,Мощность · band fmax · occipital alpha,-4.54714019042498e-17,-1.1902922354685631e-17,4.54714019042498e-17,1.1902922354685631e-17
bp__band_fmax__occipital_beta,Мощность · band fmax · occipital beta,2.159987729491765e-17,4.5650123674956724e-17,2.159987729491765e-17,4.5650123674956724e-17
bp__band_fmax__occipital_delta,Мощность · band fmax · occipital delta,7.282839749876989e-17,6.8115655557862425e-18,7.282839749876989e-17,6.8115655557862425e-18
bp__band_fmax__occipital_theta,Мощность · band fmax · occipital theta,-2.51760770339052e-17,5.327753227435513e-18,2.51760770339052e-17,5.327753227435513e-18
bp__band_fmax__parietal_alpha,Мощность · band fmax · parietal alpha,9.73723290014911e-18,3.435013523226401e-17,9.73723290014911e-18,3.435013523226401e-17
bp__band_fmax__parietal_beta,Мощность · band fmax · parietal beta,-2.8126114926173876e-18,-1.9600375945328758e-17,2.8126114926173876e-18,1.9600375945328758e-17
bp__band_fmax__parietal_delta,Мощность · band fmax · parietal delta,-7.575546224967416e-18,-2.5637808636408426e-17,7.575546224967416e-18,2.5637808636408426e-17
bp__band_fmax__parietal_theta,Мощность · band fmax · parietal theta,2.531648276754321e-17,3.541112818398129e-17,2.531648276754321e-17,3.541112818398129e-17
bp__band_fmax__temporal_alpha,Мощность · band fmax · temporal alpha,-1.1572011802733778e-17,-2.7702649693326822e-17,1.1572011802733778e-17,2.7702649693326822e-17
bp__band_fmax__temporal_beta,Мощность · band fmax · temporal beta,-1.7704745445870873e-17,-8.624395235518105e-19,1.7704745445870873e-17,8.624395235518105e-19
bp__band_fmax__temporal_delta,Мощность · band fmax · temporal delta,8.232422285057743e-18,-3.219002476776452e-18,8.232422285057743e-18,3.219002476776452e-18
bp__band_fmax__temporal_theta,Мощность · band fmax · temporal theta,-2.8472839706474204e-17,-2.1800177993301662e-17,2.8472839706474204e-17,2.1800177993301662e-17
alpha_peak__paf_hz__central,Альфа-пик · paf hz · central,0.0220947625942458,0.0002940895336837095,0.0220947625942458,0.0002940895336837095
alpha_peak__paf_hz__frontal,Альфа-пик · paf hz · frontal,0.0082035789846812,0.004136766880219298,0.0082035789846812,0.004136766880219298
alpha_peak__paf_hz__occipital,Альфа-пик · paf hz · occipital,0.012177358176509924,0.010551245216987174,0.012177358176509924,0.010551245216987174
alpha_peak__paf_hz__parietal,Альфа-пик · paf hz · parietal,0.02160930569236417,0.01032496064012928,0.02160930569236417,0.01032496064012928
alpha_peak__paf_hz__temporal,Альфа-пик · paf hz · temporal,0.034392541382767546,-0.0009652118925318592,0.034392541382767546,0.0009652118925318592
alpha_peak__alpha_peak_amp_db__central,Альфа-пик · Альфа-пик amp db · central,0.1135788654404483,-0.050470227519861174,0.1135788654404483,0.050470227519861174
alpha_peak__alpha_peak_amp_db__frontal,Альфа-пик · Альфа-пик amp db · frontal,0.11572671541393115,-0.061854321809381926,0.11572671541393115,0.061854321809381926
alpha_peak__alpha_peak_amp_db__occipital,Альфа-пик · Альфа-пик amp db · occipital,0.11612378804762882,-0.06762500923553606,0.11612378804762882,0.06762500923553606
alpha_peak__alpha_peak_amp_db__parietal,Альфа-пик · Альфа-пик amp db · parietal,0.11741812668210941,-0.06547487924932527,0.11741812668210941,0.06547487924932527
alpha_peak__alpha_peak_amp_db__temporal,Альфа-пик · Альфа-пик amp db · temporal,0.1069650155237128,-0.038975543839388185,0.1069650155237128,0.038975543839388185
alpha_peak__alpha_peak_db__central,Альфа-пик · Альфа-пик db · central,-0.1141534193494311,-0.051483473702857455,0.1141534193494311,0.051483473702857455
alpha_peak__alpha_peak_db__frontal,Альфа-пик · Альфа-пик db · frontal,-0.1131925565632962,-0.03089435478269627,0.1131925565632962,0.03089435478269627
alpha_peak__alpha_peak_db__occipital,Альфа-пик · Альфа-пик db · occipital,-0.12446384978188002,-0.04096928379081732,0.12446384978188002,0.04096928379081732
alpha_peak__alpha_peak_db__parietal,Альфа-пик · Альфа-пик db · parietal,-0.12050692603921007,-0.04317803232610054,0.12050692603921007,0.04317803232610054
alpha_peak__alpha_peak_db__temporal,Альфа-пик · Альфа-пик db · temporal,-0.11157903732855183,-0.06511548300474436,0.11157903732855183,0.06511548300474436
alpha_peak__alpha_win_lo__central,Альфа-пик · alpha win lo · central,-1.968271431447723e-17,9.457609120965597e-18,1.968271431447723e-17,9.457609120965597e-18
alpha_peak__alpha_win_lo__frontal,Альфа-пик · alpha win lo · frontal,2.3961787870029405e-17,4.161078396057963e-17,2.3961787870029405e-17,4.161078396057963e-17
alpha_peak__alpha_win_lo__occipital,Альфа-пик · alpha win lo · occipital,-1.9648250505181683e-17,-6.560888621089066e-18,1.9648250505181683e-17,6.560888621089066e-18
alpha_peak__alpha_win_lo__parietal,Альфа-пик · alpha win lo · parietal,-4.176432584682948e-17,-3.2287744048554285e-17,4.176432584682948e-17,3.2287744048554285e-17
alpha_peak__alpha_win_lo__temporal,Альфа-пик · alpha win lo · temporal,-1.651369474776127e-17,-3.074165243655727e-17,1.651369474776127e-17,3.074165243655727e-17
alpha_peak__alpha_win_hi__central,Альфа-пик · alpha win hi · central,7.935897324241479e-19,4.3990274826556796e-17,7.935897324241479e-19,4.3990274826556796e-17
alpha_peak__alpha_win_hi__frontal,Альфа-пик · alpha win hi · frontal,-4.459043868672321e-17,-7.539453793266266e-17,4.459043868672321e-17,7.539453793266266e-17
alpha_peak__alpha_win_hi__occipital,Альфа-пик · alpha win hi · occipital,-9.174293082185575e-18,1.2465568561288765e-17,9.174293082185575e-18,1.2465568561288765e-17
alpha_peak__alpha_win_hi__parietal,Альфа-пик · alpha win hi · parietal,-9.663420893407244e-18,-1.840049144862364e-17,9.663420893407244e-18,1.840049144862364e-17
alpha_peak__alpha_win_hi__temporal,Альфа-пик · alpha win hi · temporal,-3.384572341018383e-18,-2.503841994862396e-18,3.384572341018383e-18,2.503841994862396e-18
alpha_peak__smooth_w__central,Альфа-пик · smooth w · central,2.8889961080256777e-18,-8.193413139374459e-18,2.8889961080256777e-18,8.193413139374459e-18
alpha_peak__smooth_w__frontal,Альфа-пик · smooth w · frontal,1.2715683229350303e-17,-3.453118585335871e-18,1.2715683229350303e-17,3.453118585335871e-18
alpha_peak__smooth_w__occipital,Альфа-пик · smooth w · occipital,-2.667312623751483e-18,-2.0156646731462026e-18,2.667312623751483e-18,2.0156646731462026e-18
alpha_peak__smooth_w__parietal,Альфа-пик · smooth w · parietal,-1.3186363869402674e-17,-1.0234329246105493e-17,1.3186363869402674e-17,1.0234329246105493e-17
alpha_peak__smooth_w__temporal,Альфа-пик · smooth w · temporal,9.800562110899474e-19,-1.6473937020978501e-18,9.800562110899474e-19,1.6473937020978501e-18
spec_shape__sef95_hz__central,Форма спектра · sef95 hz · central,0.11726375682677714,-0.03775609959856095,0.11726375682677714,0.03775609959856095
