feature,feature_ru,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
alpha_peak__paf_hz__central,Альфа-пик · paf hz · central,-0.023720083029494757,0.05009325643471041,0.023720083029494757,0.05009325643471041
alpha_peak__paf_hz__frontal,Альфа-пик · paf hz · frontal,-0.008808121342179787,0.03000429819149697,0.008808121342179787,0.03000429819149697
alpha_peak__paf_hz__occipital,Альфа-пик · paf hz · occipital,-0.012545106631476344,0.034820169413508184,0.012545106631476344,0.034820169413508184
alpha_peak__paf_hz__parietal,Альфа-пик · paf hz · parietal,-0.02254637271876292,0.04705849317144584,0.02254637271876292,0.04705849317144584
alpha_peak__paf_hz__temporal,Альфа-пик · paf hz · temporal,-0.03658124846846256,0.04706890470848327,0.03658124846846256,0.04706890470848327
alpha_peak__alpha_peak_amp_db__central,Альфа-пик · Альфа-пик amp db · central,-0.1178684763668528,-0.07033906521784332,0.1178684763668528,0.07033906521784332
alpha_peak__alpha_peak_amp_db__frontal,Альфа-пик · Альфа-пик amp db · frontal,-0.1207084208662515,-0.07829627169476827,0.1207084208662515,0.07829627169476827
alpha_peak__alpha_peak_amp_db__occipital,Альфа-пик · Альфа-пик amp db · occipital,-0.12122185372992339,-0.08685971513468,0.12122185372992339,0.08685971513468
alpha_peak__alpha_peak_amp_db__parietal,Альфа-пик · Альфа-пик amp db · parietal,-0.1230655286312365,-0.07795169537310415,0.1230655286312365,0.07795169537310415
alpha_peak__alpha_peak_amp_db__temporal,Альфа-пик · Альфа-пик amp db · temporal,-0.10969804087613438,-0.0701723081545811,0.10969804087613438,0.0701723081545811
alpha_peak__alpha_peak_db__central,Альфа-пик · Альфа-пик db · central,0.11211741908599204,-0.02116675764428167,0.11211741908599204,0.02116675764428167
alpha_peak__alpha_peak_db__frontal,Альфа-пик · Альфа-пик db · frontal,0.11190349605601453,-0.020042092235910455,0.11190349605601453,0.020042092235910455
alpha_peak__alpha_peak_db__occipital,Альфа-пик · Альфа-пик db · occipital,0.12361685947956036,-0.024687733232367542,0.12361685947956036,0.024687733232367542
alpha_peak__alpha_peak_db__parietal,Альфа-пик · Альфа-пик db · parietal,0.11989567516791072,-0.02647282627479174,0.11989567516791072,0.02647282627479174
alpha_peak__alpha_peak_db__temporal,Альфа-пик · Альфа-пик db · temporal,0.10844274541282305,-0.04395387794243213,0.10844274541282305,0.04395387794243213
spec_shape__sef95_hz__central,Форма спектра · sef95 hz · central,-0.12331309350983614,0.017082430661624827,0.12331309350983614,0.017082430661624827
spec_shape__sef95_hz__frontal,Форма спектра · sef95 hz · frontal,-0.11198099408856411,0.03803751715226266,0.11198099408856411,0.03803751715226266
