feature,qc_or_meta,spearman_r,abs_spearman_r
event__propagation_ms,n_records_subject,-0.6809714539911536,0.6809714539911536
event__z_peak,n_records_subject,0.6537001298828131,0.6537001298828131
event__spike_to_slow_ratio,n_records_subject,-0.6276900373557858,0.6276900373557858
event__line_length_uv,n_records_subject,-0.5726531888076702,0.5726531888076702
event__peak_to_peak_uv,n_records_subject,-0.5506361949925387,0.5506361949925387
event__slow_peak_uv,n_records_subject,-0.5472221942236878,0.5472221942236878
conn__clustering__plv_theta,n_records_subject,0.5348272438466424,0.5348272438466424
event__n_involved_ch,n_records_subject,-0.529122753011949,0.529122753011949
aper__aperiodic_intercept_log10__parietal,n_records_subject,-0.5272397926950692,0.5272397926950692
conn__hub_z_max__plv_delta,n_records_subject,0.5143164682823987,0.5143164682823987
aper__aperiodic_intercept_log10__temporal,n_records_subject,-0.4851290865544806,0.4851290865544806
aper__aperiodic_intercept_log10__central,n_records_subject,-0.4744714300065698,0.4744714300065698
burst__pct_time__occipital_alpha,n_records_subject,-0.4714575845073654,0.4714575845073654
conn__clustering__pdc_beta,n_records_subject,-0.4691355567454727,0.4691355567454727
aper__aperiodic_intercept_log10__frontal,n_records_subject,-0.46520304492299525,0.46520304492299525
conn__hub_z_max__dtf_delta,n_records_subject,-0.4608520608643029,0.4608520608643029
spec_shape__spectral_entropy_raw__central,n_records_subject,0.44464718144104504,0.44464718144104504
spec_shape__spectral_entropy_norm__central,n_records_subject,0.44464718144104504,0.44464718144104504
aper__aperiodic_exponent__parietal,n_records_subject,-0.441736192754109,0.441736192754109
aper__aperiodic_slope__parietal,n_records_subject,0.441736192754109,0.441736192754109
dfa__dfa_exp__occipital_alpha,n_records_subject,-0.43873361923433135,0.43873361923433135
dfa__dfa_exp__frontal_alpha,n_records_subject,-0.4338810320911526,0.4338810320911526
spec_shape__spectral_entropy_norm__frontal,n_records_subject,0.4288720462334286,0.4288720462334286
spec_shape__spectral_entropy_raw__frontal,n_records_subject,0.4288720462334286,0.4288720462334286
dfa__dfa_exp__parietal_alpha,n_records_subject,-0.4278322061313189,0.4278322061313189
conn__hub_z_max__plv_beta,n_records_subject,0.4082119169417818,0.4082119169417818
conn__global_efficiency__plv_theta,n_records_subject,0.39846024574028904,0.39846024574028904
aper__aperiodic_slope__frontal,n_records_subject,0.38007564729540005,0.38007564729540005
aper__aperiodic_exponent__frontal,n_records_subject,-0.38007564729540005,0.38007564729540005
conn__clustering__coh_theta,n_records_subject,0.3709256179958055,0.3709256179958055
