feature,feature_ru,block,block_ru,n_models_top_n,mean_rank,best_rank,mean_importance,max_importance,models_top_n,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr
event__z_peak,"Пик события, z",event,События,3,1.6666666666666667,1,0.002464494569757741,0.0063909774436090696,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.964975845410628,-2.3302479574189605,2.3302479574189605,5.748622357413093e-22
aper__n_fit_points__central,Апериодика · n fit points · central,aper,Апериодика,3,5.333333333333333,1,0.001378446115288212,0.004135338345864636,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5108695652173914,0.18658561746005403,0.18658561746005403,0.3083828708154096
conn__clustering__plv_theta,Связность · clustering · plv theta,conn,Связность,3,3.6666666666666665,2,0.0015037593984962452,0.004511278195488736,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.8691123188405797,-1.3512420460605923,1.3512420460605923,4.153548153879617e-14
conn__small_worldness__pdc_delta,Связность · small worldness · pdc delta,conn,Связность,3,5.0,2,0.0004594820384294028,0.001253132832080191,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6239432367149759,0.4714922902793102,0.4714922902793102,0.004887030099482809
conn__asymmetry__dtf_beta,Связность · asymmetry · dtf beta,conn,Связность,3,6.0,2,4.177109440267242e-05,0.00012531328320801726,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.711352657004831,-0.7839986104287673,0.7839986104287673,1.6924424353182597e-05
event__n_involved_ch,События · n involved ch,event,События,3,4.0,3,0.00029239766081871557,0.0008771929824561468,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.8408061594202899,1.1307276973039035,1.1307276973039035,3.900413810170289e-12
conn__small_worldness__dtf_alpha,Связность · small worldness · dtf alpha,conn,Связность,3,6.0,3,4.177109440267366e-05,0.00012531328320802097,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6111111111111112,-0.121719277645703,0.121719277645703,0.024628500205664174
aper__aperiodic_exponent__frontal,Апериодика · Апериодикаiodic exponent · frontal,aper,Апериодика,3,4.333333333333333,4,0.00020885547201336828,0.0006265664160401049,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7758152173913043,0.9693323545586681,0.9693323545586681,1.876917646958725e-08
conn__clustering__coh_delta,Связность · clustering · coh delta,conn,Связность,3,4.333333333333333,4,0.00020885547201336828,0.0006265664160401049,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6873490338164252,-0.3243590535632492,0.3243590535632492,0.00014909564594084223
conn__hub_z_max__plv_delta,Связность · hub z max · plv delta,conn,Связность,3,5.0,4,0.00012531328320802097,0.0003759398496240629,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.8132548309178744,-1.129118548691132,1.129118548691132,2.0965140807830945e-10
