fold,n_train_total,n_train_control,n_train_tbi,n_test_total,n_test_control,n_test_tbi,model,feature_set,validation
1.0,131,57,74,33,15,18,logreg,all_clean_features,
2.0,131,57,74,33,15,18,logreg,all_clean_features,
3.0,131,58,73,33,14,19,logreg,all_clean_features,
4.0,131,58,73,33,14,19,logreg,all_clean_features,
5.0,132,58,74,32,14,18,logreg,all_clean_features,
,131,58,73,33,14,19,logreg,all_clean_features,holdout
1.0,131,57,74,33,15,18,rf,all_clean_features,
2.0,131,57,74,33,15,18,rf,all_clean_features,
3.0,131,58,73,33,14,19,rf,all_clean_features,
4.0,131,58,73,33,14,19,rf,all_clean_features,
5.0,132,58,74,32,14,18,rf,all_clean_features,
,131,58,73,33,14,19,rf,all_clean_features,holdout
1.0,131,57,74,33,15,18,svc_rbf,all_clean_features,
2.0,131,57,74,33,15,18,svc_rbf,all_clean_features,
3.0,131,58,73,33,14,19,svc_rbf,all_clean_features,
4.0,131,58,73,33,14,19,svc_rbf,all_clean_features,
5.0,132,58,74,32,14,18,svc_rbf,all_clean_features,
,131,58,73,33,14,19,svc_rbf,all_clean_features,holdout
