model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,roc_auc,0.9873188405797101,0.9648118935328238,0.9995225984788929,0.987 [0.965; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,pr_auc,0.9928703070929008,0.9809950115623861,0.9996082683333884,0.993 [0.981; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,accuracy,0.926829268292683,0.8841463414634146,0.9634146341463414,0.927 [0.884; 0.963]
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,balanced_accuracy,0.9317632850241546,0.8918394757465765,0.9693877551020409,0.932 [0.892; 0.969]
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,sensitivity,0.8913043478260869,0.8247422680412371,0.9545454545454546,0.891 [0.825; 0.955]
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,specificity,0.9722222222222222,0.9259121061359867,1.0,0.972 [0.926; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,precision,0.9761904761904762,0.9358974358974359,1.0,0.976 [0.936; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,npv,0.875,0.7976152802893309,0.945223991114402,0.875 [0.798; 0.945]
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,f1,0.9318181818181818,0.890079365079365,0.9690721649484536,0.932 [0.890; 0.969]
logreg,Логистическая регрессия,297,all_clean_features,cv_oof,mcc,0.8573363356131297,0.7774919393809998,0.929250915266698,0.857 [0.777; 0.929]
logreg,Логистическая регрессия,297,all_clean_features,holdout,roc_auc,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,holdout,pr_auc,1.0,0.9999999999999998,1.0000000000000002,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,holdout,accuracy,0.9393939393939394,0.8484848484848485,1.0,0.939 [0.848; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,holdout,balanced_accuracy,0.9473684210526316,0.868421052631579,1.0,0.947 [0.868; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,holdout,sensitivity,0.8947368421052632,0.7368421052631579,1.0,0.895 [0.737; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,holdout,specificity,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,holdout,precision,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,holdout,npv,0.875,0.6923076923076923,1.0,0.875 [0.692; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,holdout,f1,0.9444444444444444,0.8484848484848485,1.0,0.944 [0.848; 1.000]
logreg,Логистическая регрессия,297,all_clean_features,holdout,mcc,0.8848133909712856,0.7288689868556626,1.0,0.885 [0.729; 1.000]
rf,Случайный лес,297,all_clean_features,cv_oof,roc_auc,0.9966787439613527,0.990412609255431,1.0,0.997 [0.990; 1.000]
rf,Случайный лес,297,all_clean_features,cv_oof,pr_auc,0.9973915907552563,0.9920744565838678,0.9999999999999999,0.997 [0.992; 1.000]
rf,Случайный лес,297,all_clean_features,cv_oof,accuracy,0.9695121951219512,0.9390243902439024,0.9939024390243902,0.970 [0.939; 0.994]
rf,Случайный лес,297,all_clean_features,cv_oof,balanced_accuracy,0.9698067632850241,0.9394355453852021,0.9941860465116279,0.970 [0.939; 0.994]
rf,Случайный лес,297,all_clean_features,cv_oof,sensitivity,0.967391304347826,0.9255186170212766,1.0,0.967 [0.926; 1.000]
rf,Случайный лес,297,all_clean_features,cv_oof,specificity,0.9722222222222222,0.9285714285714286,1.0,0.972 [0.929; 1.000]
rf,Случайный лес,297,all_clean_features,cv_oof,precision,0.978021978021978,0.9411619103086779,1.0,0.978 [0.941; 1.000]
rf,Случайный лес,297,all_clean_features,cv_oof,npv,0.958904109589041,0.9090909090909091,1.0,0.959 [0.909; 1.000]
rf,Случайный лес,297,all_clean_features,cv_oof,f1,0.9726775956284153,0.9438202247191011,0.9944766476466503,0.973 [0.944; 0.994]
rf,Случайный лес,297,all_clean_features,cv_oof,mcc,0.9382688449030308,0.8776745102541693,0.9877479312283958,0.938 [0.878; 0.988]
rf,Случайный лес,297,all_clean_features,holdout,roc_auc,0.9924812030075189,0.9653804347826087,1.0,0.992 [0.965; 1.000]
rf,Случайный лес,297,all_clean_features,holdout,pr_auc,0.9949874686716791,0.9761818495514148,1.0000000000000002,0.995 [0.976; 1.000]
rf,Случайный лес,297,all_clean_features,holdout,accuracy,0.9090909090909091,0.8181818181818182,1.0,0.909 [0.818; 1.000]
rf,Случайный лес,297,all_clean_features,holdout,balanced_accuracy,0.9022556390977443,0.7857142857142857,1.0,0.902 [0.786; 1.000]
rf,Случайный лес,297,all_clean_features,holdout,sensitivity,0.9473684210526315,0.8235294117647058,1.0,0.947 [0.824; 1.000]
rf,Случайный лес,297,all_clean_features,holdout,specificity,0.8571428571428571,0.6428571428571429,1.0,0.857 [0.643; 1.000]
rf,Случайный лес,297,all_clean_features,holdout,precision,0.9,0.75,1.0,0.900 [0.750; 1.000]
rf,Случайный лес,297,all_clean_features,holdout,npv,0.9230769230769231,0.7333333333333333,1.0,0.923 [0.733; 1.000]
rf,Случайный лес,297,all_clean_features,holdout,f1,0.9230769230769231,0.8181818181818182,1.0,0.923 [0.818; 1.000]
rf,Случайный лес,297,all_clean_features,holdout,mcc,0.8137411550596574,0.5872835735066526,1.0,0.814 [0.587; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,roc_auc,0.9871678743961353,0.9720127896419689,0.9969901744944553,0.987 [0.972; 0.997]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,pr_auc,0.9905559023223475,0.9785441490124999,0.9977270009400642,0.991 [0.979; 0.998]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,accuracy,0.9451219512195121,0.9024390243902439,0.975609756097561,0.945 [0.902; 0.976]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,balanced_accuracy,0.9435386473429952,0.9010209429830159,0.9763806225483856,0.944 [0.901; 0.976]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,sensitivity,0.9565217391304348,0.9111111111111111,0.9896907216494846,0.957 [0.911; 0.990]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,specificity,0.9305555555555556,0.8624652777777778,0.9852994458653027,0.931 [0.862; 0.985]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,precision,0.946236559139785,0.8924731182795699,0.9887671660424469,0.946 [0.892; 0.989]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,npv,0.9436619718309859,0.8833279220779221,0.987012987012987,0.944 [0.883; 0.987]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,f1,0.9513513513513514,0.913968538430904,0.9795918367346939,0.951 [0.914; 0.980]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,cv_oof,mcc,0.8884867930355456,0.8044201261467799,0.951394742691818,0.888 [0.804; 0.951]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,roc_auc,0.9924812030075189,0.9661654135338347,1.0,0.992 [0.966; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,pr_auc,0.9945983379501384,0.9754248366013072,1.0000000000000002,0.995 [0.975; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,accuracy,0.9393939393939394,0.8484848484848485,1.0,0.939 [0.848; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,balanced_accuracy,0.9379699248120301,0.8409090909090909,1.0,0.938 [0.841; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,sensitivity,0.9473684210526315,0.8181818181818182,1.0,0.947 [0.818; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,specificity,0.9285714285714286,0.7692307692307693,1.0,0.929 [0.769; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,precision,0.9473684210526315,0.8333333333333334,1.0,0.947 [0.833; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,npv,0.9285714285714286,0.7647058823529411,1.0,0.929 [0.765; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,f1,0.9473684210526315,0.8571428571428571,1.0,0.947 [0.857; 1.000]
svc_rbf,SVM с RBF-ядром,297,all_clean_features,holdout,mcc,0.8759398496240601,0.693687975619296,1.0,0.876 [0.694; 1.000]
