feature,feature_ru,block,block_ru,n_models_top_n,models_top_n,mean_rank,best_rank,mean_importance,max_importance,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr
event__z_peak,"Пиковая амплитуда события, z",event,Транзиентные события,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,1.6666666666666667,1,0.0013784461152882316,0.0032581453634085637,0.964975845410628,-2.3302479574189605,2.3302479574189605,5.729587184044175e-22
event__n_involved_ch,Число вовлечённых каналов события,event,Транзиентные события,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,5.0,2,0.00037593984962406294,0.0011278195488721888,0.8408061594202899,1.1307276973039035,1.1307276973039035,3.887498532653169e-12
conn__clustering__plv_theta,Функциональная связность · кластеризация · PLV θ,conn,Функциональная связность,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,4.666666666666667,3,0.000334168755221388,0.001002506265664164,0.8691123188405797,-1.3512420460605923,1.3512420460605923,4.139794683171406e-14
event__peak_to_peak_uv,Транзиентные события · peak to peak uv,event,Транзиентные события,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,7.666666666666667,4,0.0,0.0,0.8159722222222223,0.9720211555015174,0.9720211555015174,1.5444586928952428e-10
conn__hub_z_max__plv_delta,Функциональная связность · максимальный hub z-score · PLV δ,conn,Функциональная связность,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,8.666666666666666,5,0.0,0.0,0.8132548309178744,-1.129118548691132,1.129118548691132,2.0895719811778526e-10
aper__aperiodic_intercept_log10__parietal,Апериодический компонент · aperiodic intercept log10 · теменная область,aper,Апериодический компонент,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,9.666666666666666,6,0.0,0.0,0.8057065217391304,1.1420608092640874,1.1420608092640874,5.515340082025495e-10
aper__aperiodic_intercept_log10__temporal,Апериодический компонент · aperiodic intercept log10 · височная область,aper,Апериодический компонент,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,10.666666666666666,7,0.0,0.0,0.8055555555555556,1.1375749353435916,1.1375749353435916,5.515340082025495e-10
burst__pct_time__occipital_alpha,Ритмические эпизоды · pct time · затылочная область α,burst,Ритмические эпизоды,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,11.666666666666666,8,0.0,0.0,0.8020833333333333,0.9997637822086023,0.9997637822086023,8.495781504125879e-10
aper__aperiodic_intercept_log10__frontal,Апериодический компонент · aperiodic intercept log10 · лобная область,aper,Апериодический компонент,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,12.666666666666666,9,0.0,0.0,0.7964975845410628,1.1285406098796067,1.1285406098796067,1.7860226937951565e-09
conn__hub_z_max__dtf_delta,Функциональная связность · максимальный hub z-score · DTF δ,conn,Функциональная связность,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,13.666666666666666,10,0.0,0.0,0.7916666666666666,1.1237997120696217,1.1237997120696217,3.3395639929717363e-09
conn__clustering__coh_theta,Функциональная связность · кластеризация · coherence θ,conn,Функциональная связность,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,14.666666666666666,11,0.0,0.0,0.7823067632850241,-0.6759977867116944,0.6759977867116944,1.0565348576228296e-08
spec_shape__spectral_entropy_norm__frontal,Интегральные спектральные характеристики · спектральная энтропия norm · лобная область,spec_shape,Интегральные спектральные характеристики,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,15.666666666666666,12,0.0,0.0,0.7821557971014492,-1.045041959178796,1.045041959178796,1.0565348576228296e-08
spec_shape__spectral_entropy_raw__frontal,Интегральные спектральные характеристики · спектральная энтропия · лобная область,spec_shape,Интегральные спектральные характеристики,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,16.666666666666668,13,0.0,0.0,0.7821557971014492,-1.0450419591787885,1.0450419591787885,1.0565348576228296e-08
dfa__dfa_exp__frontal_alpha,Долговременные корреляции · dfa exp · лобная область α,dfa,Долговременные корреляции,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,18.333333333333332,15,0.0,0.0,0.7776268115942029,1.042285237626885,1.042285237626885,1.7677359688023226e-08
dfa__dfa_exp__occipital_alpha,Долговременные корреляции · dfa exp · затылочная область α,dfa,Долговременные корреляции,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,19.333333333333332,16,0.0,0.0,0.7768719806763286,1.0969821672769275,1.0969821672769275,1.8622578989888503e-08
conn__hub_z_max__plv_beta,Функциональная связность · максимальный hub z-score · PLV β,conn,Функциональная связность,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,20.333333333333332,17,0.0,0.0,0.776268115942029,-1.066771737493484,1.066771737493484,1.8707026878628353e-08
aper__aperiodic_exponent__frontal,Апериодический компонент · экспонента 1/f · лобная область,aper,Апериодический компонент,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,21.333333333333332,18,0.0,0.0,0.7758152173913043,0.9693323545586681,0.9693323545586681,1.8707026878628353e-08
aper__aperiodic_slope__frontal,Апериодический компонент · наклон 1/f · лобная область,aper,Апериодический компонент,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,22.333333333333332,19,0.0,0.0,0.7758152173913043,-0.9693323545586681,0.9693323545586681,1.8707026878628353e-08
aper__aperiodic_intercept_log10__central,Апериодический компонент · aperiodic intercept log10 · центральная область,aper,Апериодический компонент,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,23.333333333333332,20,0.0,0.0,0.7743055555555556,1.0490147568707586,1.0490147568707586,2.2011209754442993e-08
spec_shape__spectral_entropy_raw__central,Интегральные спектральные характеристики · спектральная энтропия · центральная область,spec_shape,Интегральные спектральные характеристики,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,24.333333333333332,21,0.0,0.0,0.7732487922705313,-1.0081510450692717,1.0081510450692717,2.3441782877667187e-08
spec_shape__spectral_entropy_norm__central,Интегральные спектральные характеристики · спектральная энтропия norm · центральная область,spec_shape,Интегральные спектральные характеристики,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,25.333333333333332,22,0.0,0.0,0.7732487922705313,-1.0081510450692663,1.0081510450692663,2.3441782877667187e-08
dfa__dfa_exp__parietal_alpha,Долговременные корреляции · dfa exp · теменная область α,dfa,Долговременные корреляции,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,26.333333333333332,23,0.0,0.0,0.7715881642512078,1.0199965450147548,1.0199965450147548,2.8231835211831212e-08
conn__global_efficiency__plv_theta,Функциональная связность · глобальная эффективность · PLV θ,conn,Функциональная связность,3,SVM с RBF-ядром; Логистическая регрессия; Случайный лес,27.333333333333332,24,0.0,0.0,0.7697765700483092,-0.9378487017738449,0.9378487017738449,3.469544755493704e-08
conn__small_worldness__pdc_delta,Функциональная связность · мера маломирности · PDC δ,conn,Функциональная связность,2,SVM с RBF-ядром; Логистическая регрессия,2.0,1,0.0006892230576441042,0.001253132832080191,0.6239432367149759,0.4714922902793102,0.4714922902793102,0.004870847880610348
event__spike_to_slow_ratio,Транзиентные события · spike to slow ratio,event,Транзиентные события,2,SVM с RBF-ядром; Логистическая регрессия,4.5,4,0.0,0.0,0.9202898550724639,1.0829277517849636,1.0829277517849636,2.8943409230170134e-18
event__line_length_uv,Транзиентные события · line length uv,event,Транзиентные события,2,SVM с RBF-ядром; Логистическая регрессия,7.5,7,0.0,0.0,0.8331823671497585,0.5497899025899595,0.5497899025899595,1.3276232018551686e-11
event__slow_peak_uv,Транзиентные события · slow peak uv,event,Транзиентные события,2,SVM с RBF-ядром; Логистическая регрессия,8.5,8,0.0,0.0,0.8194444444444445,1.0803857516580142,1.0803857516580142,1.0267203285724793e-10
conn__clustering__pdc_beta,Функциональная связность · кластеризация · PDC β,conn,Функциональная связность,2,Логистическая регрессия; Случайный лес,17.0,14,0.0,0.0,0.7777777777777778,1.067154377275833,1.067154377275833,1.7677359688023226e-08
aper__aperiodic_exponent__parietal,Апериодический компонент · экспонента 1/f · теменная область,aper,Апериодический компонент,2,SVM с RBF-ядром; Случайный лес,27.0,25,0.0,0.0,0.7673611111111112,0.9890745135324296,0.9890745135324296,4.463795683076409e-08
aper__aperiodic_slope__parietal,Апериодический компонент · наклон 1/f · теменная область,aper,Апериодический компонент,2,SVM с RBF-ядром; Случайный лес,28.0,26,0.0,0.0,0.7673611111111112,-0.9890745135324296,0.9890745135324296,4.463795683076409e-08
conn__small_worldness__dtf_alpha,Функциональная связность · мера маломирности · DTF α,conn,Функциональная связность,1,SVM с RBF-ядром,2.0,2,0.00012531328320802097,0.00012531328320802097,0.6111111111111112,-0.121719277645703,0.121719277645703,0.024546948880479858
conn__asymmetry__dtf_beta,Функциональная связность · асимметрия · DTF β,conn,Функциональная связность,1,Логистическая регрессия,2.0,2,0.00012531328320801726,0.00012531328320801726,0.711352657004831,-0.7839986104287673,0.7839986104287673,1.686838321294027e-05
event__propagation_ms,"Время распространения события, мс",event,Транзиентные события,1,Логистическая регрессия,4.0,4,0.0,0.0,0.9412741545893721,2.2034857008326165,2.2034857008326165,5.2932122026501394e-20
conn__global_efficiency__pdc_beta,Функциональная связность · глобальная эффективность · PDC β,conn,Функциональная связность,1,Случайный лес,27.0,27,0.0,0.0,0.7604166666666666,-0.9503946936191081,0.9503946936191081,1.03706992272243e-07
conn__hub_z_max__coh_delta,Функциональная связность · максимальный hub z-score · coherence δ,conn,Функциональная связность,1,Случайный лес,28.0,28,0.0,0.0,0.7586050724637682,-0.9479797066387464,0.9479797066387464,1.2695350882579458e-07
burst__pct_time__frontal_alpha,Ритмические эпизоды · pct time · лобная область α,burst,Ритмические эпизоды,1,Случайный лес,29.0,29,0.0,0.0,0.7580012077294687,0.951274927971627,0.951274927971627,1.3312058525082866e-07
aper__aperiodic_exponent__temporal,Апериодический компонент · экспонента 1/f · височная область,aper,Апериодический компонент,1,Случайный лес,30.0,30,0.0,0.0,0.7570954106280193,0.9890803146166957,0.9890803146166957,1.411494995852662e-07
