model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,14,event,cv_oof,roc_auc,0.9643719806763285,0.9288308757409881,0.9904466557233197,0.964 [0.929; 0.990]
logreg,Логистическая регрессия,14,event,cv_oof,pr_auc,0.9784422083107989,0.957788169885634,0.9930453054539814,0.978 [0.958; 0.993]
logreg,Логистическая регрессия,14,event,cv_oof,accuracy,0.926829268292683,0.8780487804878049,0.9634146341463414,0.927 [0.878; 0.963]
logreg,Логистическая регрессия,14,event,cv_oof,balanced_accuracy,0.9302536231884058,0.8860454613879272,0.9664420226757751,0.930 [0.886; 0.966]
logreg,Логистическая регрессия,14,event,cv_oof,sensitivity,0.9021739130434783,0.8333333333333334,0.9583333333333334,0.902 [0.833; 0.958]
logreg,Логистическая регрессия,14,event,cv_oof,specificity,0.9583333333333334,0.9078896761133604,1.0,0.958 [0.908; 1.000]
logreg,Логистическая регрессия,14,event,cv_oof,precision,0.9651162790697675,0.9210376794258373,1.0,0.965 [0.921; 1.000]
logreg,Логистическая регрессия,14,event,cv_oof,npv,0.8846153846153846,0.807209483093665,0.9500154320987653,0.885 [0.807; 0.950]
logreg,Логистическая регрессия,14,event,cv_oof,f1,0.9325842696629213,0.8876990326263294,0.9680851063829787,0.933 [0.888; 0.968]
logreg,Логистическая регрессия,14,event,cv_oof,mcc,0.8551024816224644,0.7678207024907531,0.9279761904761905,0.855 [0.768; 0.928]
logreg,Логистическая регрессия,14,event,holdout,roc_auc,0.8834586466165413,0.7360967630853995,0.9846153846153847,0.883 [0.736; 0.985]
logreg,Логистическая регрессия,14,event,holdout,pr_auc,0.9342906955445656,0.8377845933682332,0.9902580741626796,0.934 [0.838; 0.990]
logreg,Логистическая регрессия,14,event,holdout,accuracy,0.8181818181818182,0.6666666666666666,0.9393939393939394,0.818 [0.667; 0.939]
logreg,Логистическая регрессия,14,event,holdout,balanced_accuracy,0.8233082706766917,0.6805555555555556,0.9444444444444444,0.823 [0.681; 0.944]
logreg,Логистическая регрессия,14,event,holdout,sensitivity,0.7894736842105263,0.5833333333333334,0.95,0.789 [0.583; 0.950]
logreg,Логистическая регрессия,14,event,holdout,specificity,0.8571428571428571,0.6428571428571429,1.0,0.857 [0.643; 1.000]
logreg,Логистическая регрессия,14,event,holdout,precision,0.8823529411764706,0.7142857142857143,1.0,0.882 [0.714; 1.000]
logreg,Логистическая регрессия,14,event,holdout,npv,0.75,0.5,0.9411764705882353,0.750 [0.500; 0.941]
logreg,Логистическая регрессия,14,event,holdout,f1,0.8333333333333334,0.6814393939393939,0.9474342105263154,0.833 [0.681; 0.947]
