fold,n_train_total,n_train_control,n_train_tbi,n_test_total,n_test_control,n_test_tbi,model,feature_set,validation
1.0,131,57,74,33,15,18,logreg,event,
2.0,131,57,74,33,15,18,logreg,event,
3.0,131,58,73,33,14,19,logreg,event,
4.0,131,58,73,33,14,19,logreg,event,
5.0,132,58,74,32,14,18,logreg,event,
,131,58,73,33,14,19,logreg,event,holdout
1.0,131,57,74,33,15,18,rf,event,
2.0,131,57,74,33,15,18,rf,event,
3.0,131,58,73,33,14,19,rf,event,
4.0,131,58,73,33,14,19,rf,event,
5.0,132,58,74,32,14,18,rf,event,
,131,58,73,33,14,19,rf,event,holdout
1.0,131,57,74,33,15,18,svc_rbf,event,
2.0,131,57,74,33,15,18,svc_rbf,event,
3.0,131,58,73,33,14,19,svc_rbf,event,
4.0,131,58,73,33,14,19,svc_rbf,event,
5.0,132,58,74,32,14,18,svc_rbf,event,
,131,58,73,33,14,19,svc_rbf,event,holdout
