fold,n_train_total,n_train_control,n_train_tbi,n_test_total,n_test_control,n_test_tbi,model,feature_set,validation
1.0,131,57,74,33,15,18,logreg,spectral_baseline,
2.0,131,57,74,33,15,18,logreg,spectral_baseline,
3.0,131,58,73,33,14,19,logreg,spectral_baseline,
4.0,131,58,73,33,14,19,logreg,spectral_baseline,
5.0,132,58,74,32,14,18,logreg,spectral_baseline,
,131,58,73,33,14,19,logreg,spectral_baseline,holdout
1.0,131,57,74,33,15,18,rf,spectral_baseline,
2.0,131,57,74,33,15,18,rf,spectral_baseline,
3.0,131,58,73,33,14,19,rf,spectral_baseline,
4.0,131,58,73,33,14,19,rf,spectral_baseline,
5.0,132,58,74,32,14,18,rf,spectral_baseline,
,131,58,73,33,14,19,rf,spectral_baseline,holdout
1.0,131,57,74,33,15,18,svc_rbf,spectral_baseline,
2.0,131,57,74,33,15,18,svc_rbf,spectral_baseline,
3.0,131,58,73,33,14,19,svc_rbf,spectral_baseline,
4.0,131,58,73,33,14,19,svc_rbf,spectral_baseline,
5.0,132,58,74,32,14,18,svc_rbf,spectral_baseline,
,131,58,73,33,14,19,svc_rbf,spectral_baseline,holdout
