model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,roc_auc,0.8310688405797101,0.7662452558453229,0.8878397759172216,0.831 [0.766; 0.888]
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,pr_auc,0.8816277947411733,0.8228889408816051,0.9268029238670136,0.882 [0.823; 0.927]
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,accuracy,0.7621951219512195,0.6951219512195121,0.823170731707317,0.762 [0.695; 0.823]
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,balanced_accuracy,0.7653985507246377,0.696214997385,0.8292805799720694,0.765 [0.696; 0.829]
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,sensitivity,0.7391304347826086,0.6447295321637427,0.8227881065400844,0.739 [0.645; 0.823]
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,specificity,0.7916666666666666,0.6966047874938935,0.8805970149253731,0.792 [0.697; 0.881]
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,precision,0.8192771084337349,0.7317073170731707,0.8987341772151899,0.819 [0.732; 0.899]
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,npv,0.7037037037037037,0.6,0.7957339878447871,0.704 [0.600; 0.796]
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,f1,0.7771428571428571,0.6993865030674846,0.8372287904378328,0.777 [0.699; 0.837]
logreg,Логистическая регрессия,61,spectral_baseline,cv_oof,mcc,0.5268744624634415,0.3894148031913653,0.6536342651908366,0.527 [0.389; 0.654]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,roc_auc,0.8834586466165414,0.7443609022556391,0.9890148420479301,0.883 [0.744; 0.989]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,pr_auc,0.9185258820594955,0.7937405001080506,0.9934671945701358,0.919 [0.794; 0.993]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,accuracy,0.8484848484848485,0.7272727272727273,0.9696969696969697,0.848 [0.727; 0.970]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,balanced_accuracy,0.8402255639097744,0.7045454545454546,0.9616071428571425,0.840 [0.705; 0.962]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,sensitivity,0.8947368421052632,0.7368421052631579,1.0,0.895 [0.737; 1.000]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,specificity,0.7857142857142857,0.5384615384615384,1.0,0.786 [0.538; 1.000]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,precision,0.85,0.6818181818181818,1.0,0.850 [0.682; 1.000]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,npv,0.8461538461538461,0.6153846153846154,1.0,0.846 [0.615; 1.000]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,f1,0.8717948717948718,0.7428571428571429,0.9714285714285714,0.872 [0.743; 0.971]
logreg,Логистическая регрессия,61,spectral_baseline,holdout,mcc,0.6882577059149438,0.42192650784464586,0.9354143466934854,0.688 [0.422; 0.935]
rf,Случайный лес,61,spectral_baseline,cv_oof,roc_auc,0.8121980676328503,0.7473103757944183,0.8766660342407625,0.812 [0.747; 0.877]
rf,Случайный лес,61,spectral_baseline,cv_oof,pr_auc,0.8563730246604517,0.7863513171204342,0.9164031825812743,0.856 [0.786; 0.916]
rf,Случайный лес,61,spectral_baseline,cv_oof,accuracy,0.75,0.6890243902439024,0.8170731707317073,0.750 [0.689; 0.817]
rf,Случайный лес,61,spectral_baseline,cv_oof,balanced_accuracy,0.75,0.6859082983354956,0.8170744842546134,0.750 [0.686; 0.817]
rf,Случайный лес,61,spectral_baseline,cv_oof,sensitivity,0.75,0.6666666666666666,0.8369628412537917,0.750 [0.667; 0.837]
rf,Случайный лес,61,spectral_baseline,cv_oof,specificity,0.75,0.6499837662337663,0.8481108553893363,0.750 [0.650; 0.848]
rf,Случайный лес,61,spectral_baseline,cv_oof,precision,0.7931034482758621,0.7051282051282052,0.875,0.793 [0.705; 0.875]
rf,Случайный лес,61,spectral_baseline,cv_oof,npv,0.7012987012987013,0.597217039800995,0.8,0.701 [0.597; 0.800]
rf,Случайный лес,61,spectral_baseline,cv_oof,f1,0.770949720670391,0.6989214924212982,0.8361581920903954,0.771 [0.699; 0.836]
rf,Случайный лес,61,spectral_baseline,cv_oof,mcc,0.4971931966421923,0.37057670952612537,0.6309267359619783,0.497 [0.371; 0.631]
rf,Случайный лес,61,spectral_baseline,holdout,roc_auc,0.8721804511278196,0.7384615384615385,0.9682783882783883,0.872 [0.738; 0.968]
rf,Случайный лес,61,spectral_baseline,holdout,pr_auc,0.9214393663872458,0.8234312959985904,0.9839040765203523,0.921 [0.823; 0.984]
rf,Случайный лес,61,spectral_baseline,holdout,accuracy,0.7878787878787878,0.6363636363636364,0.9090909090909091,0.788 [0.636; 0.909]
rf,Случайный лес,61,spectral_baseline,holdout,balanced_accuracy,0.7969924812030075,0.6458333333333333,0.9250892857142853,0.797 [0.646; 0.925]
rf,Случайный лес,61,spectral_baseline,holdout,sensitivity,0.7368421052631579,0.5293343653250774,0.9166666666666666,0.737 [0.529; 0.917]
rf,Случайный лес,61,spectral_baseline,holdout,specificity,0.8571428571428571,0.6663043478260869,1.0,0.857 [0.666; 1.000]
rf,Случайный лес,61,spectral_baseline,holdout,precision,0.875,0.6923076923076923,1.0,0.875 [0.692; 1.000]
rf,Случайный лес,61,spectral_baseline,holdout,npv,0.7058823529411765,0.4704901960784314,0.9047619047619048,0.706 [0.470; 0.905]
rf,Случайный лес,61,spectral_baseline,holdout,f1,0.8,0.631578947368421,0.926829268292683,0.800 [0.632; 0.927]
rf,Случайный лес,61,spectral_baseline,holdout,mcc,0.5873971250985845,0.28578699785818873,0.831038506929733,0.587 [0.286; 0.831]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,roc_auc,0.7933272946859903,0.7194291121660233,0.8604703411588447,0.793 [0.719; 0.860]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,pr_auc,0.8448217874954231,0.7690958573960357,0.9068533354595216,0.845 [0.769; 0.907]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,accuracy,0.7073170731707317,0.6341463414634146,0.774390243902439,0.707 [0.634; 0.774]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,balanced_accuracy,0.6998792270531401,0.6259758766942438,0.7682533053314877,0.700 [0.626; 0.768]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,sensitivity,0.7608695652173914,0.6736690283400809,0.8461538461538461,0.761 [0.674; 0.846]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,specificity,0.6388888888888888,0.5211267605633803,0.7532512008539406,0.639 [0.521; 0.753]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,precision,0.7291666666666666,0.6352941176470588,0.8172068858560795,0.729 [0.635; 0.817]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,npv,0.6764705882352942,0.5555128205128206,0.782608695652174,0.676 [0.556; 0.783]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,f1,0.7446808510638298,0.6704545454545454,0.8095357142857142,0.745 [0.670; 0.810]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,cv_oof,mcc,0.40268712662254674,0.25304752260739055,0.5397869096670566,0.403 [0.253; 0.540]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,roc_auc,0.8045112781954887,0.6321994293585202,0.9380276541640177,0.805 [0.632; 0.938]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,pr_auc,0.8810647153873372,0.7502662999860641,0.9657894736842105,0.881 [0.750; 0.966]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,accuracy,0.7272727272727273,0.5757575757575758,0.8787878787878788,0.727 [0.576; 0.879]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,balanced_accuracy,0.7161654135338347,0.5454292929292929,0.8636363636363636,0.716 [0.545; 0.864]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,sensitivity,0.7894736842105263,0.5789473684210527,0.95,0.789 [0.579; 0.950]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,specificity,0.6428571428571429,0.36363636363636365,0.9090909090909091,0.643 [0.364; 0.909]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,precision,0.75,0.5498863636363637,0.9411764705882353,0.750 [0.550; 0.941]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,npv,0.6923076923076923,0.4166666666666667,0.9166666666666666,0.692 [0.417; 0.917]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,f1,0.7692307692307693,0.5945945945945946,0.8979591836734694,0.769 [0.595; 0.898]
svc_rbf,SVM с RBF-ядром,61,spectral_baseline,holdout,mcc,0.4372908076255168,0.09182866950780605,0.7216878364870322,0.437 [0.092; 0.722]
