fold,n_train_total,n_train_control,n_train_tbi,n_test_total,n_test_control,n_test_tbi,feature_set,n_features
1,131,57,74,33,15,18,alpha_peak,15
2,131,57,74,33,15,18,alpha_peak,15
3,131,58,73,33,14,19,alpha_peak,15
4,131,58,73,33,14,19,alpha_peak,15
5,132,58,74,32,14,18,alpha_peak,15
1,131,57,74,33,15,18,aper,31
2,131,57,74,33,15,18,aper,31
3,131,58,73,33,14,19,aper,31
4,131,58,73,33,14,19,aper,31
5,132,58,74,32,14,18,aper,31
1,131,57,74,33,15,18,burst,40
2,131,57,74,33,15,18,burst,40
3,131,58,73,33,14,19,burst,40
4,131,58,73,33,14,19,burst,40
5,132,58,74,32,14,18,burst,40
1,131,57,74,33,15,18,conn,172
2,131,57,74,33,15,18,conn,172
3,131,58,73,33,14,19,conn,172
4,131,58,73,33,14,19,conn,172
5,132,58,74,32,14,18,conn,172
1,131,57,74,33,15,18,dfa,10
2,131,57,74,33,15,18,dfa,10
3,131,58,73,33,14,19,dfa,10
4,131,58,73,33,14,19,dfa,10
5,132,58,74,32,14,18,dfa,10
1,131,57,74,33,15,18,event,14
2,131,57,74,33,15,18,event,14
3,131,58,73,33,14,19,event,14
4,131,58,73,33,14,19,event,14
5,132,58,74,32,14,18,event,14
1,131,57,74,33,15,18,spec_shape,15
2,131,57,74,33,15,18,spec_shape,15
3,131,58,73,33,14,19,spec_shape,15
4,131,58,73,33,14,19,spec_shape,15
5,132,58,74,32,14,18,spec_shape,15
1,131,57,74,33,15,18,tfr,5
2,131,57,74,33,15,18,tfr,5
3,131,58,73,33,14,19,tfr,5
4,131,58,73,33,14,19,tfr,5
5,132,58,74,32,14,18,tfr,5
1,131,57,74,33,15,18,spectral_baseline,61
2,131,57,74,33,15,18,spectral_baseline,61
3,131,58,73,33,14,19,spectral_baseline,61
4,131,58,73,33,14,19,spectral_baseline,61
5,132,58,74,32,14,18,spectral_baseline,61
