fold,n_train_total,n_train_control,n_train_tbi,n_test_total,n_test_control,n_test_tbi,model,feature_set,n_features
1,131,57,74,33,15,18,logreg,alpha_peak,15
2,131,57,74,33,15,18,logreg,alpha_peak,15
3,131,58,73,33,14,19,logreg,alpha_peak,15
4,131,58,73,33,14,19,logreg,alpha_peak,15
5,132,58,74,32,14,18,logreg,alpha_peak,15
1,131,57,74,33,15,18,rf,alpha_peak,15
2,131,57,74,33,15,18,rf,alpha_peak,15
3,131,58,73,33,14,19,rf,alpha_peak,15
4,131,58,73,33,14,19,rf,alpha_peak,15
5,132,58,74,32,14,18,rf,alpha_peak,15
1,131,57,74,33,15,18,svc_rbf,alpha_peak,15
2,131,57,74,33,15,18,svc_rbf,alpha_peak,15
3,131,58,73,33,14,19,svc_rbf,alpha_peak,15
4,131,58,73,33,14,19,svc_rbf,alpha_peak,15
5,132,58,74,32,14,18,svc_rbf,alpha_peak,15
1,131,57,74,33,15,18,logreg,aper,31
2,131,57,74,33,15,18,logreg,aper,31
3,131,58,73,33,14,19,logreg,aper,31
4,131,58,73,33,14,19,logreg,aper,31
5,132,58,74,32,14,18,logreg,aper,31
1,131,57,74,33,15,18,rf,aper,31
2,131,57,74,33,15,18,rf,aper,31
3,131,58,73,33,14,19,rf,aper,31
4,131,58,73,33,14,19,rf,aper,31
5,132,58,74,32,14,18,rf,aper,31
1,131,57,74,33,15,18,svc_rbf,aper,31
2,131,57,74,33,15,18,svc_rbf,aper,31
3,131,58,73,33,14,19,svc_rbf,aper,31
4,131,58,73,33,14,19,svc_rbf,aper,31
5,132,58,74,32,14,18,svc_rbf,aper,31
1,131,57,74,33,15,18,logreg,burst,40
2,131,57,74,33,15,18,logreg,burst,40
3,131,58,73,33,14,19,logreg,burst,40
4,131,58,73,33,14,19,logreg,burst,40
5,132,58,74,32,14,18,logreg,burst,40
1,131,57,74,33,15,18,rf,burst,40
2,131,57,74,33,15,18,rf,burst,40
3,131,58,73,33,14,19,rf,burst,40
4,131,58,73,33,14,19,rf,burst,40
5,132,58,74,32,14,18,rf,burst,40
1,131,57,74,33,15,18,svc_rbf,burst,40
2,131,57,74,33,15,18,svc_rbf,burst,40
3,131,58,73,33,14,19,svc_rbf,burst,40
4,131,58,73,33,14,19,svc_rbf,burst,40
5,132,58,74,32,14,18,svc_rbf,burst,40
1,131,57,74,33,15,18,logreg,conn,172
2,131,57,74,33,15,18,logreg,conn,172
3,131,58,73,33,14,19,logreg,conn,172
4,131,58,73,33,14,19,logreg,conn,172
5,132,58,74,32,14,18,logreg,conn,172
1,131,57,74,33,15,18,rf,conn,172
2,131,57,74,33,15,18,rf,conn,172
3,131,58,73,33,14,19,rf,conn,172
