model,model_ru,feature_set,n_features,accuracy,balanced_accuracy,f1,mcc,pr_auc,roc_auc,sensitivity,specificity
logreg,Логистическая регрессия,event,14,0.927 [0.878; 0.963],0.930 [0.886; 0.966],0.933 [0.888; 0.968],0.855 [0.768; 0.928],0.978 [0.958; 0.993],0.964 [0.929; 0.990],0.902 [0.833; 0.958],0.958 [0.908; 1.000]
logreg,Логистическая регрессия,conn,172,0.860 [0.805; 0.909],0.861 [0.804; 0.913],0.872 [0.810; 0.919],0.719 [0.603; 0.819],0.947 [0.908; 0.976],0.929 [0.886; 0.965],0.848 [0.767; 0.920],0.875 [0.791; 0.948]
logreg,Логистическая регрессия,burst,40,0.848 [0.787; 0.902],0.849 [0.791; 0.901],0.860 [0.802; 0.911],0.694 [0.575; 0.800],0.940 [0.900; 0.970],0.915 [0.868; 0.955],0.837 [0.760; 0.909],0.861 [0.773; 0.935]
logreg,Логистическая регрессия,spectral_baseline,61,0.762 [0.695; 0.823],0.765 [0.696; 0.829],0.777 [0.699; 0.837],0.527 [0.389; 0.654],0.882 [0.823; 0.927],0.831 [0.766; 0.888],0.739 [0.645; 0.823],0.792 [0.697; 0.881]
logreg,Логистическая регрессия,aper,31,0.738 [0.671; 0.805],0.738 [0.668; 0.804],0.760 [0.686; 0.825],0.473 [0.332; 0.606],0.844 [0.768; 0.906],0.797 [0.730; 0.865],0.739 [0.649; 0.823],0.736 [0.625; 0.833]
logreg,Логистическая регрессия,alpha_peak,15,0.689 [0.616; 0.756],0.687 [0.611; 0.756],0.718 [0.639; 0.786],0.372 [0.222; 0.510],0.790 [0.697; 0.878],0.768 [0.690; 0.837],0.707 [0.607; 0.794],0.667 [0.551; 0.776]
logreg,Логистическая регрессия,spec_shape,15,0.720 [0.652; 0.787],0.718 [0.648; 0.790],0.744 [0.667; 0.813],0.435 [0.294; 0.573],0.786 [0.687; 0.872],0.766 [0.688; 0.842],0.728 [0.633; 0.812],0.708 [0.600; 0.817]
logreg,Логистическая регрессия,tfr,5,0.659 [0.585; 0.732],0.655 [0.579; 0.729],0.692 [0.611; 0.763],0.309 [0.158; 0.457],0.799 [0.711; 0.881],0.756 [0.680; 0.829],0.685 [0.589; 0.774],0.625 [0.507; 0.739]
logreg,Логистическая регрессия,dfa,10,0.665 [0.591; 0.738],0.662 [0.589; 0.732],0.696 [0.613; 0.769],0.322 [0.177; 0.464],0.750 [0.655; 0.846],0.735 [0.659; 0.807],0.685 [0.591; 0.778],0.639 [0.529; 0.743]
rf,Случайный лес,event,14,0.939 [0.896; 0.976],0.940 [0.899; 0.976],0.945 [0.907; 0.978],0.877 [0.794; 0.951],0.985 [0.967; 0.997],0.980 [0.960; 0.995],0.935 [0.880; 0.980],0.944 [0.889; 0.987]
rf,Случайный лес,conn,172,0.878 [0.829; 0.927],0.870 [0.815; 0.919],0.896 [0.847; 0.938],0.753 [0.649; 0.845],0.950 [0.903; 0.983],0.948 [0.911; 0.978],0.935 [0.879; 0.979],0.806 [0.707; 0.890]
rf,Случайный лес,burst,40,0.805 [0.744; 0.866],0.802 [0.738; 0.861],0.826 [0.761; 0.880],0.604 [0.476; 0.720],0.890 [0.819; 0.946],0.878 [0.821; 0.927],0.826 [0.747; 0.901],0.778 [0.677; 0.868]
rf,Случайный лес,tfr,5,0.756 [0.689; 0.817],0.749 [0.682; 0.814],0.787 [0.721; 0.847],0.502 [0.367; 0.632],0.870 [0.804; 0.924],0.838 [0.774; 0.896],0.804 [0.723; 0.880],0.694 [0.583; 0.800]
rf,Случайный лес,spectral_baseline,61,0.750 [0.689; 0.817],0.750 [0.686; 0.817],0.771 [0.699; 0.836],0.497 [0.371; 0.631],0.856 [0.786; 0.916],0.812 [0.747; 0.877],0.750 [0.667; 0.837],0.750 [0.650; 0.848]
rf,Случайный лес,spec_shape,15,0.756 [0.689; 0.823],0.752 [0.685; 0.821],0.783 [0.714; 0.847],0.505 [0.371; 0.642],0.785 [0.688; 0.882],0.786 [0.709; 0.860],0.783 [0.701; 0.863],0.722 [0.613; 0.820]
rf,Случайный лес,aper,31,0.762 [0.701; 0.829],0.758 [0.697; 0.827],0.789 [0.722; 0.854],0.517 [0.393; 0.651],0.810 [0.720; 0.892],0.782 [0.710; 0.853],0.793 [0.705; 0.872],0.722 [0.621; 0.823]
rf,Случайный лес,dfa,10,0.652 [0.579; 0.726],0.646 [0.575; 0.719],0.692 [0.615; 0.763],0.293 [0.151; 0.437],0.702 [0.607; 0.811],0.723 [0.639; 0.803],0.696 [0.602; 0.787],0.597 [0.481; 0.707]
rf,Случайный лес,alpha_peak,15,0.598 [0.524; 0.665],0.590 [0.516; 0.661],0.645 [0.560; 0.716],0.181 [0.033; 0.322],0.686 [0.589; 0.789],0.660 [0.573; 0.737],0.652 [0.553; 0.745],0.528 [0.410; 0.646]
svc_rbf,SVM с RBF-ядром,event,14,0.945 [0.902; 0.976],0.945 [0.904; 0.977],0.951 [0.912; 0.980],0.889 [0.804; 0.952],0.986 [0.970; 0.996],0.982 [0.964; 0.995],0.946 [0.892; 0.989],0.944 [0.884; 0.988]
svc_rbf,SVM с RBF-ядром,conn,172,0.896 [0.848; 0.939],0.891 [0.837; 0.936],0.910 [0.862; 0.949],0.789 [0.684; 0.877],0.964 [0.924; 0.991],0.963 [0.930; 0.987],0.935 [0.876; 0.979],0.847 [0.757; 0.926]
svc_rbf,SVM с RBF-ядром,burst,40,0.787 [0.720; 0.848],0.786 [0.719; 0.848],0.807 [0.734; 0.865],0.569 [0.434; 0.694],0.924 [0.878; 0.958],0.896 [0.847; 0.940],0.793 [0.700; 0.875],0.778 [0.677; 0.869]
svc_rbf,SVM с RBF-ядром,spectral_baseline,61,0.707 [0.634; 0.774],0.700 [0.626; 0.768],0.745 [0.670; 0.810],0.403 [0.253; 0.540],0.845 [0.769; 0.907],0.793 [0.719; 0.860],0.761 [0.674; 0.846],0.639 [0.521; 0.753]
