model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,roc_auc,0.7679649758454107,0.6903201327581595,0.836526236643435,0.768 [0.690; 0.837]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,pr_auc,0.7895506791672898,0.697498403857703,0.877625493382263,0.790 [0.697; 0.878]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,accuracy,0.6890243902439024,0.6158536585365854,0.7560975609756098,0.689 [0.616; 0.756]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,balanced_accuracy,0.6865942028985508,0.6112368152680654,0.7560794906961227,0.687 [0.611; 0.756]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,sensitivity,0.7065217391304348,0.6067415730337079,0.7938144329896907,0.707 [0.607; 0.794]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,specificity,0.6666666666666666,0.5512681159420291,0.7758685023160061,0.667 [0.551; 0.776]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,precision,0.7303370786516854,0.631578947368421,0.8192771084337349,0.730 [0.632; 0.819]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,npv,0.64,0.5262676508344031,0.7466666666666667,0.640 [0.526; 0.747]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,f1,0.7182320441988951,0.6390407784986099,0.7857142857142857,0.718 [0.639; 0.786]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,mcc,0.371760008593687,0.22238648630402597,0.5104956977604094,0.372 [0.222; 0.510]
logreg,Логистическая регрессия,31,aper,cv_oof,roc_auc,0.7974033816425121,0.7299724577168858,0.8645212329789561,0.797 [0.730; 0.865]
logreg,Логистическая регрессия,31,aper,cv_oof,pr_auc,0.8442136666645946,0.7675784610067692,0.9061103793132789,0.844 [0.768; 0.906]
logreg,Логистическая регрессия,31,aper,cv_oof,accuracy,0.7378048780487805,0.670579268292683,0.8048780487804879,0.738 [0.671; 0.805]
logreg,Логистическая регрессия,31,aper,cv_oof,balanced_accuracy,0.7376207729468599,0.6679970999044836,0.8042580179593348,0.738 [0.668; 0.804]
logreg,Логистическая регрессия,31,aper,cv_oof,sensitivity,0.7391304347826086,0.648936170212766,0.8229166666666666,0.739 [0.649; 0.823]
logreg,Логистическая регрессия,31,aper,cv_oof,specificity,0.7361111111111112,0.6249594155844156,0.8333904109589039,0.736 [0.625; 0.833]
logreg,Логистическая регрессия,31,aper,cv_oof,precision,0.7816091954022989,0.6947368421052632,0.8636363636363636,0.782 [0.695; 0.864]
logreg,Логистическая регрессия,31,aper,cv_oof,npv,0.6883116883116883,0.5782998661311914,0.7848101265822784,0.688 [0.578; 0.785]
logreg,Логистическая регрессия,31,aper,cv_oof,f1,0.7597765363128491,0.6857142857142857,0.8253968253968254,0.760 [0.686; 0.825]
logreg,Логистическая регрессия,31,aper,cv_oof,mcc,0.4725737267601514,0.3316532180759485,0.6062725927844997,0.473 [0.332; 0.606]
logreg,Логистическая регрессия,40,burst,cv_oof,roc_auc,0.9151570048309179,0.868050556810043,0.9551126126126126,0.915 [0.868; 0.955]
logreg,Логистическая регрессия,40,burst,cv_oof,pr_auc,0.9400641839968956,0.9001696674941728,0.9701475555672604,0.940 [0.900; 0.970]
logreg,Логистическая регрессия,40,burst,cv_oof,accuracy,0.8475609756097561,0.7865853658536586,0.9024390243902439,0.848 [0.787; 0.902]
logreg,Логистическая регрессия,40,burst,cv_oof,balanced_accuracy,0.8490338164251208,0.7911513326924844,0.9010296291047585,0.849 [0.791; 0.901]
logreg,Логистическая регрессия,40,burst,cv_oof,sensitivity,0.8369565217391305,0.7599759036144579,0.9091136363636362,0.837 [0.760; 0.909]
logreg,Логистическая регрессия,40,burst,cv_oof,specificity,0.8611111111111112,0.7727128883774453,0.9350754084625051,0.861 [0.773; 0.935]
logreg,Логистическая регрессия,40,burst,cv_oof,precision,0.8850574712643678,0.813953488372093,0.9459532112757919,0.885 [0.814; 0.946]
logreg,Логистическая регрессия,40,burst,cv_oof,npv,0.8051948051948052,0.7083333333333334,0.8902480788506515,0.805 [0.708; 0.890]
logreg,Логистическая регрессия,40,burst,cv_oof,f1,0.8603351955307262,0.8023952095808383,0.9112556561085972,0.860 [0.802; 0.911]
logreg,Логистическая регрессия,40,burst,cv_oof,mcc,0.6941489556985198,0.575132219865335,0.8001634221460101,0.694 [0.575; 0.800]
logreg,Логистическая регрессия,172,conn,cv_oof,roc_auc,0.9288949275362319,0.8855580837403094,0.9647174688275232,0.929 [0.886; 0.965]
logreg,Логистическая регрессия,172,conn,cv_oof,pr_auc,0.9474582105063329,0.9081327071467165,0.9757322795630907,0.947 [0.908; 0.976]
logreg,Логистическая регрессия,172,conn,cv_oof,accuracy,0.8597560975609756,0.8048780487804879,0.9085365853658537,0.860 [0.805; 0.909]
logreg,Логистическая регрессия,172,conn,cv_oof,balanced_accuracy,0.8614130434782609,0.8042556333194776,0.9125869429455797,0.861 [0.804; 0.913]
logreg,Логистическая регрессия,172,conn,cv_oof,sensitivity,0.8478260869565217,0.7666666666666667,0.9204545454545454,0.848 [0.767; 0.920]
logreg,Логистическая регрессия,172,conn,cv_oof,specificity,0.875,0.7910267212325469,0.948068598068598,0.875 [0.791; 0.948]
logreg,Логистическая регрессия,172,conn,cv_oof,precision,0.896551724137931,0.8260869565217391,0.956989247311828,0.897 [0.826; 0.957]
logreg,Логистическая регрессия,172,conn,cv_oof,npv,0.8181818181818182,0.7272456709956711,0.9024474932249322,0.818 [0.727; 0.902]
logreg,Логистическая регрессия,172,conn,cv_oof,f1,0.8715083798882681,0.8098086473853345,0.918918918918919,0.872 [0.810; 0.919]
logreg,Логистическая регрессия,172,conn,cv_oof,mcc,0.7187684255805606,0.6029952922934199,0.8187083505180042,0.719 [0.603; 0.819]
logreg,Логистическая регрессия,10,dfa,cv_oof,roc_auc,0.7352053140096618,0.6594120553359685,0.8068554700563666,0.735 [0.659; 0.807]
logreg,Логистическая регрессия,10,dfa,cv_oof,pr_auc,0.749708345465108,0.6546340796506637,0.8457663496901888,0.750 [0.655; 0.846]
logreg,Логистическая регрессия,10,dfa,cv_oof,accuracy,0.6646341463414634,0.5914634146341463,0.7378048780487805,0.665 [0.591; 0.738]
logreg,Логистическая регрессия,10,dfa,cv_oof,balanced_accuracy,0.6618357487922706,0.589135599174822,0.732274141611491,0.662 [0.589; 0.732]
logreg,Логистическая регрессия,10,dfa,cv_oof,sensitivity,0.6847826086956522,0.5909090909090909,0.7777777777777778,0.685 [0.591; 0.778]
logreg,Логистическая регрессия,10,dfa,cv_oof,specificity,0.6388888888888888,0.529390756302521,0.7432432432432432,0.639 [0.529; 0.743]
logreg,Логистическая регрессия,10,dfa,cv_oof,precision,0.7078651685393258,0.6144578313253012,0.8,0.708 [0.614; 0.800]
logreg,Логистическая регрессия,10,dfa,cv_oof,npv,0.6133333333333333,0.5,0.7229113823715915,0.613 [0.500; 0.723]
logreg,Логистическая регрессия,10,dfa,cv_oof,f1,0.6961325966850829,0.6134969325153374,0.76925,0.696 [0.613; 0.769]
logreg,Логистическая регрессия,10,dfa,cv_oof,mcc,0.3224326288126476,0.17685665596285388,0.4637910502013653,0.322 [0.177; 0.464]
logreg,Логистическая регрессия,14,event,cv_oof,roc_auc,0.9643719806763285,0.9288308757409881,0.9904466557233197,0.964 [0.929; 0.990]
logreg,Логистическая регрессия,14,event,cv_oof,pr_auc,0.9784422083107989,0.957788169885634,0.9930453054539814,0.978 [0.958; 0.993]
logreg,Логистическая регрессия,14,event,cv_oof,accuracy,0.926829268292683,0.8780487804878049,0.9634146341463414,0.927 [0.878; 0.963]
logreg,Логистическая регрессия,14,event,cv_oof,balanced_accuracy,0.9302536231884058,0.8860454613879272,0.9664420226757751,0.930 [0.886; 0.966]
logreg,Логистическая регрессия,14,event,cv_oof,sensitivity,0.9021739130434783,0.8333333333333334,0.9583333333333334,0.902 [0.833; 0.958]
logreg,Логистическая регрессия,14,event,cv_oof,specificity,0.9583333333333334,0.9078896761133604,1.0,0.958 [0.908; 1.000]
logreg,Логистическая регрессия,14,event,cv_oof,precision,0.9651162790697675,0.9210376794258373,1.0,0.965 [0.921; 1.000]
logreg,Логистическая регрессия,14,event,cv_oof,npv,0.8846153846153846,0.807209483093665,0.9500154320987653,0.885 [0.807; 0.950]
logreg,Логистическая регрессия,14,event,cv_oof,f1,0.9325842696629213,0.8876990326263294,0.9680851063829787,0.933 [0.888; 0.968]
logreg,Логистическая регрессия,14,event,cv_oof,mcc,0.8551024816224644,0.7678207024907531,0.9279761904761905,0.855 [0.768; 0.928]
