model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,roc_auc,0.7679649758454107,0.6903201327581595,0.836526236643435,0.768 [0.690; 0.837]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,pr_auc,0.7895506791672898,0.697498403857703,0.877625493382263,0.790 [0.697; 0.878]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,accuracy,0.6890243902439024,0.6158536585365854,0.7560975609756098,0.689 [0.616; 0.756]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,balanced_accuracy,0.6865942028985508,0.6112368152680654,0.7560794906961227,0.687 [0.611; 0.756]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,sensitivity,0.7065217391304348,0.6067415730337079,0.7938144329896907,0.707 [0.607; 0.794]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,specificity,0.6666666666666666,0.5512681159420291,0.7758685023160061,0.667 [0.551; 0.776]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,precision,0.7303370786516854,0.631578947368421,0.8192771084337349,0.730 [0.632; 0.819]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,npv,0.64,0.5262676508344031,0.7466666666666667,0.640 [0.526; 0.747]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,f1,0.7182320441988951,0.6390407784986099,0.7857142857142857,0.718 [0.639; 0.786]
logreg,Логистическая регрессия,15,alpha_peak,cv_oof,mcc,0.371760008593687,0.22238648630402597,0.5104956977604094,0.372 [0.222; 0.510]
rf,Случайный лес,15,alpha_peak,cv_oof,roc_auc,0.6603260869565217,0.5731950835176653,0.736828984478471,0.660 [0.573; 0.737]
rf,Случайный лес,15,alpha_peak,cv_oof,pr_auc,0.6856374364553365,0.5887190811945742,0.7892062628315007,0.686 [0.589; 0.789]
rf,Случайный лес,15,alpha_peak,cv_oof,accuracy,0.5975609756097561,0.524390243902439,0.6646341463414634,0.598 [0.524; 0.665]
rf,Случайный лес,15,alpha_peak,cv_oof,balanced_accuracy,0.5899758454106281,0.5164273581260971,0.6605907278973295,0.590 [0.516; 0.661]
rf,Случайный лес,15,alpha_peak,cv_oof,sensitivity,0.6521739130434783,0.5529411764705883,0.7446862787668258,0.652 [0.553; 0.745]
rf,Случайный лес,15,alpha_peak,cv_oof,specificity,0.5277777777777778,0.41025641025641024,0.6456068503350705,0.528 [0.410; 0.646]
rf,Случайный лес,15,alpha_peak,cv_oof,precision,0.6382978723404256,0.5402072839984502,0.7317314658295097,0.638 [0.540; 0.732]
rf,Случайный лес,15,alpha_peak,cv_oof,npv,0.5428571428571428,0.4249914383561644,0.6533793103448273,0.543 [0.425; 0.653]
rf,Случайный лес,15,alpha_peak,cv_oof,f1,0.6451612903225806,0.5595238095238095,0.7162825407844498,0.645 [0.560; 0.716]
rf,Случайный лес,15,alpha_peak,cv_oof,mcc,0.1805523505400934,0.032566119770874695,0.3219875112276874,0.181 [0.033; 0.322]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,roc_auc,0.6841787439613526,0.5974155230713647,0.7636426767676767,0.684 [0.597; 0.764]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,pr_auc,0.7108320798490287,0.6156795816254689,0.8111317482985823,0.711 [0.616; 0.811]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,accuracy,0.6646341463414634,0.5914634146341463,0.7378048780487805,0.665 [0.591; 0.738]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,balanced_accuracy,0.6467391304347826,0.5733667867611139,0.7175016891891892,0.647 [0.573; 0.718]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,sensitivity,0.7934782608695652,0.7058823529411765,0.8775566893424036,0.793 [0.706; 0.878]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,specificity,0.5,0.38571428571428573,0.6154109589041095,0.500 [0.386; 0.615]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,precision,0.6697247706422018,0.5794140553417628,0.7561203555960792,0.670 [0.579; 0.756]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,npv,0.6545454545454545,0.5254237288135594,0.7800312499999998,0.655 [0.525; 0.780]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,f1,0.7263681592039801,0.6519337016574586,0.7927967615192285,0.726 [0.652; 0.793]
svc_rbf,SVM с RBF-ядром,15,alpha_peak,cv_oof,mcc,0.30849029440138903,0.15468542004031482,0.4529582891207331,0.308 [0.155; 0.453]
logreg,Логистическая регрессия,31,aper,cv_oof,roc_auc,0.7974033816425121,0.7299724577168858,0.8645212329789561,0.797 [0.730; 0.865]
logreg,Логистическая регрессия,31,aper,cv_oof,pr_auc,0.8442136666645946,0.7675784610067692,0.9061103793132789,0.844 [0.768; 0.906]
logreg,Логистическая регрессия,31,aper,cv_oof,accuracy,0.7378048780487805,0.670579268292683,0.8048780487804879,0.738 [0.671; 0.805]
logreg,Логистическая регрессия,31,aper,cv_oof,balanced_accuracy,0.7376207729468599,0.6679970999044836,0.8042580179593348,0.738 [0.668; 0.804]
logreg,Логистическая регрессия,31,aper,cv_oof,sensitivity,0.7391304347826086,0.648936170212766,0.8229166666666666,0.739 [0.649; 0.823]
logreg,Логистическая регрессия,31,aper,cv_oof,specificity,0.7361111111111112,0.6249594155844156,0.8333904109589039,0.736 [0.625; 0.833]
logreg,Логистическая регрессия,31,aper,cv_oof,precision,0.7816091954022989,0.6947368421052632,0.8636363636363636,0.782 [0.695; 0.864]
logreg,Логистическая регрессия,31,aper,cv_oof,npv,0.6883116883116883,0.5782998661311914,0.7848101265822784,0.688 [0.578; 0.785]
logreg,Логистическая регрессия,31,aper,cv_oof,f1,0.7597765363128491,0.6857142857142857,0.8253968253968254,0.760 [0.686; 0.825]
logreg,Логистическая регрессия,31,aper,cv_oof,mcc,0.4725737267601514,0.3316532180759485,0.6062725927844997,0.473 [0.332; 0.606]
rf,Случайный лес,31,aper,cv_oof,roc_auc,0.7820048309178744,0.7104027462136262,0.8526660713568042,0.782 [0.710; 0.853]
rf,Случайный лес,31,aper,cv_oof,pr_auc,0.8097723243570876,0.7197517642820367,0.892037152367127,0.810 [0.720; 0.892]
rf,Случайный лес,31,aper,cv_oof,accuracy,0.7621951219512195,0.7012195121951219,0.8292682926829268,0.762 [0.701; 0.829]
rf,Случайный лес,31,aper,cv_oof,balanced_accuracy,0.7578502415458936,0.6969451817068191,0.826886278515492,0.758 [0.697; 0.827]
rf,Случайный лес,31,aper,cv_oof,sensitivity,0.7934782608695652,0.7052631578947368,0.8723456403838131,0.793 [0.705; 0.872]
rf,Случайный лес,31,aper,cv_oof,specificity,0.7222222222222222,0.6212121212121212,0.8227848101265823,0.722 [0.621; 0.823]
rf,Случайный лес,31,aper,cv_oof,precision,0.7849462365591398,0.6966292134831461,0.8651685393258427,0.785 [0.697; 0.865]
rf,Случайный лес,31,aper,cv_oof,npv,0.7323943661971831,0.6231824661439772,0.8307692307692308,0.732 [0.623; 0.831]
rf,Случайный лес,31,aper,cv_oof,f1,0.7891891891891892,0.7216315032366339,0.8539356210142727,0.789 [0.722; 0.854]
rf,Случайный лес,31,aper,cv_oof,mcc,0.5165198919348917,0.3927422546690476,0.651338282643514,0.517 [0.393; 0.651]
svc_rbf,SVM с RBF-ядром,31,aper,cv_oof,roc_auc,0.7787590579710146,0.7019423655440604,0.8492667831454583,0.779 [0.702; 0.849]
svc_rbf,SVM с RBF-ядром,31,aper,cv_oof,pr_auc,0.8080552462956896,0.7142158809692875,0.8892760995967389,0.808 [0.714; 0.889]
svc_rbf,SVM с RBF-ядром,31,aper,cv_oof,accuracy,0.7134146341463414,0.6402439024390244,0.7804878048780488,0.713 [0.640; 0.780]
svc_rbf,SVM с RBF-ядром,31,aper,cv_oof,balanced_accuracy,0.7038043478260869,0.6305380294750041,0.7721996017156862,0.704 [0.631; 0.772]
svc_rbf,SVM с RBF-ядром,31,aper,cv_oof,sensitivity,0.782608695652174,0.6947368421052632,0.8645833333333334,0.783 [0.695; 0.865]
svc_rbf,SVM с RBF-ядром,31,aper,cv_oof,specificity,0.625,0.5151403743315508,0.7391453245979749,0.625 [0.515; 0.739]
svc_rbf,SVM с RBF-ядром,31,aper,cv_oof,precision,0.7272727272727273,0.6336633663366337,0.8144329896907216,0.727 [0.634; 0.814]
svc_rbf,SVM с RBF-ядром,31,aper,cv_oof,npv,0.6923076923076923,0.5752971394037066,0.8,0.692 [0.575; 0.800]
