feature_set,fold,n_selected,n_train_total,n_train_control,n_train_tbi,n_test_total,n_test_control,n_test_tbi
alpha_peak,1,10,131,57,74,33,15,18
alpha_peak,2,10,131,57,74,33,15,18
alpha_peak,3,10,131,58,73,33,14,19
alpha_peak,4,10,131,58,73,33,14,19
alpha_peak,5,10,132,58,74,32,14,18
aper,1,10,131,57,74,33,15,18
aper,2,10,131,57,74,33,15,18
aper,3,10,131,58,73,33,14,19
aper,4,10,131,58,73,33,14,19
aper,5,10,132,58,74,32,14,18
burst,1,10,131,57,74,33,15,18
burst,2,10,131,57,74,33,15,18
burst,3,10,131,58,73,33,14,19
burst,4,10,131,58,73,33,14,19
burst,5,10,132,58,74,32,14,18
conn,1,10,131,57,74,33,15,18
conn,2,10,131,57,74,33,15,18
conn,3,10,131,58,73,33,14,19
conn,4,10,131,58,73,33,14,19
conn,5,10,132,58,74,32,14,18
dfa,1,10,131,57,74,33,15,18
dfa,2,10,131,57,74,33,15,18
dfa,3,10,131,58,73,33,14,19
dfa,4,10,131,58,73,33,14,19
dfa,5,10,132,58,74,32,14,18
event,1,10,131,57,74,33,15,18
event,2,10,131,57,74,33,15,18
event,3,10,131,58,73,33,14,19
event,4,10,131,58,73,33,14,19
event,5,10,132,58,74,32,14,18
spec_shape,1,10,131,57,74,33,15,18
spec_shape,2,10,131,57,74,33,15,18
spec_shape,3,10,131,58,73,33,14,19
spec_shape,4,10,131,58,73,33,14,19
spec_shape,5,10,132,58,74,32,14,18
tfr,1,5,131,57,74,33,15,18
tfr,2,5,131,57,74,33,15,18
tfr,3,5,131,58,73,33,14,19
tfr,4,5,131,58,73,33,14,19
tfr,5,5,132,58,74,32,14,18
spectral_baseline,1,10,131,57,74,33,15,18
spectral_baseline,2,10,131,57,74,33,15,18
spectral_baseline,3,10,131,58,73,33,14,19
spectral_baseline,4,10,131,58,73,33,14,19
spectral_baseline,5,10,132,58,74,32,14,18
