feature_set,model,fold,n_selected,n_train_total,n_train_control,n_train_tbi,n_test_total,n_test_control,n_test_tbi
alpha_peak,logreg,1,10,131,57,74,33,15,18
alpha_peak,logreg,2,10,131,57,74,33,15,18
alpha_peak,logreg,3,10,131,58,73,33,14,19
alpha_peak,logreg,4,10,131,58,73,33,14,19
alpha_peak,logreg,5,10,132,58,74,32,14,18
alpha_peak,rf,1,10,131,57,74,33,15,18
alpha_peak,rf,2,10,131,57,74,33,15,18
alpha_peak,rf,3,10,131,58,73,33,14,19
alpha_peak,rf,4,10,131,58,73,33,14,19
alpha_peak,rf,5,10,132,58,74,32,14,18
alpha_peak,svc_rbf,1,10,131,57,74,33,15,18
alpha_peak,svc_rbf,2,10,131,57,74,33,15,18
alpha_peak,svc_rbf,3,10,131,58,73,33,14,19
alpha_peak,svc_rbf,4,10,131,58,73,33,14,19
alpha_peak,svc_rbf,5,10,132,58,74,32,14,18
aper,logreg,1,10,131,57,74,33,15,18
aper,logreg,2,10,131,57,74,33,15,18
aper,logreg,3,10,131,58,73,33,14,19
aper,logreg,4,10,131,58,73,33,14,19
aper,logreg,5,10,132,58,74,32,14,18
aper,rf,1,10,131,57,74,33,15,18
aper,rf,2,10,131,57,74,33,15,18
aper,rf,3,10,131,58,73,33,14,19
aper,rf,4,10,131,58,73,33,14,19
aper,rf,5,10,132,58,74,32,14,18
aper,svc_rbf,1,10,131,57,74,33,15,18
aper,svc_rbf,2,10,131,57,74,33,15,18
aper,svc_rbf,3,10,131,58,73,33,14,19
aper,svc_rbf,4,10,131,58,73,33,14,19
aper,svc_rbf,5,10,132,58,74,32,14,18
burst,logreg,1,10,131,57,74,33,15,18
burst,logreg,2,10,131,57,74,33,15,18
burst,logreg,3,10,131,58,73,33,14,19
burst,logreg,4,10,131,58,73,33,14,19
burst,logreg,5,10,132,58,74,32,14,18
burst,rf,1,10,131,57,74,33,15,18
burst,rf,2,10,131,57,74,33,15,18
burst,rf,3,10,131,58,73,33,14,19
burst,rf,4,10,131,58,73,33,14,19
burst,rf,5,10,132,58,74,32,14,18
burst,svc_rbf,1,10,131,57,74,33,15,18
burst,svc_rbf,2,10,131,57,74,33,15,18
burst,svc_rbf,3,10,131,58,73,33,14,19
burst,svc_rbf,4,10,131,58,73,33,14,19
burst,svc_rbf,5,10,132,58,74,32,14,18
conn,logreg,1,10,131,57,74,33,15,18
conn,logreg,2,10,131,57,74,33,15,18
conn,logreg,3,10,131,58,73,33,14,19
conn,logreg,4,10,131,58,73,33,14,19
conn,logreg,5,10,132,58,74,32,14,18
conn,rf,1,10,131,57,74,33,15,18
conn,rf,2,10,131,57,74,33,15,18
conn,rf,3,10,131,58,73,33,14,19
conn,rf,4,10,131,58,73,33,14,19
conn,rf,5,10,132,58,74,32,14,18
conn,svc_rbf,1,10,131,57,74,33,15,18
conn,svc_rbf,2,10,131,57,74,33,15,18
conn,svc_rbf,3,10,131,58,73,33,14,19
conn,svc_rbf,4,10,131,58,73,33,14,19
conn,svc_rbf,5,10,132,58,74,32,14,18
dfa,logreg,1,10,131,57,74,33,15,18
dfa,logreg,2,10,131,57,74,33,15,18
dfa,logreg,3,10,131,58,73,33,14,19
dfa,logreg,4,10,131,58,73,33,14,19
dfa,logreg,5,10,132,58,74,32,14,18
dfa,rf,1,10,131,57,74,33,15,18
dfa,rf,2,10,131,57,74,33,15,18
dfa,rf,3,10,131,58,73,33,14,19
dfa,rf,4,10,131,58,73,33,14,19
dfa,rf,5,10,132,58,74,32,14,18
dfa,svc_rbf,1,10,131,57,74,33,15,18
dfa,svc_rbf,2,10,131,57,74,33,15,18
dfa,svc_rbf,3,10,131,58,73,33,14,19
dfa,svc_rbf,4,10,131,58,73,33,14,19
dfa,svc_rbf,5,10,132,58,74,32,14,18
event,logreg,1,10,131,57,74,33,15,18
event,logreg,2,10,131,57,74,33,15,18
event,logreg,3,10,131,58,73,33,14,19
event,logreg,4,10,131,58,73,33,14,19
event,logreg,5,10,132,58,74,32,14,18
event,rf,1,10,131,57,74,33,15,18
event,rf,2,10,131,57,74,33,15,18
event,rf,3,10,131,58,73,33,14,19
event,rf,4,10,131,58,73,33,14,19
event,rf,5,10,132,58,74,32,14,18
