model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,roc_auc,0.7743055555555555,0.6957363442205634,0.8421938328488672,0.774 [0.696; 0.842]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,pr_auc,0.8022000648069649,0.713520296247823,0.8830609889991684,0.802 [0.714; 0.883]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,accuracy,0.725609756097561,0.6524390243902439,0.7926829268292683,0.726 [0.652; 0.793]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,balanced_accuracy,0.7252415458937198,0.6526694310310023,0.7919231052569542,0.725 [0.653; 0.792]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,sensitivity,0.7282608695652174,0.6299803370786516,0.8131904761904761,0.728 [0.630; 0.813]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,specificity,0.7222222222222222,0.6142619047619048,0.825,0.722 [0.614; 0.825]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,precision,0.7701149425287356,0.6794642857142857,0.8571428571428571,0.770 [0.679; 0.857]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,npv,0.6753246753246753,0.5616271299699299,0.7777777777777778,0.675 [0.562; 0.778]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,f1,0.7486033519553073,0.6705882352941176,0.8139564099567606,0.749 [0.671; 0.814]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,mcc,0.44795425687811047,0.30469382834453157,0.5805769190848029,0.448 [0.305; 0.581]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,roc_auc,0.8165760869565217,0.753164883243187,0.8778857636071069,0.817 [0.753; 0.878]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,pr_auc,0.8571651467388285,0.7868308705047972,0.9137349104808207,0.857 [0.787; 0.914]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,accuracy,0.7378048780487805,0.676829268292683,0.8048780487804879,0.738 [0.677; 0.805]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,balanced_accuracy,0.7330917874396135,0.6687564607271905,0.8022604030104561,0.733 [0.669; 0.802]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,sensitivity,0.7717391304347826,0.6842105263157895,0.8584142939592151,0.772 [0.684; 0.858]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,specificity,0.6944444444444444,0.5920913639733135,0.8,0.694 [0.592; 0.800]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,precision,0.7634408602150538,0.6781609195402298,0.8476242236024845,0.763 [0.678; 0.848]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,npv,0.704225352112676,0.5921052631578947,0.803030303030303,0.704 [0.592; 0.803]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,f1,0.7675675675675676,0.6976744186046512,0.8325084602368865,0.768 [0.698; 0.833]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,mcc,0.4669243051214712,0.33715200065381,0.6086233496810305,0.467 [0.337; 0.609]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,roc_auc,0.8069142512077295,0.738370611986775,0.8700634347047006,0.807 [0.738; 0.870]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,pr_auc,0.8563827973491785,0.7870150143915711,0.9134625414942983,0.856 [0.787; 0.913]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,accuracy,0.7439024390243902,0.6766768292682928,0.8109756097560976,0.744 [0.677; 0.811]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,balanced_accuracy,0.7475845410628019,0.6783646600328664,0.8132307372876414,0.748 [0.678; 0.813]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,sensitivity,0.717391304347826,0.6210435571687841,0.8023255813953488,0.717 [0.621; 0.802]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,specificity,0.7777777777777778,0.6811594202898551,0.8684318377911993,0.778 [0.681; 0.868]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,precision,0.8048780487804879,0.7142857142857143,0.8846264367816091,0.805 [0.714; 0.885]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,npv,0.6829268292682927,0.5795454545454546,0.7790735427363334,0.683 [0.580; 0.779]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,f1,0.7586206896551724,0.6790067340067341,0.8258760545100584,0.759 [0.679; 0.826]
logreg,Логистическая регрессия,10,burst,cv_oof_topk_train_only,mcc,0.49147318718299043,0.3541672335046615,0.624728567763868,0.491 [0.354; 0.625]
logreg,Логистическая регрессия,10,conn,cv_oof_topk_train_only,roc_auc,0.9064009661835749,0.8530286236751756,0.9535850349430313,0.906 [0.853; 0.954]
logreg,Логистическая регрессия,10,conn,cv_oof_topk_train_only,pr_auc,0.9186974002960189,0.8617663457291715,0.9671773730421348,0.919 [0.862; 0.967]
