model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,roc_auc,0.7743055555555555,0.6957363442205634,0.8421938328488672,0.774 [0.696; 0.842]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,pr_auc,0.8022000648069649,0.713520296247823,0.8830609889991684,0.802 [0.714; 0.883]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,accuracy,0.725609756097561,0.6524390243902439,0.7926829268292683,0.726 [0.652; 0.793]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,balanced_accuracy,0.7252415458937198,0.6526694310310023,0.7919231052569542,0.725 [0.653; 0.792]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,sensitivity,0.7282608695652174,0.6299803370786516,0.8131904761904761,0.728 [0.630; 0.813]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,specificity,0.7222222222222222,0.6142619047619048,0.825,0.722 [0.614; 0.825]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,precision,0.7701149425287356,0.6794642857142857,0.8571428571428571,0.770 [0.679; 0.857]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,npv,0.6753246753246753,0.5616271299699299,0.7777777777777778,0.675 [0.562; 0.778]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,f1,0.7486033519553073,0.6705882352941176,0.8139564099567606,0.749 [0.671; 0.814]
logreg,Логистическая регрессия,10,alpha_peak,cv_oof_topk_train_only,mcc,0.44795425687811047,0.30469382834453157,0.5805769190848029,0.448 [0.305; 0.581]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,roc_auc,0.6358695652173912,0.5480991791423776,0.7132303585049579,0.636 [0.548; 0.713]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,pr_auc,0.6803064062371926,0.5843831243578091,0.7773926504742315,0.680 [0.584; 0.777]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,accuracy,0.5975609756097561,0.524390243902439,0.6707317073170732,0.598 [0.524; 0.671]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,balanced_accuracy,0.5899758454106281,0.5157682078101333,0.6611611320622949,0.590 [0.516; 0.661]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,sensitivity,0.6521739130434783,0.5499862637362638,0.7471295945433876,0.652 [0.550; 0.747]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,specificity,0.5277777777777778,0.4177215189873418,0.6438356164383562,0.528 [0.418; 0.644]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,precision,0.6382978723404256,0.5384615384615384,0.7333510638297871,0.638 [0.538; 0.733]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,npv,0.5428571428571428,0.42617983109786384,0.6527777777777778,0.543 [0.426; 0.653]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,f1,0.6451612903225806,0.5575757575757576,0.7179687499999999,0.645 [0.558; 0.718]
rf,Случайный лес,10,alpha_peak,cv_oof_topk_train_only,mcc,0.1805523505400934,0.03150460207066068,0.32449442039836807,0.181 [0.032; 0.324]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,roc_auc,0.6769323671497585,0.5888444283988838,0.7557401460442195,0.677 [0.589; 0.756]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,pr_auc,0.7052389002705092,0.6065879810695568,0.8098466289900201,0.705 [0.607; 0.810]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,accuracy,0.6463414634146342,0.573170731707317,0.7195121951219512,0.646 [0.573; 0.720]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,balanced_accuracy,0.6334541062801933,0.5600260568588792,0.7051854131404831,0.633 [0.560; 0.705]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,sensitivity,0.7391304347826086,0.6404494382022472,0.8271711366538952,0.739 [0.640; 0.827]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,specificity,0.5277777777777778,0.41174456083803385,0.6417910447761194,0.528 [0.412; 0.642]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,precision,0.6666666666666666,0.5714285714285714,0.7551074685193225,0.667 [0.571; 0.755]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,npv,0.6129032258064516,0.4838709677419355,0.7321428571428571,0.613 [0.484; 0.732]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,f1,0.7010309278350515,0.6214689265536724,0.7699542253521127,0.701 [0.621; 0.770]
svc_rbf,SVM с RBF-ядром,10,alpha_peak,cv_oof_topk_train_only,mcc,0.2731657011516992,0.12293690586660042,0.41965074356608917,0.273 [0.123; 0.420]
logreg,Логистическая регрессия,10,aper,cv_oof_topk_train_only,roc_auc,0.8165760869565217,0.753164883243187,0.8778857636071069,0.817 [0.753; 0.878]
