feature_set,model,feature,n_selected_folds
alpha_peak,logreg,alpha_peak__alpha_peak_amp_db__central,5
alpha_peak,logreg,alpha_peak__alpha_peak_amp_db__parietal,5
alpha_peak,logreg,alpha_peak__alpha_peak_db__central,5
alpha_peak,logreg,alpha_peak__alpha_peak_db__frontal,5
alpha_peak,logreg,alpha_peak__alpha_peak_db__occipital,5
alpha_peak,logreg,alpha_peak__alpha_peak_db__parietal,5
alpha_peak,logreg,alpha_peak__alpha_peak_db__temporal,5
alpha_peak,logreg,alpha_peak__alpha_peak_amp_db__frontal,4
alpha_peak,logreg,alpha_peak__alpha_peak_amp_db__occipital,4
alpha_peak,logreg,alpha_peak__paf_hz__temporal,3
alpha_peak,logreg,alpha_peak__alpha_peak_amp_db__temporal,2
alpha_peak,logreg,alpha_peak__paf_hz__central,1
alpha_peak,logreg,alpha_peak__paf_hz__parietal,1
alpha_peak,rf,alpha_peak__alpha_peak_amp_db__central,5
alpha_peak,rf,alpha_peak__alpha_peak_amp_db__parietal,5
alpha_peak,rf,alpha_peak__alpha_peak_db__central,5
alpha_peak,rf,alpha_peak__alpha_peak_db__frontal,5
alpha_peak,rf,alpha_peak__alpha_peak_db__occipital,5
alpha_peak,rf,alpha_peak__alpha_peak_db__parietal,5
alpha_peak,rf,alpha_peak__alpha_peak_db__temporal,5
alpha_peak,rf,alpha_peak__alpha_peak_amp_db__frontal,4
alpha_peak,rf,alpha_peak__alpha_peak_amp_db__occipital,4
alpha_peak,rf,alpha_peak__paf_hz__temporal,3
alpha_peak,rf,alpha_peak__alpha_peak_amp_db__temporal,2
alpha_peak,rf,alpha_peak__paf_hz__central,1
alpha_peak,rf,alpha_peak__paf_hz__parietal,1
alpha_peak,svc_rbf,alpha_peak__alpha_peak_amp_db__central,5
alpha_peak,svc_rbf,alpha_peak__alpha_peak_amp_db__parietal,5
alpha_peak,svc_rbf,alpha_peak__alpha_peak_db__central,5
alpha_peak,svc_rbf,alpha_peak__alpha_peak_db__frontal,5
alpha_peak,svc_rbf,alpha_peak__alpha_peak_db__occipital,5
alpha_peak,svc_rbf,alpha_peak__alpha_peak_db__parietal,5
alpha_peak,svc_rbf,alpha_peak__alpha_peak_db__temporal,5
alpha_peak,svc_rbf,alpha_peak__alpha_peak_amp_db__frontal,4
alpha_peak,svc_rbf,alpha_peak__alpha_peak_amp_db__occipital,4
alpha_peak,svc_rbf,alpha_peak__paf_hz__temporal,3
alpha_peak,svc_rbf,alpha_peak__alpha_peak_amp_db__temporal,2
alpha_peak,svc_rbf,alpha_peak__paf_hz__central,1
alpha_peak,svc_rbf,alpha_peak__paf_hz__parietal,1
aper,logreg,aper__aperiodic_exponent__frontal,5
aper,logreg,aper__aperiodic_exponent__parietal,5
aper,logreg,aper__aperiodic_exponent__temporal,5
aper,logreg,aper__aperiodic_intercept_log10__central,5
aper,logreg,aper__aperiodic_intercept_log10__frontal,5
aper,logreg,aper__aperiodic_intercept_log10__parietal,5
aper,logreg,aper__aperiodic_intercept_log10__temporal,5
aper,logreg,aper__aperiodic_slope__frontal,5
aper,logreg,aper__aperiodic_slope__parietal,5
aper,logreg,aper__aperiodic_slope__temporal,4
aper,logreg,aper__aperiodic_intercept_log10__occipital,1
aper,rf,aper__aperiodic_exponent__frontal,5
aper,rf,aper__aperiodic_exponent__parietal,5
aper,rf,aper__aperiodic_exponent__temporal,5
aper,rf,aper__aperiodic_intercept_log10__central,5
aper,rf,aper__aperiodic_intercept_log10__frontal,5
aper,rf,aper__aperiodic_intercept_log10__parietal,5
aper,rf,aper__aperiodic_intercept_log10__temporal,5
aper,rf,aper__aperiodic_slope__frontal,5
aper,rf,aper__aperiodic_slope__parietal,5
aper,rf,aper__aperiodic_slope__temporal,4
aper,rf,aper__aperiodic_intercept_log10__occipital,1
aper,svc_rbf,aper__aperiodic_exponent__frontal,5
aper,svc_rbf,aper__aperiodic_exponent__parietal,5
aper,svc_rbf,aper__aperiodic_exponent__temporal,5
aper,svc_rbf,aper__aperiodic_intercept_log10__central,5
aper,svc_rbf,aper__aperiodic_intercept_log10__frontal,5
aper,svc_rbf,aper__aperiodic_intercept_log10__parietal,5
aper,svc_rbf,aper__aperiodic_intercept_log10__temporal,5
aper,svc_rbf,aper__aperiodic_slope__frontal,5
aper,svc_rbf,aper__aperiodic_slope__parietal,5
aper,svc_rbf,aper__aperiodic_slope__temporal,4
aper,svc_rbf,aper__aperiodic_intercept_log10__occipital,1
burst,logreg,burst__pct_time__central_alpha,5
burst,logreg,burst__pct_time__frontal_alpha,5
burst,logreg,burst__pct_time__occipital_alpha,5
burst,logreg,burst__pct_time__parietal_alpha,5
burst,logreg,burst__rate_per_min__occipital_beta,5
burst,logreg,burst__rate_per_min__parietal_beta,5
burst,logreg,burst__mean_amp__parietal_alpha,4
burst,logreg,burst__pct_time__temporal_alpha,4
burst,logreg,burst__rate_per_min__frontal_beta,4
burst,logreg,burst__rate_per_min__temporal_beta,4
burst,logreg,burst__mean_peak__parietal_alpha,2
burst,logreg,burst__pct_time__occipital_beta,2
burst,rf,burst__pct_time__central_alpha,5
burst,rf,burst__pct_time__frontal_alpha,5
burst,rf,burst__pct_time__occipital_alpha,5
burst,rf,burst__pct_time__parietal_alpha,5
burst,rf,burst__rate_per_min__occipital_beta,5
burst,rf,burst__rate_per_min__parietal_beta,5
burst,rf,burst__mean_amp__parietal_alpha,4
burst,rf,burst__pct_time__temporal_alpha,4
burst,rf,burst__rate_per_min__frontal_beta,4
burst,rf,burst__rate_per_min__temporal_beta,4
burst,rf,burst__mean_peak__parietal_alpha,2
burst,rf,burst__pct_time__occipital_beta,2
burst,svc_rbf,burst__pct_time__central_alpha,5
burst,svc_rbf,burst__pct_time__frontal_alpha,5
burst,svc_rbf,burst__pct_time__occipital_alpha,5
burst,svc_rbf,burst__pct_time__parietal_alpha,5
burst,svc_rbf,burst__rate_per_min__occipital_beta,5
burst,svc_rbf,burst__rate_per_min__parietal_beta,5
burst,svc_rbf,burst__mean_amp__parietal_alpha,4
burst,svc_rbf,burst__pct_time__temporal_alpha,4
burst,svc_rbf,burst__rate_per_min__frontal_beta,4
burst,svc_rbf,burst__rate_per_min__temporal_beta,4
burst,svc_rbf,burst__mean_peak__parietal_alpha,2
burst,svc_rbf,burst__pct_time__occipital_beta,2
conn,logreg,conn__clustering__coh_theta,5
conn,logreg,conn__clustering__pdc_beta,5
conn,logreg,conn__clustering__plv_theta,5
conn,logreg,conn__global_efficiency__pdc_beta,5
conn,logreg,conn__hub_z_max__dtf_delta,5
conn,logreg,conn__hub_z_max__plv_delta,5
conn,logreg,conn__global_efficiency__plv_theta,4
conn,logreg,conn__hub_z_max__coh_delta,4
conn,logreg,conn__hub_z_max__plv_beta,4
conn,logreg,conn__mean_strength__plv_theta,3
conn,logreg,conn__clustering__plv_delta,2
conn,logreg,conn__asymmetry__pdc_beta,1
conn,logreg,conn__clustering__plv_alpha,1
conn,logreg,conn__n_hubs__plv_delta,1
conn,rf,conn__clustering__coh_theta,5
conn,rf,conn__clustering__pdc_beta,5
conn,rf,conn__clustering__plv_theta,5
conn,rf,conn__global_efficiency__pdc_beta,5
conn,rf,conn__hub_z_max__dtf_delta,5
conn,rf,conn__hub_z_max__plv_delta,5
conn,rf,conn__global_efficiency__plv_theta,4
conn,rf,conn__hub_z_max__coh_delta,4
conn,rf,conn__hub_z_max__plv_beta,4
conn,rf,conn__mean_strength__plv_theta,3
conn,rf,conn__clustering__plv_delta,2
conn,rf,conn__asymmetry__pdc_beta,1
conn,rf,conn__clustering__plv_alpha,1
conn,rf,conn__n_hubs__plv_delta,1
conn,svc_rbf,conn__clustering__coh_theta,5
conn,svc_rbf,conn__clustering__pdc_beta,5
conn,svc_rbf,conn__clustering__plv_theta,5
conn,svc_rbf,conn__global_efficiency__pdc_beta,5
conn,svc_rbf,conn__hub_z_max__dtf_delta,5
conn,svc_rbf,conn__hub_z_max__plv_delta,5
conn,svc_rbf,conn__global_efficiency__plv_theta,4
conn,svc_rbf,conn__hub_z_max__coh_delta,4
conn,svc_rbf,conn__hub_z_max__plv_beta,4
conn,svc_rbf,conn__mean_strength__plv_theta,3
conn,svc_rbf,conn__clustering__plv_delta,2
conn,svc_rbf,conn__asymmetry__pdc_beta,1
conn,svc_rbf,conn__clustering__plv_alpha,1
conn,svc_rbf,conn__n_hubs__plv_delta,1
dfa,logreg,dfa__dfa_exp__central_alpha,5
dfa,logreg,dfa__dfa_exp__central_beta,5
dfa,logreg,dfa__dfa_exp__frontal_alpha,5
dfa,logreg,dfa__dfa_exp__frontal_beta,5
dfa,logreg,dfa__dfa_exp__occipital_alpha,5
dfa,logreg,dfa__dfa_exp__occipital_beta,5
dfa,logreg,dfa__dfa_exp__parietal_alpha,5
