model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,roc_auc,0.9648248792270531,0.9269988126180518,0.995965061499251,0.965 [0.927; 0.996]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,pr_auc,0.9819720444793094,0.963064444746377,0.9966791453776577,0.982 [0.963; 0.997]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,accuracy,0.9451219512195121,0.9085365853658537,0.9817073170731707,0.945 [0.909; 0.982]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,balanced_accuracy,0.9465579710144928,0.9087471844750558,0.9806786510590857,0.947 [0.909; 0.981]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,sensitivity,0.9347826086956522,0.8804347826086957,0.9797979797979798,0.935 [0.880; 0.980]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,specificity,0.9583333333333334,0.9076923076923077,1.0,0.958 [0.908; 1.000]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,precision,0.9662921348314607,0.9247311827956989,1.0,0.966 [0.925; 1.000]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,npv,0.92,0.855072463768116,0.975,0.920 [0.855; 0.975]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,f1,0.9502762430939227,0.9142857142857143,0.9820464334488916,0.950 [0.914; 0.982]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,mcc,0.8896974962946004,0.8138360925819085,0.9621373989845088,0.890 [0.814; 0.962]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,roc_auc,0.9399154589371981,0.8984763710533588,0.9740281126655207,0.940 [0.898; 0.974]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,pr_auc,0.9584649270009902,0.9255754479285617,0.9827564322903777,0.958 [0.926; 0.983]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,accuracy,0.8902439024390244,0.8353658536585366,0.9329268292682927,0.890 [0.835; 0.933]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,balanced_accuracy,0.8916062801932367,0.8400400631551126,0.9371947176956369,0.892 [0.840; 0.937]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,sensitivity,0.8804347826086957,0.8111036036036036,0.946236559139785,0.880 [0.811; 0.946]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,specificity,0.9027777777777778,0.8285714285714286,0.9692307692307692,0.903 [0.829; 0.969]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,precision,0.9204545454545454,0.8571428571428571,0.9743670886075949,0.920 [0.857; 0.974]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,npv,0.8552631578947368,0.77106952399763,0.9324324324324325,0.855 [0.771; 0.932]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,f1,0.9,0.8469309502942282,0.9425323962222709,0.900 [0.847; 0.943]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,mcc,0.7794561235741921,0.6772960778987939,0.8681936811298602,0.779 [0.677; 0.868]
logreg,Логистическая регрессия,2,both_features,cv_oof,roc_auc,0.9762983091787439,0.9483695652173914,0.9957812500000001,0.976 [0.948; 0.996]
logreg,Логистическая регрессия,2,both_features,cv_oof,pr_auc,0.9851805501532599,0.969013634989136,0.9967910921466225,0.985 [0.969; 0.997]
logreg,Логистическая регрессия,2,both_features,cv_oof,accuracy,0.926829268292683,0.8841463414634146,0.9634146341463414,0.927 [0.884; 0.963]
logreg,Логистическая регрессия,2,both_features,cv_oof,balanced_accuracy,0.9287439613526569,0.8844918431826845,0.9671985176282051,0.929 [0.884; 0.967]
logreg,Логистическая регрессия,2,both_features,cv_oof,sensitivity,0.9130434782608695,0.8494623655913979,0.967391304347826,0.913 [0.849; 0.967]
logreg,Логистическая регрессия,2,both_features,cv_oof,specificity,0.9444444444444444,0.8840344438170525,0.9871794871794872,0.944 [0.884; 0.987]
logreg,Логистическая регрессия,2,both_features,cv_oof,precision,0.9545454545454546,0.9052631578947369,0.9893617021276596,0.955 [0.905; 0.989]
logreg,Логистическая регрессия,2,both_features,cv_oof,npv,0.8947368421052632,0.8181818181818182,0.9605263157894737,0.895 [0.818; 0.961]
logreg,Логистическая регрессия,2,both_features,cv_oof,f1,0.9333333333333333,0.8913015318765487,0.9693877551020408,0.933 [0.891; 0.969]
logreg,Логистическая регрессия,2,both_features,cv_oof,mcc,0.8533752470897092,0.7643261927183838,0.9285991508047688,0.853 [0.764; 0.929]
