model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,roc_auc,0.9648248792270531,0.9269988126180518,0.995965061499251,0.965 [0.927; 0.996]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,pr_auc,0.9819720444793094,0.963064444746377,0.9966791453776577,0.982 [0.963; 0.997]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,accuracy,0.9451219512195121,0.9085365853658537,0.9817073170731707,0.945 [0.909; 0.982]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,balanced_accuracy,0.9465579710144928,0.9087471844750558,0.9806786510590857,0.947 [0.909; 0.981]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,sensitivity,0.9347826086956522,0.8804347826086957,0.9797979797979798,0.935 [0.880; 0.980]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,specificity,0.9583333333333334,0.9076923076923077,1.0,0.958 [0.908; 1.000]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,precision,0.9662921348314607,0.9247311827956989,1.0,0.966 [0.925; 1.000]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,npv,0.92,0.855072463768116,0.975,0.920 [0.855; 0.975]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,f1,0.9502762430939227,0.9142857142857143,0.9820464334488916,0.950 [0.914; 0.982]
logreg,Логистическая регрессия,1,z_peak_only,cv_oof,mcc,0.8896974962946004,0.8138360925819085,0.9621373989845088,0.890 [0.814; 0.962]
rf,Случайный лес,1,z_peak_only,cv_oof,roc_auc,0.9845259661835749,0.9695423425780568,0.9960502913162489,0.985 [0.970; 0.996]
rf,Случайный лес,1,z_peak_only,cv_oof,pr_auc,0.987916378433112,0.9754896848838837,0.9970056142633343,0.988 [0.975; 0.997]
rf,Случайный лес,1,z_peak_only,cv_oof,accuracy,0.9451219512195121,0.9085365853658537,0.975609756097561,0.945 [0.909; 0.976]
rf,Случайный лес,1,z_peak_only,cv_oof,balanced_accuracy,0.9450483091787439,0.9072939211312947,0.9788805751173709,0.945 [0.907; 0.979]
rf,Случайный лес,1,z_peak_only,cv_oof,sensitivity,0.9456521739130435,0.8953335373317014,0.9887640449438202,0.946 [0.895; 0.989]
rf,Случайный лес,1,z_peak_only,cv_oof,specificity,0.9444444444444444,0.8888888888888888,0.9873457278481013,0.944 [0.889; 0.987]
rf,Случайный лес,1,z_peak_only,cv_oof,precision,0.9560439560439561,0.9110861423220974,0.9900024752475247,0.956 [0.911; 0.990]
rf,Случайный лес,1,z_peak_only,cv_oof,npv,0.9315068493150684,0.8701298701298701,0.9857142857142858,0.932 [0.870; 0.986]
rf,Случайный лес,1,z_peak_only,cv_oof,f1,0.9508196721311475,0.9154186693650392,0.9805871919342793,0.951 [0.915; 0.981]
rf,Случайный лес,1,z_peak_only,cv_oof,mcc,0.8888228003772927,0.8127873324657651,0.9523532664857335,0.889 [0.813; 0.952]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,roc_auc,0.9818840579710145,0.9623228289430505,0.9973132715966119,0.982 [0.962; 0.997]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,pr_auc,0.9870354409145076,0.9718784497583698,0.997854927847988,0.987 [0.972; 0.998]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,accuracy,0.9451219512195121,0.9085365853658537,0.9757621951219504,0.945 [0.909; 0.976]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,balanced_accuracy,0.9450483091787439,0.9071700991609458,0.979171875,0.945 [0.907; 0.979]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,sensitivity,0.9456521739130435,0.8935980243161094,0.9891304347826086,0.946 [0.894; 0.989]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,specificity,0.9444444444444444,0.8888888888888888,0.9873457278481013,0.944 [0.889; 0.987]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,precision,0.9560439560439561,0.9100868232890705,0.9900024752475247,0.956 [0.910; 0.990]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,npv,0.9315068493150684,0.868421052631579,0.9857142857142858,0.932 [0.868; 0.986]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,f1,0.9508196721311475,0.9139767143772698,0.9805962630518409,0.951 [0.914; 0.981]
svc_rbf,SVM с RBF-ядром,1,z_peak_only,cv_oof,mcc,0.8888228003772927,0.8125881207742228,0.9525346596668641,0.889 [0.813; 0.953]
logreg,Логистическая регрессия,1,propagation_only,cv_oof,roc_auc,0.9399154589371981,0.8984763710533588,0.9740281126655207,0.940 [0.898; 0.974]
