fold,model,n_selected,n_train_total,n_test_total,n_train_control,n_train_tbi,n_test_control,n_test_tbi
1,logreg,2,131,33,57,74,15,18
2,logreg,2,131,33,57,74,15,18
3,logreg,2,131,33,58,73,14,19
4,logreg,2,131,33,58,73,14,19
5,logreg,2,132,32,58,74,14,18
1,rf,2,131,33,57,74,15,18
2,rf,2,131,33,57,74,15,18
3,rf,2,131,33,58,73,14,19
4,rf,2,131,33,58,73,14,19
5,rf,2,132,32,58,74,14,18
1,svc_rbf,2,131,33,57,74,15,18
2,svc_rbf,2,131,33,57,74,15,18
3,svc_rbf,2,131,33,58,73,14,19
4,svc_rbf,2,131,33,58,73,14,19
5,svc_rbf,2,132,32,58,74,14,18
