model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,roc_auc,0.9919987922705313,0.9736602239788321,1.0,0.992 [0.974; 1.000]
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,pr_auc,0.9960269865067467,0.9865322868300166,1.0000000000000002,0.996 [0.987; 1.000]
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,accuracy,0.9939024390243902,0.9817073170731707,1.0,0.994 [0.982; 1.000]
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,balanced_accuracy,0.9945652173913043,0.9827586206896552,1.0,0.995 [0.983; 1.000]
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,sensitivity,0.9891304347826086,0.9655172413793104,1.0,0.989 [0.966; 1.000]
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,specificity,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,precision,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,npv,0.9863013698630136,0.9565217391304348,1.0,0.986 [0.957; 1.000]
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,f1,0.994535519125683,0.9824561403508771,1.0,0.995 [0.982; 1.000]
logreg,Логистическая регрессия,3,event_compact_plus_n_records_control_covariate,cv_oof,mcc,0.987714889428769,0.9629332590589817,1.0,0.988 [0.963; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,roc_auc,0.9996980676328502,0.9986211697302979,1.0,1.000 [0.999; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,pr_auc,0.9997687326549491,0.9988794262662484,1.0,1.000 [0.999; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,accuracy,0.9817073170731707,0.9573170731707317,1.0,0.982 [0.957; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,balanced_accuracy,0.9806763285024154,0.9564879564879565,1.0,0.981 [0.956; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,sensitivity,0.9891304347826086,0.9655172413793104,1.0,0.989 [0.966; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,specificity,0.9722222222222222,0.9285714285714286,1.0,0.972 [0.929; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,precision,0.978494623655914,0.945637243191591,1.0,0.978 [0.946; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,npv,0.9859154929577465,0.9552238805970149,1.0,0.986 [0.955; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,f1,0.9837837837837838,0.9629629629629629,1.0,0.984 [0.963; 1.000]
rf,Случайный лес,3,event_compact_plus_n_records_control_covariate,cv_oof,mcc,0.9628801732556763,0.9145627906480652,1.0,0.963 [0.915; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,roc_auc,0.9998490338164252,0.9991043439319302,1.0,1.000 [0.999; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,pr_auc,0.9998831229546519,0.9993349276481355,1.0000000000000002,1.000 [0.999; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,accuracy,0.9939024390243902,0.9817073170731707,1.0,0.994 [0.982; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,balanced_accuracy,0.9930555555555556,0.9776119402985075,1.0,0.993 [0.978; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,sensitivity,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,specificity,0.9861111111111112,0.9552238805970149,1.0,0.986 [0.955; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,precision,0.989247311827957,0.9659090909090909,1.0,0.989 [0.966; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,npv,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,f1,0.9945945945945946,0.9826589595375722,1.0,0.995 [0.983; 1.000]
svc_rbf,SVM с RBF-ядром,3,event_compact_plus_n_records_control_covariate,cv_oof,mcc,0.9876779666623866,0.9625835881517535,1.0,0.988 [0.963; 1.000]
