model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,roc_auc,0.9865598345825795,0.96641168261563,0.9997415352804342,0.987 [0.966; 1.000]
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,pr_auc,0.9914066087767601,0.9787339731360176,0.9998045158316718,0.991 [0.979; 1.000]
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,accuracy,0.9523809523809523,0.9126984126984127,0.9841269841269841,0.952 [0.913; 0.984]
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,balanced_accuracy,0.9537348151977255,0.9142622791060291,0.9863013698630136,0.954 [0.914; 0.986]
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,sensitivity,0.9452054794520548,0.8840344438170525,0.9875,0.945 [0.884; 0.988]
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,specificity,0.9622641509433962,0.9,1.0,0.962 [0.900; 1.000]
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,precision,0.971830985915493,0.9259259259259259,1.0,0.972 [0.926; 1.000]
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,npv,0.9272727272727272,0.8518518518518519,0.9836065573770492,0.927 [0.852; 0.984]
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,f1,0.9583333333333334,0.921983045212766,0.9871794871794872,0.958 [0.922; 0.987]
logreg,Логистическая регрессия,2,event_compact_matched_records_2_4,cv_oof,mcc,0.9032769864742994,0.8230047070091903,0.9685549789436587,0.903 [0.823; 0.969]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,roc_auc,0.9870767640217111,0.9626202185285067,1.0,0.987 [0.963; 1.000]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,pr_auc,0.9879630721855426,0.9632242679428713,1.0,0.988 [0.963; 1.000]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,accuracy,0.9682539682539683,0.9365079365079365,0.9920634920634921,0.968 [0.937; 0.992]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,balanced_accuracy,0.9674334453347118,0.9321113449543822,0.9936708860759493,0.967 [0.932; 0.994]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,sensitivity,0.9726027397260274,0.9264705882352942,1.0,0.973 [0.926; 1.000]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,specificity,0.9622641509433962,0.9074074074074074,1.0,0.962 [0.907; 1.000]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,precision,0.9726027397260274,0.9305555555555556,1.0,0.973 [0.931; 1.000]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,npv,0.9622641509433962,0.9019607843137255,1.0,0.962 [0.902; 1.000]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,f1,0.9726027397260274,0.9419165085388994,0.9937907251457532,0.973 [0.942; 0.994]
rf,Случайный лес,2,event_compact_matched_records_2_4,cv_oof,mcc,0.9348668906694236,0.8682028615035684,0.9842431058001557,0.935 [0.868; 0.984]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,roc_auc,0.9767381752390798,0.9426196929324056,0.9997415352804342,0.977 [0.943; 1.000]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,pr_auc,0.9833202858856507,0.9569087735698139,0.9998045158316718,0.983 [0.957; 1.000]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,accuracy,0.9444444444444444,0.8968253968253969,0.9841269841269841,0.944 [0.897; 0.984]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,balanced_accuracy,0.9443008529335746,0.9002713477008294,0.9837167226673559,0.944 [0.900; 0.984]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,sensitivity,0.9452054794520548,0.8840344438170525,0.9875,0.945 [0.884; 0.988]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,specificity,0.9433962264150944,0.8703703703703703,1.0,0.943 [0.870; 1.000]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,precision,0.9583333333333334,0.9054054054054054,1.0,0.958 [0.905; 1.000]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,npv,0.9259259259259259,0.8478168754605748,0.9833333333333333,0.926 [0.848; 0.983]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,f1,0.9517241379310345,0.9104477611940298,0.9857193158953722,0.952 [0.910; 0.986]
svc_rbf,SVM с RBF-ядром,2,event_compact_matched_records_2_4,cv_oof,mcc,0.8864278234614477,0.7964517704890756,0.9674334453347118,0.886 [0.796; 0.967]
