model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,roc_auc,0.9834474885844748,0.961662372381623,0.998461729812476,0.983 [0.962; 0.998]
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,pr_auc,0.986125678369551,0.9676812349316507,0.9984745061470794,0.986 [0.968; 0.998]
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,accuracy,0.9517241379310345,0.9172413793103448,0.9862068965517241,0.952 [0.917; 0.986]
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,balanced_accuracy,0.951769406392694,0.9161872612681436,0.9860146604938271,0.952 [0.916; 0.986]
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,sensitivity,0.9452054794520548,0.8875,0.988515325670498,0.945 [0.887; 0.989]
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,specificity,0.9583333333333334,0.9076923076923077,1.0,0.958 [0.908; 1.000]
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,precision,0.9583333333333334,0.9102564102564102,1.0,0.958 [0.910; 1.000]
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,npv,0.9452054794520548,0.8873239436619719,0.9882352941176471,0.945 [0.887; 0.988]
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,f1,0.9517241379310345,0.9117647058823529,0.9848541383989144,0.952 [0.912; 0.985]
logreg,Логистическая регрессия,2,event_compact_no_single_record_subjects,cv_oof,mcc,0.9035388127853882,0.8334869258102446,0.9721172564250096,0.904 [0.833; 0.972]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,roc_auc,0.9868721461187214,0.9710682819990842,0.9984618029029794,0.987 [0.971; 0.998]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,pr_auc,0.9860038992864995,0.9681909951676949,0.9987496354003543,0.986 [0.968; 0.999]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,accuracy,0.9586206896551724,0.9241379310344827,0.9862068965517241,0.959 [0.924; 0.986]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,balanced_accuracy,0.958523592085236,0.9241764075598847,0.987012987012987,0.959 [0.924; 0.987]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,sensitivity,0.9726027397260274,0.9305555555555556,1.0,0.973 [0.931; 1.000]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,specificity,0.9444444444444444,0.8873239436619719,0.9875,0.944 [0.887; 0.988]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,precision,0.9466666666666667,0.8922972972972973,0.9882352941176471,0.947 [0.892; 0.988]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,npv,0.9714285714285714,0.9285714285714286,1.0,0.971 [0.929; 1.000]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,f1,0.9594594594594594,0.9242424242424242,0.9873457278481013,0.959 [0.924; 0.987]
rf,Случайный лес,2,event_compact_no_single_record_subjects,cv_oof,mcc,0.91757106149636,0.8490609337692899,0.9727271745481458,0.918 [0.849; 0.973]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,roc_auc,0.9701293759512938,0.9357321004224608,0.9977200773984077,0.970 [0.936; 0.998]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,pr_auc,0.9669849085255208,0.9234003861417452,0.9976979464112055,0.967 [0.923; 0.998]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,accuracy,0.9517241379310345,0.9172413793103448,0.9862068965517241,0.952 [0.917; 0.986]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,balanced_accuracy,0.951769406392694,0.9161872612681436,0.9860146604938271,0.952 [0.916; 0.986]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,sensitivity,0.9452054794520548,0.8875,0.988515325670498,0.945 [0.887; 0.989]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,specificity,0.9583333333333334,0.9076923076923077,1.0,0.958 [0.908; 1.000]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,precision,0.9583333333333334,0.9102564102564102,1.0,0.958 [0.910; 1.000]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,npv,0.9452054794520548,0.8873239436619719,0.9882352941176471,0.945 [0.887; 0.988]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,f1,0.9517241379310345,0.9117647058823529,0.9848541383989144,0.952 [0.912; 0.985]
svc_rbf,SVM с RBF-ядром,2,event_compact_no_single_record_subjects,cv_oof,mcc,0.9035388127853882,0.8334869258102446,0.9721172564250096,0.904 [0.833; 0.972]
