model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,roc_auc,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,pr_auc,1.0,0.9999999999999999,1.0000000000000002,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,accuracy,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,balanced_accuracy,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,sensitivity,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,specificity,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,precision,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,npv,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,f1,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,1,negative_control_n_records_only,cv_oof,mcc,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,roc_auc,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,pr_auc,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,accuracy,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,balanced_accuracy,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,sensitivity,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,specificity,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,precision,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,npv,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,f1,1.0,1.0,1.0,1.000 [1.000; 1.000]
rf,Случайный лес,1,negative_control_n_records_only,cv_oof,mcc,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,roc_auc,1.0,0.9999999999999999,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,pr_auc,0.9999999999999999,0.9999999999999999,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,accuracy,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,balanced_accuracy,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,sensitivity,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,specificity,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,precision,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,npv,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,f1,1.0,1.0,1.0,1.000 [1.000; 1.000]
svc_rbf,SVM с RBF-ядром,1,negative_control_n_records_only,cv_oof,mcc,1.0,1.0,1.0,1.000 [1.000; 1.000]
