model,model_ru,n_features,feature_set,validation,metric,value,ci_low,ci_high,value_ci
logreg,Логистическая регрессия,302,all_clean_features,cv_oof,roc_auc,0.9873188405797102,0.966608311483612,0.9988014981273408,0.987 [0.967; 0.999]
logreg,Логистическая регрессия,302,all_clean_features,cv_oof,balanced_accuracy,0.938707729468599,0.9015660083690549,0.9725349378881987,0.939 [0.902; 0.973]
logreg,Логистическая регрессия,302,all_clean_features,cv_oof,sensitivity,0.8913043478260869,0.8247422680412371,0.9545454545454546,0.891 [0.825; 0.955]
logreg,Логистическая регрессия,302,all_clean_features,cv_oof,specificity,0.9861111111111112,0.9545454545454546,1.0,0.986 [0.955; 1.000]
logreg,Логистическая регрессия,302,all_clean_features,cv_oof,f1,0.9371428571428572,0.8972786579683132,0.9726775956284153,0.937 [0.897; 0.973]
logreg,Логистическая регрессия,302,all_clean_features,cv_oof,mcc,0.8709312786796137,0.7969165399062363,0.9407247934724869,0.871 [0.797; 0.941]
logreg,Логистическая регрессия,302,all_clean_features,holdout,roc_auc,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,302,all_clean_features,holdout,balanced_accuracy,0.9473684210526316,0.868421052631579,1.0,0.947 [0.868; 1.000]
logreg,Логистическая регрессия,302,all_clean_features,holdout,sensitivity,0.8947368421052632,0.7368421052631579,1.0,0.895 [0.737; 1.000]
logreg,Логистическая регрессия,302,all_clean_features,holdout,specificity,1.0,1.0,1.0,1.000 [1.000; 1.000]
logreg,Логистическая регрессия,302,all_clean_features,holdout,f1,0.9444444444444444,0.8484848484848485,1.0,0.944 [0.848; 1.000]
logreg,Логистическая регрессия,302,all_clean_features,holdout,mcc,0.8848133909712856,0.7288689868556626,1.0,0.885 [0.729; 1.000]
rf,Случайный лес,302,all_clean_features,cv_oof,roc_auc,0.9969806763285024,0.9902602979292189,1.0,0.997 [0.990; 1.000]
rf,Случайный лес,302,all_clean_features,cv_oof,balanced_accuracy,0.9752415458937198,0.9487425497013987,0.994899247577819,0.975 [0.949; 0.995]
rf,Случайный лес,302,all_clean_features,cv_oof,sensitivity,0.9782608695652174,0.9438202247191011,1.0,0.978 [0.944; 1.000]
rf,Случайный лес,302,all_clean_features,cv_oof,specificity,0.9722222222222222,0.9285714285714286,1.0,0.972 [0.929; 1.000]
rf,Случайный лес,302,all_clean_features,cv_oof,f1,0.9782608695652174,0.9545396862021228,0.9950738916256158,0.978 [0.955; 0.995]
rf,Случайный лес,302,all_clean_features,cv_oof,mcc,0.9504830917874396,0.8997894102860907,0.9878567982612979,0.950 [0.900; 0.988]
rf,Случайный лес,302,all_clean_features,holdout,roc_auc,0.9924812030075189,0.9653804347826087,1.0,0.992 [0.965; 1.000]
rf,Случайный лес,302,all_clean_features,holdout,balanced_accuracy,0.9022556390977443,0.7857142857142857,1.0,0.902 [0.786; 1.000]
rf,Случайный лес,302,all_clean_features,holdout,sensitivity,0.9473684210526315,0.8235294117647058,1.0,0.947 [0.824; 1.000]
rf,Случайный лес,302,all_clean_features,holdout,specificity,0.8571428571428571,0.6428571428571429,1.0,0.857 [0.643; 1.000]
rf,Случайный лес,302,all_clean_features,holdout,f1,0.9230769230769231,0.8181818181818182,1.0,0.923 [0.818; 1.000]
rf,Случайный лес,302,all_clean_features,holdout,mcc,0.8137411550596574,0.5872835735066526,1.0,0.814 [0.587; 1.000]
svc_rbf,SVM с RBF-ядром,302,all_clean_features,cv_oof,roc_auc,0.987469806763285,0.9717391186562748,0.9971155630016658,0.987 [0.972; 0.997]
svc_rbf,SVM с RBF-ядром,302,all_clean_features,cv_oof,balanced_accuracy,0.9435386473429952,0.9010209429830159,0.9763806225483856,0.944 [0.901; 0.976]
svc_rbf,SVM с RBF-ядром,302,all_clean_features,cv_oof,sensitivity,0.9565217391304348,0.9111111111111111,0.9896907216494846,0.957 [0.911; 0.990]
svc_rbf,SVM с RBF-ядром,302,all_clean_features,cv_oof,specificity,0.9305555555555556,0.8624652777777778,0.9852994458653027,0.931 [0.862; 0.985]
svc_rbf,SVM с RBF-ядром,302,all_clean_features,cv_oof,f1,0.9513513513513514,0.913968538430904,0.9795918367346939,0.951 [0.914; 0.980]
svc_rbf,SVM с RBF-ядром,302,all_clean_features,cv_oof,mcc,0.8884867930355456,0.8044201261467799,0.951394742691818,0.888 [0.804; 0.951]
