validation,model,model_ru,feature_set,n_features,balanced_accuracy,f1,mcc,roc_auc,sensitivity,specificity
cv_oof,logreg,Логистическая регрессия,all_clean_features,302,0.939 [0.902; 0.973],0.937 [0.897; 0.973],0.871 [0.797; 0.941],0.987 [0.967; 0.999],0.891 [0.825; 0.955],0.986 [0.955; 1.000]
cv_oof,logreg,Логистическая регрессия,event_compact,2,0.929 [0.884; 0.967],0.933 [0.891; 0.969],0.853 [0.764; 0.929],0.976 [0.948; 0.996],0.913 [0.849; 0.967],0.944 [0.884; 0.987]
cv_oof,logreg,Логистическая регрессия,spectral_baseline,61,0.765 [0.696; 0.829],0.777 [0.699; 0.837],0.527 [0.389; 0.654],0.831 [0.766; 0.888],0.739 [0.645; 0.823],0.792 [0.697; 0.881]
cv_oof,rf,Случайный лес,all_clean_features,302,0.975 [0.949; 0.995],0.978 [0.955; 0.995],0.950 [0.900; 0.988],0.997 [0.990; 1.000],0.978 [0.944; 1.000],0.972 [0.929; 1.000]
cv_oof,rf,Случайный лес,event_compact,2,0.945 [0.907; 0.979],0.951 [0.915; 0.981],0.889 [0.813; 0.952],0.982 [0.964; 0.996],0.946 [0.895; 0.989],0.944 [0.889; 0.987]
cv_oof,rf,Случайный лес,spectral_baseline,61,0.750 [0.686; 0.817],0.771 [0.699; 0.836],0.497 [0.371; 0.631],0.812 [0.747; 0.877],0.750 [0.667; 0.837],0.750 [0.650; 0.848]
cv_oof,svc_rbf,SVM с RBF-ядром,all_clean_features,302,0.944 [0.901; 0.976],0.951 [0.914; 0.980],0.888 [0.804; 0.951],0.987 [0.972; 0.997],0.957 [0.911; 0.990],0.931 [0.862; 0.985]
cv_oof,svc_rbf,SVM с RBF-ядром,event_compact,2,0.945 [0.906; 0.981],0.951 [0.914; 0.982],0.889 [0.811; 0.962],0.977 [0.950; 0.997],0.946 [0.894; 0.989],0.944 [0.884; 0.987]
cv_oof,svc_rbf,SVM с RBF-ядром,spectral_baseline,61,0.700 [0.626; 0.768],0.745 [0.670; 0.810],0.403 [0.253; 0.540],0.793 [0.719; 0.860],0.761 [0.674; 0.846],0.639 [0.521; 0.753]
holdout,logreg,Логистическая регрессия,all_clean_features,302,0.947 [0.868; 1.000],0.944 [0.848; 1.000],0.885 [0.729; 1.000],1.000 [1.000; 1.000],0.895 [0.737; 1.000],1.000 [1.000; 1.000]
holdout,logreg,Логистическая регрессия,event_compact,2,0.823 [0.681; 0.944],0.833 [0.681; 0.947],0.639 [0.359; 0.881],0.861 [0.710; 0.974],0.789 [0.583; 0.950],0.857 [0.643; 1.000]
holdout,logreg,Логистическая регрессия,spectral_baseline,61,0.840 [0.705; 0.962],0.872 [0.743; 0.971],0.688 [0.422; 0.935],0.883 [0.744; 0.989],0.895 [0.737; 1.000],0.786 [0.538; 1.000]
holdout,rf,Случайный лес,all_clean_features,302,0.902 [0.786; 1.000],0.923 [0.818; 1.000],0.814 [0.587; 1.000],0.992 [0.965; 1.000],0.947 [0.824; 1.000],0.857 [0.643; 1.000]
holdout,rf,Случайный лес,event_compact,2,0.850 [0.716; 0.969],0.865 [0.727; 0.971],0.694 [0.426; 0.938],0.915 [0.800; 1.000],0.842 [0.650; 1.000],0.857 [0.643; 1.000]
holdout,rf,Случайный лес,spectral_baseline,61,0.797 [0.646; 0.925],0.800 [0.632; 0.927],0.587 [0.286; 0.831],0.872 [0.738; 0.968],0.737 [0.529; 0.917],0.857 [0.666; 1.000]
holdout,svc_rbf,SVM с RBF-ядром,all_clean_features,302,0.938 [0.841; 1.000],0.947 [0.857; 1.000],0.876 [0.694; 1.000],0.992 [0.966; 1.000],0.947 [0.818; 1.000],0.929 [0.769; 1.000]
holdout,svc_rbf,SVM с RBF-ядром,event_compact,2,0.850 [0.719; 0.962],0.865 [0.727; 0.968],0.694 [0.434; 0.935],0.872 [0.722; 0.985],0.842 [0.667; 1.000],0.857 [0.643; 1.000]
holdout,svc_rbf,SVM с RBF-ядром,spectral_baseline,61,0.716 [0.545; 0.864],0.769 [0.595; 0.898],0.437 [0.092; 0.722],0.805 [0.632; 0.938],0.789 [0.579; 0.950],0.643 [0.364; 0.909]
