source_table,validation,model,model_ru,feature_set,n_features,accuracy,balanced_accuracy,f1,mcc,pr_auc,roc_auc,sensitivity,specificity
ablation_metrics_long_df,cv_oof,logreg,Логистическая регрессия,both_features,2.0,0.927 [0.884; 0.963],0.929 [0.884; 0.967],0.933 [0.891; 0.969],0.853 [0.764; 0.929],0.985 [0.969; 0.997],0.976 [0.948; 0.996],0.913 [0.849; 0.967],0.944 [0.884; 0.987]
ablation_metrics_long_df,cv_oof,logreg,Логистическая регрессия,propagation_only,1.0,0.890 [0.835; 0.933],0.892 [0.840; 0.937],0.900 [0.847; 0.943],0.779 [0.677; 0.868],0.958 [0.926; 0.983],0.940 [0.898; 0.974],0.880 [0.811; 0.946],0.903 [0.829; 0.969]
ablation_metrics_long_df,cv_oof,logreg,Логистическая регрессия,z_peak_only,1.0,0.945 [0.909; 0.982],0.947 [0.909; 0.981],0.950 [0.914; 0.982],0.890 [0.814; 0.962],0.982 [0.963; 0.997],0.965 [0.927; 0.996],0.935 [0.880; 0.980],0.958 [0.908; 1.000]
ablation_metrics_long_df,cv_oof,rf,Случайный лес,both_features,2.0,0.945 [0.909; 0.976],0.945 [0.907; 0.979],0.951 [0.915; 0.981],0.889 [0.813; 0.952],0.986 [0.971; 0.997],0.982 [0.964; 0.996],0.946 [0.895; 0.989],0.944 [0.889; 0.987]
ablation_metrics_long_df,cv_oof,rf,Случайный лес,propagation_only,1.0,0.872 [0.817; 0.921],0.871 [0.816; 0.921],0.885 [0.834; 0.931],0.740 [0.631; 0.841],0.932 [0.877; 0.974],0.923 [0.875; 0.964],0.880 [0.810; 0.946],0.861 [0.776; 0.938]
ablation_metrics_long_df,cv_oof,rf,Случайный лес,z_peak_only,1.0,0.945 [0.909; 0.976],0.945 [0.907; 0.979],0.951 [0.915; 0.981],0.889 [0.813; 0.952],0.988 [0.975; 0.997],0.985 [0.970; 0.996],0.946 [0.895; 0.989],0.944 [0.889; 0.987]
ablation_metrics_long_df,cv_oof,svc_rbf,SVM с RBF-ядром,both_features,2.0,0.945 [0.909; 0.982],0.945 [0.906; 0.981],0.951 [0.914; 0.982],0.889 [0.811; 0.962],0.977 [0.943; 0.998],0.977 [0.950; 0.997],0.946 [0.894; 0.989],0.944 [0.884; 0.987]
ablation_metrics_long_df,cv_oof,svc_rbf,SVM с RBF-ядром,propagation_only,1.0,0.890 [0.835; 0.933],0.892 [0.840; 0.937],0.900 [0.847; 0.943],0.779 [0.677; 0.868],0.918 [0.842; 0.978],0.927 [0.876; 0.968],0.880 [0.811; 0.946],0.903 [0.829; 0.969]
ablation_metrics_long_df,cv_oof,svc_rbf,SVM с RBF-ядром,z_peak_only,1.0,0.945 [0.909; 0.976],0.945 [0.907; 0.979],0.951 [0.914; 0.981],0.889 [0.813; 0.953],0.987 [0.972; 0.998],0.982 [0.962; 0.997],0.946 [0.894; 0.989],0.944 [0.889; 0.987]
adjusted_covariate_metrics_df,cv_oof,logreg,Логистическая регрессия,event_compact_plus_n_records_control_covariate,3.0,0.994 [0.982; 1.000],0.995 [0.983; 1.000],0.995 [0.982; 1.000],0.988 [0.963; 1.000],0.996 [0.987; 1.000],0.992 [0.974; 1.000],0.989 [0.966; 1.000],1.000 [1.000; 1.000]
adjusted_covariate_metrics_df,cv_oof,rf,Случайный лес,event_compact_plus_n_records_control_covariate,3.0,0.982 [0.957; 1.000],0.981 [0.956; 1.000],0.984 [0.963; 1.000],0.963 [0.915; 1.000],1.000 [0.999; 1.000],1.000 [0.999; 1.000],0.989 [0.966; 1.000],0.972 [0.929; 1.000]
adjusted_covariate_metrics_df,cv_oof,svc_rbf,SVM с RBF-ядром,event_compact_plus_n_records_control_covariate,3.0,0.994 [0.982; 1.000],0.993 [0.978; 1.000],0.995 [0.983; 1.000],0.988 [0.963; 1.000],1.000 [0.999; 1.000],1.000 [0.999; 1.000],1.000 [1.000; 1.000],0.986 [0.955; 1.000]
algorithm_metrics_long_df,cv_oof,logreg,Логистическая регрессия,event,14.0,0.927 [0.878; 0.963],0.930 [0.886; 0.966],0.933 [0.888; 0.968],0.855 [0.768; 0.928],0.978 [0.958; 0.993],0.964 [0.929; 0.990],0.902 [0.833; 0.958],0.958 [0.908; 1.000]
algorithm_metrics_long_df,cv_oof,rf,Случайный лес,event,14.0,0.939 [0.896; 0.976],0.940 [0.899; 0.976],0.945 [0.907; 0.978],0.877 [0.794; 0.951],0.985 [0.967; 0.997],0.980 [0.960; 0.995],0.935 [0.880; 0.980],0.944 [0.889; 0.987]
algorithm_metrics_long_df,cv_oof,svc_rbf,SVM с RBF-ядром,event,14.0,0.945 [0.902; 0.976],0.945 [0.904; 0.977],0.951 [0.912; 0.980],0.889 [0.804; 0.952],0.986 [0.970; 0.996],0.982 [0.964; 0.995],0.946 [0.892; 0.989],0.944 [0.884; 0.988]
algorithm_metrics_long_df,holdout,logreg,Логистическая регрессия,event,14.0,0.818 [0.667; 0.939],0.823 [0.681; 0.944],0.833 [0.681; 0.947],0.639 [0.359; 0.881],0.934 [0.838; 0.990],0.883 [0.736; 0.985],0.789 [0.583; 0.950],0.857 [0.643; 1.000]
algorithm_metrics_long_df,holdout,rf,Случайный лес,event,14.0,0.848 [0.727; 0.970],0.850 [0.716; 0.969],0.865 [0.727; 0.970],0.694 [0.422; 0.938],0.924 [0.801; 1.000],0.902 [0.767; 1.000],0.842 [0.650; 1.000],0.857 [0.643; 1.000]
algorithm_metrics_long_df,holdout,svc_rbf,SVM с RBF-ядром,event,14.0,0.848 [0.727; 0.970],0.840 [0.699; 0.962],0.872 [0.733; 0.971],0.688 [0.410; 0.935],0.949 [0.864; 0.996],0.929 [0.827; 0.993],0.895 [0.737; 1.000],0.786 [0.538; 1.000]
baseline_metrics_df,cv_oof,logreg,Логистическая регрессия,spectral_baseline,61.0,0.762 [0.695; 0.823],0.765 [0.696; 0.829],0.777 [0.699; 0.837],0.527 [0.389; 0.654],0.882 [0.823; 0.927],0.831 [0.766; 0.888],0.739 [0.645; 0.823],0.792 [0.697; 0.881]
baseline_metrics_df,cv_oof,rf,Случайный лес,spectral_baseline,61.0,0.750 [0.689; 0.817],0.750 [0.686; 0.817],0.771 [0.699; 0.836],0.497 [0.371; 0.631],0.856 [0.786; 0.916],0.812 [0.747; 0.877],0.750 [0.667; 0.837],0.750 [0.650; 0.848]
baseline_metrics_df,cv_oof,svc_rbf,SVM с RBF-ядром,spectral_baseline,61.0,0.707 [0.634; 0.774],0.700 [0.626; 0.768],0.745 [0.670; 0.810],0.403 [0.253; 0.540],0.845 [0.769; 0.907],0.793 [0.719; 0.860],0.761 [0.674; 0.846],0.639 [0.521; 0.753]
baseline_metrics_df,holdout,logreg,Логистическая регрессия,spectral_baseline,61.0,0.848 [0.727; 0.970],0.840 [0.705; 0.962],0.872 [0.743; 0.971],0.688 [0.422; 0.935],0.919 [0.794; 0.993],0.883 [0.744; 0.989],0.895 [0.737; 1.000],0.786 [0.538; 1.000]
baseline_metrics_df,holdout,rf,Случайный лес,spectral_baseline,61.0,0.788 [0.636; 0.909],0.797 [0.646; 0.925],0.800 [0.632; 0.927],0.587 [0.286; 0.831],0.921 [0.823; 0.984],0.872 [0.738; 0.968],0.737 [0.529; 0.917],0.857 [0.666; 1.000]
baseline_metrics_df,holdout,svc_rbf,SVM с RBF-ядром,spectral_baseline,61.0,0.727 [0.576; 0.879],0.716 [0.545; 0.864],0.769 [0.595; 0.898],0.437 [0.092; 0.722],0.881 [0.750; 0.966],0.805 [0.632; 0.938],0.789 [0.579; 0.950],0.643 [0.364; 0.909]
baseline_vs_event_metrics_df,cv_oof,logreg,Логистическая регрессия,event_compact,2.0,0.927 [0.884; 0.963],0.929 [0.884; 0.967],0.933 [0.891; 0.969],0.853 [0.764; 0.929],0.985 [0.969; 0.997],0.976 [0.948; 0.996],0.913 [0.849; 0.967],0.944 [0.884; 0.987]
baseline_vs_event_metrics_df,cv_oof,logreg,Логистическая регрессия,spectral_baseline,61.0,0.762 [0.695; 0.823],0.765 [0.696; 0.829],0.777 [0.699; 0.837],0.527 [0.389; 0.654],0.882 [0.823; 0.927],0.831 [0.766; 0.888],0.739 [0.645; 0.823],0.792 [0.697; 0.881]
baseline_vs_event_metrics_df,cv_oof,rf,Случайный лес,event_compact,2.0,0.945 [0.909; 0.976],0.945 [0.907; 0.979],0.951 [0.915; 0.981],0.889 [0.813; 0.952],0.986 [0.971; 0.997],0.982 [0.964; 0.996],0.946 [0.895; 0.989],0.944 [0.889; 0.987]
baseline_vs_event_metrics_df,cv_oof,rf,Случайный лес,spectral_baseline,61.0,0.750 [0.689; 0.817],0.750 [0.686; 0.817],0.771 [0.699; 0.836],0.497 [0.371; 0.631],0.856 [0.786; 0.916],0.812 [0.747; 0.877],0.750 [0.667; 0.837],0.750 [0.650; 0.848]
baseline_vs_event_metrics_df,cv_oof,svc_rbf,SVM с RBF-ядром,event_compact,2.0,0.945 [0.909; 0.982],0.945 [0.906; 0.981],0.951 [0.914; 0.982],0.889 [0.811; 0.962],0.977 [0.943; 0.998],0.977 [0.950; 0.997],0.946 [0.894; 0.989],0.944 [0.884; 0.987]
baseline_vs_event_metrics_df,cv_oof,svc_rbf,SVM с RBF-ядром,spectral_baseline,61.0,0.707 [0.634; 0.774],0.700 [0.626; 0.768],0.745 [0.670; 0.810],0.403 [0.253; 0.540],0.845 [0.769; 0.907],0.793 [0.719; 0.860],0.761 [0.674; 0.846],0.639 [0.521; 0.753]
baseline_vs_event_metrics_df,holdout,logreg,Логистическая регрессия,event_compact,2.0,0.818 [0.667; 0.939],0.823 [0.681; 0.944],0.833 [0.681; 0.947],0.639 [0.359; 0.881],0.920 [0.812; 0.986],0.861 [0.710; 0.974],0.789 [0.583; 0.950],0.857 [0.643; 1.000]
baseline_vs_event_metrics_df,holdout,logreg,Логистическая регрессия,spectral_baseline,61.0,0.848 [0.727; 0.970],0.840 [0.705; 0.962],0.872 [0.743; 0.971],0.688 [0.422; 0.935],0.919 [0.794; 0.993],0.883 [0.744; 0.989],0.895 [0.737; 1.000],0.786 [0.538; 1.000]
baseline_vs_event_metrics_df,holdout,rf,Случайный лес,event_compact,2.0,0.848 [0.727; 0.970],0.850 [0.716; 0.969],0.865 [0.727; 0.971],0.694 [0.426; 0.938],0.941 [0.843; 1.000],0.915 [0.800; 1.000],0.842 [0.650; 1.000],0.857 [0.643; 1.000]
baseline_vs_event_metrics_df,holdout,rf,Случайный лес,spectral_baseline,61.0,0.788 [0.636; 0.909],0.797 [0.646; 0.925],0.800 [0.632; 0.927],0.587 [0.286; 0.831],0.921 [0.823; 0.984],0.872 [0.738; 0.968],0.737 [0.529; 0.917],0.857 [0.666; 1.000]
