region,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
temporal,abs_power_delta,1.1122337457828552e-11,6.751151861848796e-12,4.3711855959797556e-12,8.113195915810186e-12,5.605239942199059e-12,2.5079559736111264e-12,6.4348359123784216e-12,3.2687502084674936e-12,0.4691262374027583,0.45410628019323673,4816.0,6.29744885216379e-07,92,72,3.778469311298274e-05,True
temporal,aperiodic_offset,-10.971571740577776,-11.330273556621762,0.3587018160439861,-10.983182812661722,-11.298349004110152,0.31516619144843006,0.46181213658097064,0.697219246601362,0.8460999309264968,0.46376811594202905,4848.0,3.6205592801832286e-07,92,72,3.778469311298274e-05,True
occipital,idx_slow_alpha,1.2255161704087956,2.271842192297011,-1.0463260218882156,0.828868535078211,1.6698976744057465,-0.8410291393275355,1.1206175841216712,1.712371417922264,-0.6613516374014264,-0.4384057971014492,1860.0,1.5126136123062183e-06,92,72,4.537840836918655e-05,True
parietal,idx_slow_alpha,1.0252151004058692,2.0119583898843487,-0.9867432894784796,0.7112581553208774,1.451392390093576,-0.7401342347726985,0.8760269762978372,1.3433382918323669,-0.5933328051838247,-0.4432367149758454,1844.0,1.1586657852396954e-06,92,72,4.537840836918655e-05,True
frontal,idx_slow_alpha,1.8793719270021572,3.5524460248453447,-1.6730740978431875,1.2966276661639995,2.735659810275123,-1.4390321441111236,1.6688691456778124,2.7336411475035507,-0.6086914539826839,-0.41092995169082125,1951.0,6.543156548941372e-06,92,72,0.0001345218511173009,True
parietal,aperiodic_offset,-10.620384632690033,-10.980042938878237,0.35965830618820327,-10.628509551824237,-10.952845245757937,0.32433569393369943,0.6503736090368886,0.6883920819174509,0.736383976726499,0.4024758454106281,4645.0,1.0089138833797566e-05,92,72,0.0001345218511173009,True
temporal,abs_power_theta,5.3889464036464015e-12,3.6333549709221705e-12,1.755591432724231e-12,3.706895489372176e-12,2.5632513090918046e-12,1.143644180280371e-12,3.7065460712760046e-12,2.0152292679131504e-12,0.4247537988656543,0.4036835748792271,4649.0,9.488711660881907e-06,92,72,0.0001345218511173009,True
temporal,rel_power_gamma,0.06913584018954799,0.10699696624396782,-0.037861126054419825,0.05886285357932752,0.09312797369791194,-0.034265120118584416,0.04625488791736191,0.0838054101568576,-0.7789135432356598,-0.40428743961352653,1973.0,9.201451806651975e-06,92,72,0.0001345218511173009,True
temporal,sef50,7.955163043478261,9.818287037037038,-1.8631239935587773,8.25,9.5625,-1.3125,2.552083333333333,2.5390625,-0.781817484908872,-0.4094202898550725,1956.0,7.05686939293525e-06,92,72,0.0001345218511173009,True
temporal,aperiodic_exponent,1.2020829254283771,0.9835772003368769,0.21850572509150024,1.2314247305130446,0.9943846755510187,0.23704005496202585,0.3612941509948997,0.5042979544683973,0.7725805116323124,0.39855072463768115,4632.0,1.2301288893785167e-05,92,72,0.000147615466725422,True
central,aperiodic_offset,-11.056347538958738,-11.347841522853523,0.2914939838947852,-11.064321890914513,-11.337830830026434,0.2735089391119203,0.4642553542477881,0.5992235126772307,0.6919155475618854,0.39583333333333326,4623.0,1.4096230530986402e-05,92,72,0.0001537770603380335,True
temporal,spectral_flatness,0.4798677249805821,0.569227189576534,-0.08935946459595184,0.4542301236809114,0.5776913279791537,-0.12346120429824226,0.14208554469826323,0.21478433755048465,-0.703872652645137,-0.3756038647342995,2068.0,3.782946373414769e-05,92,72,0.00037829463734147684,True
central,rel_power_gamma,0.05427978696773843,0.07914650459667542,-0.024866717628936996,0.04680722369650679,0.06742123487956356,-0.020614011183056766,0.029261038309538495,0.05384437026808354,-0.6342188161809869,-0.3695652173913043,2088.0,5.033169301986512e-05,92,72,0.0004646002432602934,True
temporal,rel_power_beta,0.18020660724156468,0.22588355918016598,-0.0456769519386013,0.16494725890472461,0.22157520173445538,-0.05662794282973077,0.07568077052679587,0.10091974732673623,-0.676985415551409,-0.366243961352657,2099.0,5.878571780996644e-05,92,72,0.0005038775812282837,True
central,aperiodic_exponent,1.290221029123593,1.1087637915212492,0.18145723760234378,1.2891157383551528,1.1279244461168139,0.16119129223833895,0.3082642991028106,0.4136027468059702,0.6890425443767858,0.3620169082125604,4511.0,7.149842526457399e-05,92,72,0.0005719874021165919,True
parietal,abs_power_theta,7.409092040667922e-12,5.019285289850286e-12,2.3898067508176366e-12,4.909445133911872e-12,2.9394319947537896e-12,1.9700131391580825e-12,5.682026284055108e-12,3.4289742581845508e-12,0.3563323238213083,0.36050724637681153,4506.0,7.6638426276245e-05,92,72,0.0005747881970718375,True
frontal,rel_power_gamma,0.060553432992384526,0.08283126440069882,-0.022277831408314297,0.046874494670272465,0.0716765307447649,-0.02480203607449244,0.042447856001779055,0.06185846030412247,-0.49081871593733906,-0.3505434782608695,2151.0,0.00012039023004060308,92,72,0.0008498133885219041,True
central,spectral_flatness,0.4459908693649065,0.5174186432308381,-0.07142777386593158,0.43501247215462835,0.5140168945300836,-0.07900442237545524,0.14604068126569525,0.16961992642165646,-0.5943564305486707,-0.34510869565217395,2169.0,0.00015328454583698358,92,72,0.0010218969722465574,True
temporal,idx_slow_beta,2.8006035497083603,2.164372609882725,0.6362309398256354,2.5406965339892027,1.735678449103193,0.8050180848860098,1.625818910924902,1.7428980042676976,0.45556948904488215,0.3369565217391304,4428.0,0.00021883151957584823,92,72,0.0013820938078474626,True
parietal,abs_power_delta,1.0713069372198084e-11,7.1554366579003335e-12,3.5576327142977502e-12,8.444400065806757e-12,5.6617384257934915e-12,2.782661640013265e-12,5.769059801426024e-12,4.875110035645736e-12,0.47848908771343973,0.3348429951690821,4421.0,0.0002396936246627717,92,72,0.0014381617479766304,True
parietal,rel_power_gamma,0.03497898253024235,0.05502833977725753,-0.020049357247015183,0.027501486180477968,0.040015874702935814,-0.012514388522457846,0.023238529487337074,0.05692299589858668,-0.5971674261019866,-0.3318236714975845,2213.0,0.0002727519509744916,92,72,0.0015585825769970948,True
