roi,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
temporal,alpha,n_bursts,55.21557971014494,38.28587962962963,16.929700080515303,55.0,38.5625,16.4375,7.916666666666671,5.875,3.3121893291311526,0.9782608695652173,6552.0,6.921596665882767e-27,92,72,4.845117666117937e-25,True
central,alpha,n_bursts,54.18115942028985,37.535300925925924,16.645858494363928,54.0,37.6875,16.3125,8.5,5.15625,2.8480587616731334,0.9690519323671498,6521.5,2.0692784191179115e-26,92,72,7.24247446691269e-25,True
frontal,alpha,n_bursts,53.59420289855072,37.070601851851855,16.523601046698865,53.66666666666667,37.375,16.29166666666667,9.333333333333329,6.375,2.6705280552387483,0.9498792270531402,6458.0,1.9374636363310925e-25,92,72,4.5207484847725494e-24,True
occipital,alpha,n_bursts,53.48007246376811,36.851273148148145,16.628799315619965,54.58333333333333,37.125,17.45833333333333,7.666666666666664,7.25,2.506344560552958,0.9116847826086956,6331.5,1.4536753587198275e-23,92,72,2.543931877759698e-22,True
parietal,alpha,n_bursts,53.00181159420289,36.43171296296296,16.57009863123993,54.66666666666667,36.5625,18.10416666666667,9.583333333333329,7.0625,2.4238598104731617,0.9033816425120773,6304.0,3.6489820542943265e-23,92,72,5.108574876012058e-22,True
central,alpha,burst_time_fraction,0.042596793666065655,0.03465882136152528,0.007937972304540374,0.04177222222222218,0.03443734211520018,0.007334880107022004,0.008616849415204658,0.006683799063377571,1.2500132054504314,0.6358695652173914,5418.0,3.0241218406053395e-12,92,72,3.528142147372896e-11,True
parietal,beta,n_bursts,17.59057971014493,11.015625,6.5749547101449295,17.0,10.625,6.375,8.333333333333334,7.0,1.0590044071628244,0.5774456521739131,5224.5,2.3558478426020574e-10,92,72,2.3558478426020573e-09,True
occipital,alpha,burst_time_fraction,0.042970362954487626,0.03575138489720723,0.007218978057280397,0.04311527777777774,0.0357158058382156,0.007399471939562141,0.010252430555555567,0.007381721039228233,0.9569124214217034,0.5643115942028984,5181.0,5.967140391889735e-10,92,72,5.221247842903519e-09,True
parietal,alpha,burst_time_fraction,0.044257191407784904,0.03716224423529349,0.007094947172491414,0.04453541666666662,0.03714928486964662,0.007386131797019996,0.009673611111111098,0.005980194099347566,0.9706297449132827,0.5474033816425121,5125.0,1.9046156341552208e-09,92,72,1.4813677154540608e-08,True
frontal,alpha,burst_time_fraction,0.04328470784793006,0.03617428102159939,0.007110426826330667,0.04297499999999995,0.036219662699059824,0.006755337300940127,0.009950694444444436,0.006777160262088536,0.9924468521677667,0.5452898550724639,5118.0,2.1967215737167702e-09,92,72,1.5377051016017392e-08,True
