method,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
plv,alpha,clustering,0.3,0.5447916666666666,-0.24479166666666657,0.3,0.6,-0.3,0.6,0.07499999999999996,-1.2687311641311847,-0.5807669082125604,1388.5,1.1281495172821583e-11,92,72,6.76889710369295e-10,True
coh,alpha,clustering,0.29782608695652174,0.5128472222222222,-0.2150211352657005,0.3,0.6,-0.3,0.44999999999999996,0.15000000000000002,-1.0903260679862659,-0.5514794685990339,1485.5,2.957618566527961e-10,92,72,8.872855699583883e-09,True
coh,theta,clustering,0.29239130434782606,0.5097222222222221,-0.217330917874396,0.3,0.6,-0.3,0.6,0.15000000000000002,-1.1410170191086977,-0.5415157004830917,1518.5,7.874632798644557e-10,92,72,1.5749265597289114e-08,True
plv,theta,clustering,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,1.2277035015227764e-05,True
imcoh,alpha,clustering,0.015217391304347825,0.04791666666666666,-0.03269927536231884,0.0,0.0,0.0,0.0,0.075,-0.4242711351458276,-0.2247886473429952,2567.5,0.0001041552161686756,92,72,0.001113047289667374,True
imcoh,beta,clustering,0.017391304347826087,0.04375,-0.02635869565217391,0.0,0.0,0.0,0.0,0.075,-0.3330028210893215,-0.22388285024154586,2570.5,0.0001113047289667374,92,72,0.001113047289667374,True
plv,beta,clustering,0.4195652173913044,0.5375,-0.11793478260869555,0.6,0.6,0.0,0.3,0.07499999999999996,-0.632163288464101,-0.28879830917874394,2355.5,0.0003466285270144595,92,72,0.0029711016601239384,True
imcoh,theta,clustering,0.03695652173913044,0.06527777777777778,-0.028321256038647345,0.0,0.0,0.0,0.0,0.15,-0.2973221961353067,-0.22342995169082125,2572.0,0.001388751043990805,92,72,0.010415632829931038,True
wpli,theta,clustering,0.06413043478260869,0.08749999999999998,-0.023369565217391294,0.0,0.075,-0.075,0.0,0.15,-0.18457799509153905,-0.21467391304347827,2601.0,0.005495375288081497,92,72,0.03663583525387665,True
wpli,alpha,clustering,0.053260869565217396,0.07916666666666666,-0.025905797101449267,0.0,0.0,0.0,0.0,0.15,-0.20591878419711065,-0.18387681159420288,2703.0,0.010213540085306746,92,72,0.06128124051184048,False
